
2021-09-02;18-16-50-574590  ;;;  b'Strike Detected! reading of; 446; High, Low; 199, -212; Current Danger Level; 1; at tic; 264155'
2021-09-02;18-30-54-046814  ;;;  b'Strike Detected! reading of; 295; High, Low; 192, -194; Current Danger Level; 1; at tic; 1107641'
2021-09-02;19-22-39-250809  ;;;  b'Strike Detected! reading of; 300; High, Low; 176, -161; Current Danger Level; 1; at tic; 4212895'
2021-09-02;19-31-32-250558  ;;;  b'Strike Detected! reading of; -377; High, Low; 203, -164; Current Danger Level; 1; at tic; 4745904'
2021-09-02;19-40-04-314477  ;;;  b'Strike Detected! reading of; 63; High, Low; 190, -181; Current Danger Level; 1; at tic; 5257976'
2021-09-02;19-40-11-447425  ;;;  b'Strike Detected! reading of; 94; High, Low; 190, -181; Current Danger Level; 2; at tic; 5265110'
2021-09-02;19-40-14-314033  ;;;  b'Strike Detected! reading of; 80; High, Low; 190, -181; Current Danger Level; 3; at tic; 5267977'
2021-09-02;19-40-17-789897  ;;;  b'Strike Detected! reading of; -14; High, Low; 190, -181; Current Danger Level; 4; at tic; 5271451'
2021-09-02;19-40-20-351474  ;;;  b'Strike Detected! reading of; 112; High, Low; 190, -181; Current Danger Level; 5; at tic; 5274013'
2021-09-02;19-47-43-135409  ;;;  b'Strike Detected! reading of; 416; High, Low; 190, -184; Current Danger Level; 5; at tic; 5716801'
2021-09-02;19-56-28-551864  ;;;  b'Strike Detected! reading of; -102; High, Low; 177, -160; Current Danger Level; 3; at tic; 6242229'
2021-09-02;19-56-32-846435  ;;;  b'Strike Detected! reading of; 66; High, Low; 177, -160; Current Danger Level; 4; at tic; 6246524'
2021-09-02;19-56-36-016892  ;;;  b'Strike Detected! reading of; -82; High, Low; 200, -157; Current Danger Level; 5; at tic; 6249695'
2021-09-02;20-23-22-167947  ;;;  b'Strike Detected! reading of; 755; High, Low; 198, -166; Current Danger Level; 1; at tic; 7855872'
2021-09-02;21-04-34-014052  ;;;  b'Strike Detected! reading of; 510; High, Low; 200, -169; Current Danger Level; 1; at tic; 10327758'
2021-09-02;21-18-35-407847  ;;;  b'Strike Detected! reading of; 300; High, Low; 196, -159; Current Danger Level; 1; at tic; 11169160'
2021-09-02;21-24-42-790639  ;;;  b'Strike Detected! reading of; 690; High, Low; 185, -167; Current Danger Level; 1; at tic; 11536552'
2021-09-02;21-40-56-876412  ;;;  b'Strike Detected! reading of; 303; High, Low; 197, -171; Current Danger Level; 1; at tic; 12510654'
2021-09-02;21-49-59-772686  ;;;  b'Strike Detected! reading of; 321; High, Low; 202, -187; Current Danger Level; 1; at tic; 13053560'
2021-09-02;21-55-02-142779  ;;;  b'Strike Detected! reading of; -254; High, Low; 234, -165; Current Danger Level; 1; at tic; 13355935'
2021-09-02;22-03-19-715168  ;;;  b'Strike Detected! reading of; 280; High, Low; 183, -165; Current Danger Level; 1; at tic; 13853514'
2021-09-02;22-29-06-170291  ;;;  b'Strike Detected! reading of; 347; High, Low; 218, -174; Current Danger Level; 1; at tic; 15399995'
2021-09-02;22-40-21-465274  ;;;  b'Strike Detected! reading of; 298; High, Low; 195, -169; Current Danger Level; 1; at tic; 16075299'
2021-09-02;22-45-06-347915  ;;;  b'Strike Detected! reading of; 674; High, Low; 186, -141; Current Danger Level; 1; at tic; 16360187'
2021-09-02;23-01-08-845315  ;;;  b'Strike Detected! reading of; 375; High, Low; 200, -155; Current Danger Level; 1; at tic; 17322699'
2021-09-02;23-21-10-907775  ;;;  b'Strike Detected! reading of; 240; High, Low; 157, -134; Current Danger Level; 1; at tic; 18524783'
2021-09-02;23-29-09-097606  ;;;  b'Strike Detected! reading of; -263; High, Low; 164, -146; Current Danger Level; 1; at tic; 19002977'
2021-09-02;23-42-22-686302  ;;;  b'Strike Detected! reading of; -306; High, Low; 173, -155; Current Danger Level; 1; at tic; 19796579'
2021-09-02;23-42-31-664271  ;;;  b'Strike Detected! reading of; 416; High, Low; 173, -155; Current Danger Level; 2; at tic; 19805554'
2021-09-02;23-48-14-561313  ;;;  b'Strike Detected! reading of; -232; High, Low; 182, -141; Current Danger Level; 2; at tic; 20148462'
2021-09-02;23-59-12-309552  ;;;  b'Strike Detected! reading of; 463; High, Low; 221, -145; Current Danger Level; 1; at tic; 20806216'
2021-09-02;23-59-44-916354  ;;;  b'Strike Detected! reading of; 405; High, Low; 253, -149; Current Danger Level; 2; at tic; 20838823'
