
2021-12-09;00-09-18-317430  ;;;  b'Strike Detected! reading of; 245; High, Low; 183, -227; Current Danger Level; 1; at tic; 191767442\r\n'
2021-12-09;00-14-25-525572  ;;;  b'Strike Detected! reading of; 251; High, Low; 182, -224; Current Danger Level; 1; at tic; 192074800\r\n'
2021-12-09;00-21-14-668734  ;;;  b'Strike Detected! reading of; 268; High, Low; 183, -226; Current Danger Level; 1; at tic; 192483958\r\n'
2021-12-09;00-51-54-037427  ;;;  b'Strike Detected! reading of; 251; High, Low; 183, -223; Current Danger Level; 1; at tic; 194323356\r\n'
2021-12-09;00-55-19-486068  ;;;  b'Strike Detected! reading of; 246; High, Low; 182, -222; Current Danger Level; 1; at tic; 194528809\r\n'
2021-12-09;01-17-35-872840  ;;;  b'Strike Detected! reading of; 259; High, Low; 183, -222; Current Danger Level; 1; at tic; 195865192\r\n'
2021-12-09;01-24-26-871470  ;;;  b'Strike Detected! reading of; 249; High, Low; 183, -220; Current Danger Level; 1; at tic; 196276221\r\n'
2021-12-09;01-27-52-038349  ;;;  b'Strike Detected! reading of; 253; High, Low; 183, -223; Current Danger Level; 1; at tic; 196481397\r\n'
2021-12-09;01-29-34-524142  ;;;  b'Strike Detected! reading of; 248; High, Low; 184, -220; Current Danger Level; 1; at tic; 196583868\r\n'
2021-12-09;01-38-08-449762  ;;;  b'Strike Detected! reading of; 261; High, Low; 183, -222; Current Danger Level; 1; at tic; 197097817\r\n'
2021-12-09;01-46-41-809038  ;;;  b'Strike Detected! reading of; 255; High, Low; 180, -225; Current Danger Level; 1; at tic; 197611137\r\n'
2021-12-09;02-00-21-186391  ;;;  b'Strike Detected! reading of; 253; High, Low; 184, -221; Current Danger Level; 1; at tic; 198430554\r\n'
2021-12-09;02-25-56-037110  ;;;  b'Strike Detected! reading of; 262; High, Low; 183, -223; Current Danger Level; 1; at tic; 199965444\r\n'
2021-12-09;02-51-28-289506  ;;;  b'Strike Detected! reading of; 263; High, Low; 186, -222; Current Danger Level; 1; at tic; 201497728\r\n'
2021-12-09;02-56-33-969002  ;;;  b'Strike Detected! reading of; 276; High, Low; 185, -221; Current Danger Level; 1; at tic; 201803412\r\n'
2021-12-09;03-05-16-307018  ;;;  b'Strike Detected! reading of; 279; High, Low; 186, -219; Current Danger Level; 1; at tic; 202325680'
2021-12-09;03-23-55-693785  ;;;  b'Strike Detected! reading of; 318; High, Low; 222, -166; Current Danger Level; 1; at tic; 203445109\r\n'
2021-12-09;03-30-50-275342  ;;;  b'Strike Detected! reading of; 323; High, Low; 224, -161; Current Danger Level; 1; at tic; 203859748\r\n'
2021-12-09;03-36-00-530348  ;;;  b'Strike Detected! reading of; 324; High, Low; 229, -136; Current Danger Level; 1; at tic; 204169851\r\n'
2021-12-09;03-37-44-316478  ;;;  b'Strike Detected! reading of; 337; High, Low; 234, -139; Current Danger Level; 1; at tic; 204273616\r\n'
2021-12-09;03-42-54-671485  ;;;  b'Strike Detected! reading of; 333; High, Low; 230, -143; Current Danger Level; 1; at tic; 204584161\r\n'
2021-12-09;03-46-20-984777  ;;;  b'Strike Detected! reading of; 302; High, Low; 223, -157; Current Danger Level; 1; at tic; 204790475\r\n'
2021-12-09;04-00-05-807433  ;;;  b'Strike Detected! reading of; 284; High, Low; 211, -172; Current Danger Level; 1; at tic; 205615316\r\n'
2021-12-09;04-01-48-948597  ;;;  b'Strike Detected! reading of; 299; High, Low; 217, -192; Current Danger Level; 1; at tic; 205718462\r\n'
2021-12-09;04-44-47-601274  ;;;  b'Strike Detected! reading of; 308; High, Low; 206, -194; Current Danger Level; 1; at tic; 208297146\r\n'
2021-12-09;04-55-03-711509  ;;;  b'Strike Detected! reading of; 290; High, Low; 209, -187; Current Danger Level; 1; at tic; 208913181'
2021-12-09;05-03-37-146088  ;;;  b'Strike Detected! reading of; 300; High, Low; 205, -191; Current Danger Level; 1; at tic; 209426715\r\n'
2021-12-09;05-20-43-909593  ;;;  b'Strike Detected! reading of; 311; High, Low; 231, -140; Current Danger Level; 1; at tic; 210453489\r\n'
2021-12-09;05-25-51-935670  ;;;  b'Strike Detected! reading of; 311; High, Low; 231, -138; Current Danger Level; 1; at tic; 210761532\r\n'
2021-12-09;05-29-13-067153  ;;;  b'Strike Detected! reading of; 336; High, Low; 234, -147; Current Danger Level; 1; at tic; 210962579'
2021-12-09;05-32-44-565191  ;;;  b'Strike Detected! reading of; 362; High, Low; 232, -145; Current Danger Level; 2; at tic; 211174147\r\n'
2021-12-09;05-42-59-875063  ;;;  b'Strike Detected! reading of; 340; High, Low; 223, -152; Current Danger Level; 1; at tic; 211789478\r\n'
2021-12-09;05-56-37-619551  ;;;  b'Strike Detected! reading of; 308; High, Low; 229, -140; Current Danger Level; 1; at tic; 212607157'
2021-12-09;06-03-28-988597  ;;;  b'Strike Detected! reading of; 323; High, Low; 230, -136; Current Danger Level; 1; at tic; 213018519'
2021-12-09;06-05-11-298796  ;;;  b'Strike Detected! reading of; 339; High, Low; 225, -136; Current Danger Level; 2; at tic; 213120841'
