
2022-04-20;05-12-14-843306  ;;;  b'Strike Detected! reading of; 670; High, Low; 461, -439; Current Danger Level; 1; at tic; 239093632'
2022-04-20;14-02-57-071111  ;;;  b'Strike Detected! reading of; 396; High, Low; 288, -469; Current Danger Level; 1; at tic; 270936481\r\n'
2022-04-20;14-23-00-358791  ;;;  b'Strike Detected! reading of; 400; High, Low; 297, -475; Current Danger Level; 1; at tic; 272139802\r\n'
2022-04-20;16-48-02-765467  ;;;  b'Strike Detected! reading of; 404; High, Low; 302, -475; Current Danger Level; 1; at tic; 280842311\r\n'
2022-04-20;20-40-55-683584  ;;;  b'Strike Detected! reading of; 498; High, Low; 310, -470; Current Danger Level; 1; at tic; 294815249'
2022-04-20;20-44-02-820963  ;;;  b'Strike Detected! reading of; 440; High, Low; 311, -469; Current Danger Level; 1; at tic; 295002435'
2022-04-20;20-53-47-099406  ;;;  b'Strike Detected! reading of; 414; High, Low; 304, -474; Current Danger Level; 1; at tic; 295586811\r\n'
2022-04-20;21-04-48-769684  ;;;  b'Strike Detected! reading of; 437; High, Low; 304, -476; Current Danger Level; 1; at tic; 296248523\r\n'
2022-04-20;21-32-12-427392  ;;;  b'Strike Detected! reading of; 499; High, Low; 310, -468; Current Danger Level; 1; at tic; 297892162'
2022-04-20;22-06-41-825708  ;;;  b'Strike Detected! reading of; 480; High, Low; 307, -471; Current Danger Level; 1; at tic; 299961621'
2022-04-20;22-13-14-815159  ;;;  b'Strike Detected! reading of; 555; High, Low; 305, -468; Current Danger Level; 1; at tic; 300354621'
2022-04-20;22-34-40-706407  ;;;  b'Strike Detected! reading of; 406; High, Low; 302, -470; Current Danger Level; 1; at tic; 301640625\r\n'
2022-04-20;22-38-21-830735  ;;;  b'Strike Detected! reading of; 422; High, Low; 304, -471; Current Danger Level; 1; at tic; 301861770\r\n'
2022-04-20;22-43-54-658056  ;;;  b'Strike Detected! reading of; 428; High, Low; 310, -473; Current Danger Level; 1; at tic; 302194601\r\n'
2022-04-20;23-16-37-198824  ;;;  b'Strike Detected! reading of; 677; High, Low; 307, -468; Current Danger Level; 1; at tic; 304157077'
