
2021-11-25;00-00-29-375733  ;;;  b'Strike Detected! reading of; -280; High, Low; 247, -191; Current Danger Level; 5; at tic; 22081773'
2021-11-25;00-02-26-685121  ;;;  b'Strike Detected! reading of; -346; High, Low; 238, -194; Current Danger Level; 6; at tic; 22199157\r\n'
2021-11-25;00-03-47-305844  ;;;  b'Strike Detected! reading of; 386; High, Low; 238, -199; Current Danger Level; 6; at tic; 22279697'
2021-11-25;00-07-38-674328  ;;;  b'Strike Detected! reading of; 335; High, Low; 215, -173; Current Danger Level; 5; at tic; 22511145\r\n'
2021-11-25;00-08-13-575123  ;;;  b'Strike Detected! reading of; -310; High, Low; 275, -182; Current Danger Level; 6; at tic; 22545977'
2021-11-25;00-09-44-485571  ;;;  b'Strike Detected! reading of; 398; High, Low; 205, -169; Current Danger Level; 5; at tic; 22636881'
2021-11-25;00-11-06-057286  ;;;  b'Strike Detected! reading of; -309; High, Low; 253, -185; Current Danger Level; 6; at tic; 22718540\r\n'
2021-11-25;00-12-48-842263  ;;;  b'Strike Detected! reading of; 435; High, Low; 224, -177; Current Danger Level; 5; at tic; 22821244'
2021-11-25;00-15-56-977951  ;;;  b'Strike Detected! reading of; -301; High, Low; 246, -195; Current Danger Level; 6; at tic; 23009352'
2021-11-25;00-19-47-313864  ;;;  b'Strike Detected! reading of; -314; High, Low; 211, -170; Current Danger Level; 5; at tic; 23239768\r\n'
2021-11-25;00-21-31-672869  ;;;  b'Strike Detected! reading of; -255; High, Low; 209, -169; Current Danger Level; 5; at tic; 23344159\r\n'
2021-11-25;00-23-14-902715  ;;;  b'Strike Detected! reading of; -331; High, Low; 243, -188; Current Danger Level; 6; at tic; 23447405\r\n'
2021-11-25;00-26-42-239509  ;;;  b'Strike Detected! reading of; -277; High, Low; 206, -170; Current Danger Level; 5; at tic; 23654733\r\n'
2021-11-25;00-28-26-009553  ;;;  b'Strike Detected! reading of; -316; High, Low; 241, -196; Current Danger Level; 6; at tic; 23758508\r\n'
2021-11-25;00-31-52-803906  ;;;  b'Strike Detected! reading of; -277; High, Low; 206, -167; Current Danger Level; 5; at tic; 23965296\r\n'
2021-11-25;00-35-19-534899  ;;;  b'Strike Detected! reading of; 294; High, Low; 203, -166; Current Danger Level; 5; at tic; 24172044\r\n'
2021-11-25;00-36-37-735973  ;;;  b'Strike Detected! reading of; 343; High, Low; 244, -184; Current Danger Level; 5; at tic; 24250159'
2021-11-25;00-38-20-118553  ;;;  b'Strike Detected! reading of; -385; High, Low; 248, -190; Current Danger Level; 6; at tic; 24352649\r\n'
2021-11-25;00-38-20-227926  ;;;  b'Strike Detected! reading of; -301; High, Low; 248, -190; Current Danger Level; 6; at tic; 24352651'
2021-11-25;00-42-10-824395  ;;;  b'Strike Detected! reading of; -311; High, Low; 208, -173; Current Danger Level; 5; at tic; 24583345\r\n'
2021-11-25;00-43-55-087939  ;;;  b'Strike Detected! reading of; -298; High, Low; 238, -190; Current Danger Level; 6; at tic; 24687510'
2021-11-25;00-47-22-176967  ;;;  b'Strike Detected! reading of; 275; High, Low; 203, -162; Current Danger Level; 5; at tic; 24894698\r\n'
2021-11-25;00-52-29-241415  ;;;  b'Strike Detected! reading of; -321; High, Low; 202, -165; Current Danger Level; 5; at tic; 25201683\r\n'
2021-11-25;00-52-29-360377  ;;;  b'Strike Detected! reading of; 270; High, Low; 202, -165; Current Danger Level; 5; at tic; 25201786'
2021-11-25;00-54-18-103725  ;;;  b'Strike Detected! reading of; -265; High, Low; 240, -194; Current Danger Level; 6; at tic; 25310630\r\n'
2021-11-25;00-54-36-975422  ;;;  b'Strike Detected! reading of; 345; High, Low; 239, -229; Current Danger Level; 6; at tic; 25329415'
2021-11-25;01-00-29-342082  ;;;  b'Strike Detected! reading of; 335; High, Low; 200, -167; Current Danger Level; 4; at tic; 25681788'
2021-11-25;01-01-10-418147  ;;;  b'Strike Detected! reading of; -289; High, Low; 216, -177; Current Danger Level; 5; at tic; 25722953\r\n'
2021-11-25;01-08-03-584325  ;;;  b'Strike Detected! reading of; 335; High, Low; 204, -164; Current Danger Level; 5; at tic; 26136120\r\n'
2021-11-25;01-09-46-950800  ;;;  b'Strike Detected! reading of; -311; High, Low; 204, -176; Current Danger Level; 5; at tic; 26239490\r\n'
2021-11-25;01-18-22-077259  ;;;  b'Strike Detected! reading of; 342; High, Low; 205, -170; Current Danger Level; 4; at tic; 26754617\r\n'
2021-11-25;01-20-05-028341  ;;;  b'Strike Detected! reading of; 318; High, Low; 204, -166; Current Danger Level; 5; at tic; 26857493'
2021-11-25;01-20-29-229980  ;;;  b'Strike Detected! reading of; -264; High, Low; 261, -178; Current Danger Level; 5; at tic; 26881794\r\n'
2021-11-25;01-20-29-344934  ;;;  b'Strike Detected! reading of; -241; High, Low; 261, -178; Current Danger Level; 6; at tic; 26881796'
2021-11-25;01-25-12-922544  ;;;  b'Strike Detected! reading of; -283; High, Low; 215, -173; Current Danger Level; 5; at tic; 27165474\r\n'
2021-11-25;01-28-38-047317  ;;;  b'Strike Detected! reading of; -311; High, Low; 238, -190; Current Danger Level; 5; at tic; 27370602\r\n'
2021-11-25;01-37-10-285229  ;;;  b'Strike Detected! reading of; -323; High, Low; 206, -173; Current Danger Level; 4; at tic; 27882846\r\n'
2021-11-25;01-38-53-225116  ;;;  b'Strike Detected! reading of; -237; High, Low; 205, -175; Current Danger Level; 5; at tic; 27985704'
2021-11-25;01-42-18-365165  ;;;  b'Strike Detected! reading of; -265; High, Low; 206, -165; Current Danger Level; 5; at tic; 28190940\r\n'
2021-11-25;01-49-24-868977  ;;;  b'Strike Detected! reading of; 417; High, Low; 214, -161; Current Danger Level; 4; at tic; 28617374'
2021-11-25;01-52-29-188573  ;;;  b'Strike Detected! reading of; -368; High, Low; 209, -176; Current Danger Level; 5; at tic; 28801684'
2021-11-25;01-52-37-122075  ;;;  b'Strike Detected! reading of; -266; High, Low; 209, -176; Current Danger Level; 5; at tic; 28809713\r\n'
2021-11-25;01-52-37-140069  ;;;  b'Strike Detected! reading of; -255; High, Low; 209, -176; Current Danger Level; 6; at tic; 28809715\r\n'
