
2021-12-03;03-11-22-524518  ;;;  b'Strike Detected! reading of; 74; High, Low; 55, 0; Current Danger Level; 3; at tic; 636180937'
2021-12-03;03-19-28-050683  ;;;  b'Strike Detected! reading of; -10; High, Low; 53, 0; Current Danger Level; 2; at tic; 636666504'
2021-12-03;03-20-57-209687  ;;;  b'Strike Detected! reading of; -3; High, Low; 55, 0; Current Danger Level; 2; at tic; 636755665'
2021-12-03;03-22-52-792821  ;;;  b'Strike Detected! reading of; -3; High, Low; 55, 0; Current Danger Level; 3; at tic; 636871250'
2021-12-03;12-09-54-030717  ;;;  b'Strike Detected! reading of; 308; High, Low; 210, -148; Current Danger Level; 1; at tic; 349205\r\n'
2021-12-03;12-16-44-866601  ;;;  b'Strike Detected! reading of; 337; High, Low; 205, -142; Current Danger Level; 1; at tic; 759992'
2021-12-03;12-18-25-982374  ;;;  b'Strike Detected! reading of; 283; High, Low; 206, -138; Current Danger Level; 2; at tic; 861184\r\n'
2021-12-03;12-20-07-944924  ;;;  b'Strike Detected! reading of; -228; High, Low; 201, -134; Current Danger Level; 2; at tic; 963168\r\n'
2021-12-03;12-20-07-962898  ;;;  b'Strike Detected! reading of; -254; High, Low; 201, -134; Current Danger Level; 3; at tic; 963170\r\n'
2021-12-03;12-23-32-151711  ;;;  b'Strike Detected! reading of; -239; High, Low; 187, -134; Current Danger Level; 4; at tic; 1167376\r\n'
2021-12-03;12-23-32-163704  ;;;  b'Strike Detected! reading of; -234; High, Low; 187, -134; Current Danger Level; 5; at tic; 1167379\r\n'
2021-12-03;12-28-06-560275  ;;;  b'Strike Detected! reading of; -258; High, Low; 214, -133; Current Danger Level; 4; at tic; 1441685'
2021-12-03;12-30-21-690799  ;;;  b'Strike Detected! reading of; 293; High, Low; 188, -133; Current Danger Level; 5; at tic; 1576897\r\n'
2021-12-03;12-33-46-408542  ;;;  b'Strike Detected! reading of; -232; High, Low; 197, -138; Current Danger Level; 5; at tic; 1781606\r\n'
2021-12-03;12-38-55-334729  ;;;  b'Strike Detected! reading of; -220; High, Low; 194, -133; Current Danger Level; 5; at tic; 2090532\r\n'
2021-12-03;12-42-20-208387  ;;;  b'Strike Detected! reading of; -186; High, Low; 188, -134; Current Danger Level; 5; at tic; 2295417\r\n'
2021-12-03;12-42-20-223382  ;;;  b'Strike Detected! reading of; -299; High, Low; 188, -134; Current Danger Level; 6; at tic; 2295419\r\n'
2021-12-03;12-45-44-793849  ;;;  b'Strike Detected! reading of; -262; High, Low; 193, -140; Current Danger Level; 5; at tic; 2499985\r\n'
2021-12-03;12-52-34-253863  ;;;  b'Strike Detected! reading of; -238; High, Low; 198, -134; Current Danger Level; 4; at tic; 2909464\r\n'
2021-12-03;12-52-34-269862  ;;;  b'Strike Detected! reading of; -247; High, Low; 198, -134; Current Danger Level; 5; at tic; 2909466\r\n'
2021-12-03;12-54-16-574713  ;;;  b'Strike Detected! reading of; 302; High, Low; 217, -159; Current Danger Level; 6; at tic; 3011775\r\n'
2021-12-03;12-54-16-704673  ;;;  b'Strike Detected! reading of; -266; High, Low; 217, -159; Current Danger Level; 6; at tic; 3011816'
2021-12-03;12-57-42-012481  ;;;  b'Strike Detected! reading of; 279; High, Low; 189, -131; Current Danger Level; 5; at tic; 3217209\r\n'
2021-12-03;13-01-06-846704  ;;;  b'Strike Detected! reading of; -211; High, Low; 200, -138; Current Danger Level; 5; at tic; 3422045\r\n'
2021-12-03;13-04-06-476415  ;;;  b'Strike Detected! reading of; -325; High, Low; 228, -170; Current Danger Level; 6; at tic; 3601678\r\n'
2021-12-03;13-04-06-593380  ;;;  b'Strike Detected! reading of; -259; High, Low; 228, -170; Current Danger Level; 5; at tic; 3601693'
2021-12-03;13-06-17-830858  ;;;  b'Strike Detected! reading of; 306; High, Low; 224, -155; Current Danger Level; 6; at tic; 3732913\r\n'
2021-12-03;13-09-42-761460  ;;;  b'Strike Detected! reading of; 311; High, Low; 192, -135; Current Danger Level; 5; at tic; 3937958\r\n'
2021-12-03;13-09-42-889421  ;;;  b'Strike Detected! reading of; -265; High, Low; 192, -135; Current Danger Level; 6; at tic; 3938000'
2021-12-03;13-11-25-269821  ;;;  b'Strike Detected! reading of; -217; High, Low; 221, -161; Current Danger Level; 6; at tic; 4040463\r\n'
2021-12-03;13-14-49-233047  ;;;  b'Strike Detected! reading of; -242; High, Low; 204, -146; Current Danger Level; 5; at tic; 4244425\r\n'
2021-12-03;13-14-49-248042  ;;;  b'Strike Detected! reading of; -253; High, Low; 204, -146; Current Danger Level; 6; at tic; 4244428\r\n'
2021-12-03;13-18-13-540569  ;;;  b'Strike Detected! reading of; 310; High, Low; 193, -141; Current Danger Level; 5; at tic; 4448732\r\n'
2021-12-03;13-20-06-585011  ;;;  b'Strike Detected! reading of; -268; High, Low; 227, -160; Current Danger Level; 5; at tic; 4561698'
2021-12-03;13-31-50-586632  ;;;  b'Strike Detected! reading of; -205; High, Low; 194, -141; Current Danger Level; 4; at tic; 5265785\r\n'
2021-12-03;13-33-32-650299  ;;;  b'Strike Detected! reading of; 265; High, Low; 193, -141; Current Danger Level; 4; at tic; 5367866\r\n'
2021-12-03;13-33-32-666297  ;;;  b'Strike Detected! reading of; 266; High, Low; 193, -141; Current Danger Level; 5; at tic; 5367868\r\n'
2021-12-03;13-33-32-791257  ;;;  b'Strike Detected! reading of; -267; High, Low; 193, -141; Current Danger Level; 6; at tic; 5367909'
2021-12-03;13-38-39-667063  ;;;  b'Strike Detected! reading of; -206; High, Low; 196, -144; Current Danger Level; 5; at tic; 5674843\r\n'
2021-12-03;13-47-10-582247  ;;;  b'Strike Detected! reading of; 294; High, Low; 195, -141; Current Danger Level; 4; at tic; 6185704'
2021-12-03;13-50-35-125770  ;;;  b'Strike Detected! reading of; -264; High, Low; 195, -142; Current Danger Level; 4; at tic; 6390342\r\n'
2021-12-03;13-50-35-135769  ;;;  b'Strike Detected! reading of; -225; High, Low; 195, -142; Current Danger Level; 5; at tic; 6390344\r\n'
2021-12-03;13-52-17-024722  ;;;  b'Strike Detected! reading of; -251; High, Low; 226, -161; Current Danger Level; 5; at tic; 6492246\r\n'
2021-12-03;13-52-17-039744  ;;;  b'Strike Detected! reading of; -221; High, Low; 226, -161; Current Danger Level; 6; at tic; 6492248\r\n'
2021-12-03;13-53-59-264277  ;;;  b'Strike Detected! reading of; -282; High, Low; 227, -161; Current Danger Level; 6; at tic; 6594469\r\n'
2021-12-03;13-57-23-512345  ;;;  b'Strike Detected! reading of; -206; High, Low; 192, -136; Current Danger Level; 5; at tic; 6798630'
2021-12-03;14-00-47-627343  ;;;  b'Strike Detected! reading of; -201; High, Low; 198, -144; Current Danger Level; 5; at tic; 7002841\r\n'
2021-12-03;14-02-29-823591  ;;;  b'Strike Detected! reading of; -294; High, Low; 219, -158; Current Danger Level; 6; at tic; 7105040\r\n'
2021-12-03;14-04-06-471912  ;;;  b'Strike Detected! reading of; -351; High, Low; 225, -162; Current Danger Level; 6; at tic; 7201679\r\n'
2021-12-03;14-04-06-586877  ;;;  b'Strike Detected! reading of; -258; High, Low; 225, -162; Current Danger Level; 5; at tic; 7201710'
2021-12-03;14-09-18-297689  ;;;  b'Strike Detected! reading of; 287; High, Low; 200, -139; Current Danger Level; 5; at tic; 7513515\r\n'
2021-12-03;14-17-48-669930  ;;;  b'Strike Detected! reading of; -211; High, Low; 195, -136; Current Danger Level; 4; at tic; 8023806'
2021-12-03;14-21-12-902983  ;;;  b'Strike Detected! reading of; 262; High, Low; 193, -136; Current Danger Level; 4; at tic; 8228133\r\n'
2021-12-03;14-22-55-306653  ;;;  b'Strike Detected! reading of; 300; High, Low; 195, -140; Current Danger Level; 5; at tic; 8330529\r\n'
2021-12-03;14-28-02-095216  ;;;  b'Strike Detected! reading of; 286; High, Low; 196, -138; Current Danger Level; 5; at tic; 8637326\r\n'
2021-12-03;14-32-06-564686  ;;;  b'Strike Detected! reading of; -205; High, Low; 207, -149; Current Danger Level; 4; at tic; 8881717'
2021-12-03;14-33-08-306632  ;;;  b'Strike Detected! reading of; 336; High, Low; 193, -151; Current Danger Level; 5; at tic; 8943538\r\n'
2021-12-03;14-36-32-835490  ;;;  b'Strike Detected! reading of; -257; High, Low; 233, -150; Current Danger Level; 5; at tic; 9148083\r\n'
2021-12-03;14-36-32-853486  ;;;  b'Strike Detected! reading of; -230; High, Low; 233, -150; Current Danger Level; 6; at tic; 9148085\r\n'
2021-12-03;14-41-39-086691  ;;;  b'Strike Detected! reading of; -227; High, Low; 195, -144; Current Danger Level; 5; at tic; 9454340\r\n'
2021-12-03;14-41-39-107684  ;;;  b'Strike Detected! reading of; -278; High, Low; 195, -144; Current Danger Level; 6; at tic; 9454342\r\n'
2021-12-03;14-45-03-279243  ;;;  b'Strike Detected! reading of; -277; High, Low; 197, -152; Current Danger Level; 5; at tic; 9658514\r\n'
2021-12-03;14-48-27-039382  ;;;  b'Strike Detected! reading of; -275; High, Low; 232, -162; Current Danger Level; 5; at tic; 9862278\r\n'
2021-12-03;14-50-09-158033  ;;;  b'Strike Detected! reading of; -306; High, Low; 236, -172; Current Danger Level; 6; at tic; 9964403\r\n'
2021-12-03;14-53-33-675889  ;;;  b'Strike Detected! reading of; -229; High, Low; 202, -149; Current Danger Level; 5; at tic; 10168918\r\n'
2021-12-03;14-58-41-936599  ;;;  b'Strike Detected! reading of; 316; High, Low; 204, -147; Current Danger Level; 5; at tic; 10477190\r\n'
2021-12-03;15-02-06-626803  ;;;  b'Strike Detected! reading of; -297; High, Low; 195, -152; Current Danger Level; 5; at tic; 10681897\r\n'
2021-12-03;15-02-06-644792  ;;;  b'Strike Detected! reading of; -217; High, Low; 195, -152; Current Danger Level; 6; at tic; 10681900\r\n'
2021-12-03;15-10-37-421255  ;;;  b'Strike Detected! reading of; 286; High, Low; 196, -147; Current Danger Level; 4; at tic; 11192678\r\n'
2021-12-03;15-14-01-963435  ;;;  b'Strike Detected! reading of; -325; High, Low; 199, -145; Current Danger Level; 4; at tic; 11397228\r\n'
2021-12-03;15-15-43-962728  ;;;  b'Strike Detected! reading of; 288; High, Low; 193, -145; Current Danger Level; 5; at tic; 11499227\r\n'
2021-12-03;15-19-08-613046  ;;;  b'Strike Detected! reading of; -278; High, Low; 192, -148; Current Danger Level; 5; at tic; 11703890\r\n'
2021-12-03;15-19-08-627033  ;;;  b'Strike Detected! reading of; -216; High, Low; 192, -148; Current Danger Level; 6; at tic; 11703892\r\n'
2021-12-03;15-20-50-679344  ;;;  b'Strike Detected! reading of; 310; High, Low; 210, -150; Current Danger Level; 5; at tic; 11805941\r\n'
