
2021-11-28;00-02-15-579740  ;;;  b'Strike Detected! reading of; -444; High, Low; 200, -158; Current Danger Level; 5; at tic; 192826842'
2021-11-28;00-02-20-241281  ;;;  b'Strike Detected! reading of; -250; High, Low; 200, -158; Current Danger Level; 6; at tic; 192831579\r\n'
2021-11-28;00-07-27-470585  ;;;  b'Strike Detected! reading of; 288; High, Low; 202, -170; Current Danger Level; 5; at tic; 193138811\r\n'
2021-11-28;00-09-09-333643  ;;;  b'Strike Detected! reading of; -347; High, Low; 216, -169; Current Danger Level; 5; at tic; 193240677\r\n'
2021-11-28;00-19-22-320988  ;;;  b'Strike Detected! reading of; 316; High, Low; 199, -150; Current Danger Level; 4; at tic; 193853586'
2021-11-28;00-21-04-636455  ;;;  b'Strike Detected! reading of; -342; High, Low; 201, -153; Current Danger Level; 4; at tic; 193955989\r\n'
2021-11-28;00-22-46-992516  ;;;  b'Strike Detected! reading of; -319; High, Low; 196, -156; Current Danger Level; 5; at tic; 194058349\r\n'
2021-11-28;00-24-29-765238  ;;;  b'Strike Detected! reading of; 336; High, Low; 231, -179; Current Danger Level; 6; at tic; 194161118\r\n'
2021-11-28;00-29-36-201341  ;;;  b'Strike Detected! reading of; -260; High, Low; 204, -148; Current Danger Level; 4; at tic; 194467562\r\n'
2021-11-28;00-34-43-513153  ;;;  b'Strike Detected! reading of; -254; High, Low; 203, -154; Current Danger Level; 4; at tic; 194774878\r\n'
2021-11-28;00-38-08-352044  ;;;  b'Strike Detected! reading of; 335; High, Low; 198, -153; Current Danger Level; 4; at tic; 194979721\r\n'
2021-11-28;00-39-51-436416  ;;;  b'Strike Detected! reading of; -237; High, Low; 199, -140; Current Danger Level; 5; at tic; 195082810\r\n'
2021-11-28;00-40-07-295495  ;;;  b'Strike Detected! reading of; -343; High, Low; 211, -188; Current Danger Level; 6; at tic; 195098588'
2021-11-28;00-41-36-179208  ;;;  b'Strike Detected! reading of; 276; High, Low; 192, -149; Current Danger Level; 5; at tic; 195187563\r\n'
2021-11-28;00-41-36-197202  ;;;  b'Strike Detected! reading of; 257; High, Low; 192, -149; Current Danger Level; 6; at tic; 195187565\r\n'
2021-11-28;00-41-50-867593  ;;;  b'Strike Detected! reading of; -690; High, Low; 234, -155; Current Danger Level; 6; at tic; 195202258\r\n'
2021-11-28;00-41-50-980558  ;;;  b'Strike Detected! reading of; -275; High, Low; 234, -155; Current Danger Level; 6; at tic; 195202260'
2021-11-28;00-45-00-879383  ;;;  b'Strike Detected! reading of; -306; High, Low; 199, -147; Current Danger Level; 5; at tic; 195392245\r\n'
2021-11-28;00-46-43-180039  ;;;  b'Strike Detected! reading of; 337; High, Low; 212, -168; Current Danger Level; 6; at tic; 195494556\r\n'
2021-11-28;00-58-40-502505  ;;;  b'Strike Detected! reading of; -256; High, Low; 193, -154; Current Danger Level; 3; at tic; 196211803'
2021-11-28;01-00-22-684179  ;;;  b'Strike Detected! reading of; 306; High, Low; 178, -162; Current Danger Level; 4; at tic; 196314076\r\n'
2021-11-28;01-00-31-108993  ;;;  b'Strike Detected! reading of; -253; High, Low; 178, -162; Current Danger Level; 4; at tic; 196322516\r\n'
2021-11-28;01-00-31-222958  ;;;  b'Strike Detected! reading of; -226; High, Low; 178, -162; Current Danger Level; 5; at tic; 196322519'
2021-11-28;01-05-28-333450  ;;;  b'Strike Detected! reading of; -279; High, Low; 184, -160; Current Danger Level; 5; at tic; 196619725\r\n'
2021-11-28;01-07-11-474549  ;;;  b'Strike Detected! reading of; -263; High, Low; 201, -174; Current Danger Level; 6; at tic; 196722779'
2021-11-28;01-17-24-802920  ;;;  b'Strike Detected! reading of; -242; High, Low; 181, -159; Current Danger Level; 3; at tic; 197336214\r\n'
2021-11-28;01-17-24-836694  ;;;  b'Strike Detected! reading of; -218; High, Low; 181, -159; Current Danger Level; 4; at tic; 197336217\r\n'
2021-11-28;01-20-31-197675  ;;;  b'Strike Detected! reading of; 271; High, Low; 174, -158; Current Danger Level; 4; at tic; 197522522'
2021-11-28;01-22-31-598729  ;;;  b'Strike Detected! reading of; 274; High, Low; 175, -160; Current Danger Level; 5; at tic; 197642917'
2021-11-28;01-24-31-196555  ;;;  b'Strike Detected! reading of; 267; High, Low; 195, -169; Current Danger Level; 5; at tic; 197762523'
2021-11-28;01-27-37-293298  ;;;  b'Strike Detected! reading of; -276; High, Low; 193, -171; Current Danger Level; 6; at tic; 197948700\r\n'
2021-11-28;01-28-30-402928  ;;;  b'Strike Detected! reading of; 333; High, Low; 202, -199; Current Danger Level; 6; at tic; 198001733'
2021-11-28;01-31-01-220771  ;;;  b'Strike Detected! reading of; 251; High, Low; 173, -159; Current Danger Level; 5; at tic; 198152636\r\n'
