
2021-11-19;00-00-13-449943  ;;;  b'Strike Detected! reading of; -298; High, Low; 258, -159; Current Danger Level; 5; at tic; 273602846'
2021-11-19;00-05-02-227972  ;;;  b'Strike Detected! reading of; 264; High, Low; 191, -151; Current Danger Level; 5; at tic; 273891703\r\n'
2021-11-19;00-06-45-202676  ;;;  b'Strike Detected! reading of; -274; High, Low; 215, -162; Current Danger Level; 6; at tic; 273994622\r\n'
2021-11-19;00-06-45-226669  ;;;  b'Strike Detected! reading of; -250; High, Low; 215, -162; Current Danger Level; 6; at tic; 273994625\r\n'
2021-11-19;00-08-04-957536  ;;;  b'Strike Detected! reading of; 337; High, Low; 217, -171; Current Danger Level; 6; at tic; 274074358'
2021-11-19;00-09-35-165665  ;;;  b'Strike Detected! reading of; -214; High, Low; 195, -142; Current Danger Level; 5; at tic; 274164566'
2021-11-19;00-12-43-374575  ;;;  b'Strike Detected! reading of; -439; High, Low; 211, -148; Current Danger Level; 5; at tic; 274352779'
2021-11-19;00-15-20-886384  ;;;  b'Strike Detected! reading of; -284; High, Low; 223, -162; Current Danger Level; 6; at tic; 274510383\r\n'
2021-11-19;00-17-03-723208  ;;;  b'Strike Detected! reading of; -240; High, Low; 202, -144; Current Danger Level; 5; at tic; 274613222\r\n'
2021-11-19;00-17-03-767194  ;;;  b'Strike Detected! reading of; -263; High, Low; 202, -144; Current Danger Level; 6; at tic; 274613224\r\n'
2021-11-19;00-20-44-464956  ;;;  b'Strike Detected! reading of; -664; High, Low; 228, -154; Current Danger Level; 5; at tic; 274833979\r\n'
2021-11-19;00-20-44-582919  ;;;  b'Strike Detected! reading of; -292; High, Low; 228, -154; Current Danger Level; 6; at tic; 274833981'
2021-11-19;00-22-37-889005  ;;;  b'Strike Detected! reading of; -777; High, Low; 240, -190; Current Danger Level; 6; at tic; 274947401\r\n'
2021-11-19;00-22-38-002970  ;;;  b'Strike Detected! reading of; -334; High, Low; 240, -190; Current Danger Level; 6; at tic; 274947403'
2021-11-19;00-25-42-128505  ;;;  b'Strike Detected! reading of; 254; High, Low; 189, -139; Current Danger Level; 5; at tic; 275131633\r\n'
2021-11-19;00-25-42-168493  ;;;  b'Strike Detected! reading of; 304; High, Low; 189, -139; Current Danger Level; 6; at tic; 275131635\r\n'
2021-11-19;00-27-25-813284  ;;;  b'Strike Detected! reading of; -247; High, Low; 218, -157; Current Danger Level; 6; at tic; 275235220'
2021-11-19;00-33-37-637633  ;;;  b'Strike Detected! reading of; -244; High, Low; 187, -139; Current Danger Level; 4; at tic; 275607063'
2021-11-19;00-34-47-916011  ;;;  b'Strike Detected! reading of; 270; High, Low; 185, -144; Current Danger Level; 5; at tic; 275677342'
2021-11-19;00-37-46-366040  ;;;  b'Strike Detected! reading of; 294; High, Low; 185, -135; Current Danger Level; 5; at tic; 275855873\r\n'
2021-11-19;00-37-46-509995  ;;;  b'Strike Detected! reading of; -184; High, Low; 185, -135; Current Danger Level; 6; at tic; 275855915'
2021-11-19;00-38-09-467436  ;;;  b'Strike Detected! reading of; 321; High, Low; 239, -159; Current Danger Level; 6; at tic; 275878897'
2021-11-19;00-41-32-284627  ;;;  b'Strike Detected! reading of; 308; High, Low; 191, -140; Current Danger Level; 5; at tic; 276081712'
2021-11-19;00-42-56-966294  ;;;  b'Strike Detected! reading of; 306; High, Low; 226, -152; Current Danger Level; 6; at tic; 276166476\r\n'
2021-11-19;00-44-50-500838  ;;;  b'Strike Detected! reading of; -221; High, Low; 200, -145; Current Danger Level; 5; at tic; 276279936'
2021-11-19;00-48-07-393308  ;;;  b'Strike Detected! reading of; 292; High, Low; 213, -157; Current Danger Level; 6; at tic; 276476917\r\n'
2021-11-19;00-48-13-428760  ;;;  b'Strike Detected! reading of; -238; High, Low; 213, -157; Current Danger Level; 5; at tic; 276482859'
2021-11-19;00-56-46-040442  ;;;  b'Strike Detected! reading of; 287; High, Low; 187, -139; Current Danger Level; 4; at tic; 276995588\r\n'
2021-11-19;00-56-46-155406  ;;;  b'Strike Detected! reading of; 318; High, Low; 187, -139; Current Danger Level; 5; at tic; 276995590'
2021-11-19;01-00-12-229300  ;;;  b'Strike Detected! reading of; -352; High, Low; 213, -153; Current Danger Level; 6; at tic; 277201756\r\n'
2021-11-19;01-01-55-614052  ;;;  b'Strike Detected! reading of; 282; High, Low; 185, -145; Current Danger Level; 5; at tic; 277305154\r\n'
2021-11-19;01-10-30-764569  ;;;  b'Strike Detected! reading of; -267; High, Low; 183, -137; Current Danger Level; 4; at tic; 277820307\r\n'
2021-11-19;01-10-30-785577  ;;;  b'Strike Detected! reading of; -235; High, Low; 183, -137; Current Danger Level; 5; at tic; 277820309\r\n'
2021-11-19;01-13-57-940175  ;;;  b'Strike Detected! reading of; 285; High, Low; 188, -139; Current Danger Level; 5; at tic; 278027486\r\n'
2021-11-19;01-17-23-666036  ;;;  b'Strike Detected! reading of; -223; High, Low; 190, -150; Current Danger Level; 5; at tic; 278233224\r\n'
2021-11-19;01-17-23-785998  ;;;  b'Strike Detected! reading of; -276; High, Low; 190, -150; Current Danger Level; 6; at tic; 278233226'
2021-11-19;01-19-06-231490  ;;;  b'Strike Detected! reading of; -221; High, Low; 216, -161; Current Danger Level; 6; at tic; 278335781\r\n'
2021-11-19;01-19-06-254479  ;;;  b'Strike Detected! reading of; -259; High, Low; 216, -161; Current Danger Level; 6; at tic; 278335783\r\n'
2021-11-19;01-20-13-393321  ;;;  b'Strike Detected! reading of; -276; High, Low; 212, -182; Current Danger Level; 5; at tic; 278402867'
2021-11-19;01-25-59-232546  ;;;  b'Strike Detected! reading of; 312; High, Low; 190, -137; Current Danger Level; 5; at tic; 278748789\r\n'
2021-11-19;01-27-42-255188  ;;;  b'Strike Detected! reading of; 287; High, Low; 214, -152; Current Danger Level; 6; at tic; 278851817\r\n'
2021-11-19;01-28-13-302384  ;;;  b'Strike Detected! reading of; -275; High, Low; 250, -154; Current Danger Level; 5; at tic; 278882869\r\n'
2021-11-19;01-28-13-426344  ;;;  b'Strike Detected! reading of; -227; High, Low; 250, -154; Current Danger Level; 6; at tic; 278882871'
2021-11-19;01-34-34-389218  ;;;  b'Strike Detected! reading of; 282; High, Low; 190, -142; Current Danger Level; 5; at tic; 279263958\r\n'
2021-11-19;01-34-34-713116  ;;;  b'Strike Detected! reading of; 278; High, Low; 190, -142; Current Danger Level; 6; at tic; 279264201'
2021-11-19;01-36-19-962406  ;;;  b'Strike Detected! reading of; 398; High, Low; 217, -154; Current Danger Level; 5; at tic; 279369460'
2021-11-19;01-39-54-965541  ;;;  b'Strike Detected! reading of; -239; High, Low; 208, -156; Current Danger Level; 6; at tic; 279584443'
2021-11-19;01-41-43-423657  ;;;  b'Strike Detected! reading of; -266; High, Low; 187, -139; Current Danger Level; 5; at tic; 279692915'
2021-11-19;01-43-08-403878  ;;;  b'Strike Detected! reading of; 275; High, Low; 206, -161; Current Danger Level; 6; at tic; 279777982\r\n'
2021-11-19;01-46-34-543437  ;;;  b'Strike Detected! reading of; 271; High, Low; 189, -149; Current Danger Level; 5; at tic; 279984124\r\n'
2021-11-19;01-49-59-588975  ;;;  b'Strike Detected! reading of; 284; High, Low; 190, -151; Current Danger Level; 5; at tic; 280189176\r\n'
2021-11-19;01-49-59-609968  ;;;  b'Strike Detected! reading of; 260; High, Low; 190, -151; Current Danger Level; 6; at tic; 280189178\r\n'
2021-11-19;01-53-26-333745  ;;;  b'Strike Detected! reading of; 286; High, Low; 187, -137; Current Danger Level; 5; at tic; 280395920\r\n'
2021-11-19;01-56-51-020533  ;;;  b'Strike Detected! reading of; -281; High, Low; 192, -140; Current Danger Level; 5; at tic; 280600619\r\n'
2021-11-19;01-56-51-039527  ;;;  b'Strike Detected! reading of; -219; High, Low; 192, -140; Current Danger Level; 6; at tic; 280600621\r\n'
2021-11-19;02-00-12-243118  ;;;  b'Strike Detected! reading of; 335; High, Low; 211, -152; Current Danger Level; 6; at tic; 280801757'
2021-11-19;02-00-14-759324  ;;;  b'Strike Detected! reading of; -252; High, Low; 211, -152; Current Danger Level; 5; at tic; 280804362\r\n'
2021-11-19;02-00-14-775318  ;;;  b'Strike Detected! reading of; -250; High, Low; 211, -152; Current Danger Level; 6; at tic; 280804364\r\n'
2021-11-19;02-05-20-543141  ;;;  b'Strike Detected! reading of; -275; High, Low; 186, -136; Current Danger Level; 5; at tic; 281110146\r\n'
2021-11-19;02-07-02-363795  ;;;  b'Strike Detected! reading of; -260; High, Low; 211, -157; Current Danger Level; 6; at tic; 281211959\r\n'
2021-11-19;02-07-02-386787  ;;;  b'Strike Detected! reading of; -236; High, Low; 211, -157; Current Danger Level; 6; at tic; 281211961\r\n'
2021-11-19;02-08-44-571573  ;;;  b'Strike Detected! reading of; -287; High, Low; 199, -146; Current Danger Level; 5; at tic; 281314169\r\n'
2021-11-19;02-10-26-375078  ;;;  b'Strike Detected! reading of; 299; High, Low; 210, -153; Current Danger Level; 6; at tic; 281415982\r\n'
2021-11-19;02-13-50-016366  ;;;  b'Strike Detected! reading of; 293; High, Low; 185, -134; Current Danger Level; 5; at tic; 281619621\r\n'
