
2022-06-22;09-07-16-166397  ;;;  b'Strike Detected! reading of; 915; High, Low; 483, -480; Current Danger Level; 1; at tic; 1452735263'
2022-06-22;11-30-10-605720  ;;;  b'Strike Detected! reading of; 927; High, Low; 467, -479; Current Danger Level; 1; at tic; 1461309854'
2022-06-22;12-18-52-651261  ;;;  b'Strike Detected! reading of; 915; High, Low; 491, -478; Current Danger Level; 1; at tic; 1464231950'
2022-06-22;13-16-28-063668  ;;;  b'Strike Detected! reading of; 955; High, Low; 493, -478; Current Danger Level; 1; at tic; 1467687445'
2022-06-22;16-37-18-632253  ;;;  b'Strike Detected! reading of; 1023; High, Low; 482, -477; Current Danger Level; 1; at tic; 1479738177'
2022-06-22;16-37-19-381494  ;;;  b'Strike Detected! reading of; 767; High, Low; 482, -477; Current Danger Level; 2; at tic; 1479738927'
2022-06-22;16-37-19-918922  ;;;  b'Strike Detected! reading of; 809; High, Low; 482, -477; Current Danger Level; 3; at tic; 1479739462'
2022-06-22;18-08-29-198742  ;;;  b'Strike Detected! reading of; 838; High, Low; 502, -483; Current Danger Level; 1; at tic; 1485208853'
2022-06-22;18-08-29-431651  ;;;  b'Strike Detected! reading of; 1023; High, Low; 502, -483; Current Danger Level; 2; at tic; 1485209036'
2022-06-22;18-13-49-786459  ;;;  b'Strike Detected! reading of; 766; High, Low; 519, -581; Current Danger Level; 2; at tic; 1485529443'
2022-06-22;18-13-59-425828  ;;;  b'Strike Detected! reading of; 829; High, Low; 519, -581; Current Danger Level; 3; at tic; 1485539176\r\n'
2022-06-22;20-20-31-846628  ;;;  b'Strike Detected! reading of; 753; High, Low; 486, -478; Current Danger Level; 1; at tic; 1493131618'
2022-06-22;20-20-32-088166  ;;;  b'Strike Detected! reading of; 898; High, Low; 486, -478; Current Danger Level; 2; at tic; 1493131884'
2022-06-22;20-55-19-890919  ;;;  b'Strike Detected! reading of; 1023; High, Low; 494, -482; Current Danger Level; 1; at tic; 1495219695'
