
2022-05-28;00-35-03-737925  ;;;  b'Strike Detected! reading of; 603; High, Low; 438, -478; Current Danger Level; 1; at tic; 1395742299'
2022-05-28;10-38-09-679825  ;;;  b'Strike Detected! reading of; 795; High, Low; 428, -475; Current Danger Level; 1; at tic; 1431928827'
2022-05-28;11-25-40-212248  ;;;  b'Strike Detected! reading of; 659; High, Low; 435, -474; Current Danger Level; 1; at tic; 1434779447'
2022-05-28;11-45-42-597036  ;;;  b'Strike Detected! reading of; 628; High, Low; 468, -475; Current Danger Level; 1; at tic; 1435981846'
2022-05-28;12-16-19-620296  ;;;  b'Strike Detected! reading of; 849; High, Low; 475, -475; Current Danger Level; 1; at tic; 1437818904'
2022-05-28;16-28-36-784227  ;;;  b'Strike Detected! reading of; 990; High, Low; 451, -476; Current Danger Level; 1; at tic; 1452956341'
2022-05-28;16-59-20-258106  ;;;  b'Strike Detected! reading of; 701; High, Low; 466, -481; Current Danger Level; 1; at tic; 1454799828'
2022-05-28;17-07-16-404435  ;;;  b'Strike Detected! reading of; 689; High, Low; 448, -479; Current Danger Level; 1; at tic; 1455275984'
2022-05-28;22-51-13-808679  ;;;  b'Strike Detected! reading of; 1023; High, Low; 469, -477; Current Danger Level; 1; at tic; 1475913737'
2022-05-28;23-39-16-919947  ;;;  b'Strike Detected! reading of; 954; High, Low; 468, -474; Current Danger Level; 1; at tic; 1478796886'
