
2022-07-12;05-43-02-704944  ;;;  b'Strike Detected! reading of; 717; High, Low; 485, -478; Current Danger Level; 1; at tic; 1184568370'
2022-07-12;08-34-25-377464  ;;;  b'Strike Detected! reading of; 664; High, Low; 468, -485; Current Danger Level; 1; at tic; 1194851210'
2022-07-12;10-49-54-624319  ;;;  b'Strike Detected! reading of; 950; High, Low; 487, -478; Current Danger Level; 1; at tic; 1202980592'
2022-07-12;15-20-40-461148  ;;;  b'Strike Detected! reading of; 894; High, Low; 480, -483; Current Danger Level; 1; at tic; 1219226691'
2022-07-12;15-41-41-916683  ;;;  b'Strike Detected! reading of; 844; High, Low; 493, -481; Current Danger Level; 1; at tic; 1220488169'
2022-07-12;16-48-28-739714  ;;;  b'Strike Detected! reading of; 1023; High, Low; 491, -482; Current Danger Level; 1; at tic; 1224495066'
2022-07-12;16-51-10-753530  ;;;  b'Strike Detected! reading of; 675; High, Low; 495, -481; Current Danger Level; 2; at tic; 1224657088'
2022-07-12;17-02-59-244156  ;;;  b'Strike Detected! reading of; 814; High, Low; 473, -480; Current Danger Level; 1; at tic; 1225365581'
2022-07-12;17-02-59-603560  ;;;  b'Strike Detected! reading of; 838; High, Low; 473, -480; Current Danger Level; 2; at tic; 1225365914'
2022-07-12;17-02-59-926373  ;;;  b'Strike Detected! reading of; 770; High, Low; 473, -480; Current Danger Level; 3; at tic; 1225366280'
