
2022-07-10;02-06-24-058915  ;;;  b'Strike Detected! reading of; 868; High, Low; 485, -479; Current Danger Level; 1; at tic; 998766598'
2022-07-10;10-13-07-125435  ;;;  b'Strike Detected! reading of; 699; High, Low; 472, -479; Current Danger Level; 1; at tic; 1027969953'
2022-07-10;10-13-07-234813  ;;;  b'Strike Detected! reading of; 703; High, Low; 472, -479; Current Danger Level; 2; at tic; 1027970224'
2022-07-10;10-13-07-671799  ;;;  b'Strike Detected! reading of; 981; High, Low; 472, -479; Current Danger Level; 3; at tic; 1027970703'
2022-07-10;10-13-24-223276  ;;;  b'Strike Detected! reading of; 1023; High, Low; 726, -476; Current Danger Level; 4; at tic; 1027987253'
2022-07-10;10-31-07-759594  ;;;  b'Strike Detected! reading of; 930; High, Low; 487, -489; Current Danger Level; 1; at tic; 1029050790'
2022-07-10;11-39-15-787746  ;;;  b'Strike Detected! reading of; 763; High, Low; 470, -479; Current Danger Level; 1; at tic; 1033138884'
2022-07-10;16-06-08-359015  ;;;  b'Strike Detected! reading of; 636; High, Low; 472, -478; Current Danger Level; 1; at tic; 1049151704'
2022-07-10;18-40-58-864885  ;;;  b'Strike Detected! reading of; 829; High, Low; 477, -475; Current Danger Level; 1; at tic; 1058442364'
2022-07-10;20-19-37-473473  ;;;  b'Strike Detected! reading of; 970; High, Low; 467, -491; Current Danger Level; 1; at tic; 1064361067'
2022-07-10;21-53-52-700137  ;;;  b'Strike Detected! reading of; 925; High, Low; 489, -482; Current Danger Level; 1; at tic; 1070016406'
2022-07-10;21-53-53-669235  ;;;  b'Strike Detected! reading of; 917; High, Low; 489, -482; Current Danger Level; 2; at tic; 1070017486\r\n'
2022-07-10;21-53-53-684859  ;;;  b'Strike Detected! reading of; 905; High, Low; 489, -482; Current Danger Level; 3; at tic; 1070017503\r\n'
2022-07-10;21-53-53-684859  ;;;  b'Strike Detected! reading of; 752; High, Low; 489, -482; Current Danger Level; 4; at tic; 1070017519\r\n'
2022-07-10;21-53-53-794286  ;;;  b'Strike Detected! reading of; 751; High, Low; 489, -482; Current Danger Level; 5; at tic; 1070017521'
2022-07-10;21-53-54-243447  ;;;  b'Strike Detected! reading of; 916; High, Low; 489, -482; Current Danger Level; 6; at tic; 1070017970'
2022-07-10;21-53-54-622833  ;;;  b'Strike Detected! reading of; 751; High, Low; 489, -482; Current Danger Level; 6; at tic; 1070018385\r\n'
2022-07-10;21-53-54-747830  ;;;  b'Strike Detected! reading of; 1023; High, Low; 489, -482; Current Danger Level; 6; at tic; 1070018468'
2022-07-10;21-53-54-950959  ;;;  b'Strike Detected! reading of; 866; High, Low; 489, -482; Current Danger Level; 6; at tic; 1070018686'
2022-07-10;21-53-56-021848  ;;;  b'Strike Detected! reading of; 728; High, Low; 489, -482; Current Danger Level; 6; at tic; 1070019770'
2022-07-10;21-53-57-451775  ;;;  b'Strike Detected! reading of; 933; High, Low; 489, -482; Current Danger Level; 6; at tic; 1070021185'
2022-07-10;21-55-00-878865  ;;;  b'Strike Detected! reading of; 873; High, Low; 502, -515; Current Danger Level; 6; at tic; 1070084675\r\n'
2022-07-10;21-55-01-003865  ;;;  b'Strike Detected! reading of; 940; High, Low; 502, -515; Current Danger Level; 6; at tic; 1070084726'
2022-07-10;21-55-01-261523  ;;;  b'Strike Detected! reading of; 688; High, Low; 502, -515; Current Danger Level; 6; at tic; 1070085010'
2022-07-10;21-55-02-760600  ;;;  b'Strike Detected! reading of; 945; High, Low; 502, -515; Current Danger Level; 6; at tic; 1070086493'
2022-07-10;21-55-03-324760  ;;;  b'Strike Detected! reading of; 793; High, Low; 502, -515; Current Danger Level; 6; at tic; 1070087058'
2022-07-10;21-55-51-988440  ;;;  b'Strike Detected! reading of; 745; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070135723'
2022-07-10;21-55-52-416980  ;;;  b'Strike Detected! reading of; 954; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070136155'
2022-07-10;21-55-52-686298  ;;;  b'Strike Detected! reading of; 829; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070136422'
2022-07-10;21-55-54-276838  ;;;  b'Strike Detected! reading of; 791; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070138007'
2022-07-10;21-55-54-417463  ;;;  b'Strike Detected! reading of; 810; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070138158'
2022-07-10;21-55-54-546158  ;;;  b'Strike Detected! reading of; 913; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070138271'
2022-07-10;21-55-58-766204  ;;;  b'Strike Detected! reading of; 1009; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070142503'
2022-07-10;21-56-05-264514  ;;;  b'Strike Detected! reading of; 742; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070149066\r\n'
2022-07-10;21-56-05-373970  ;;;  b'Strike Detected! reading of; 731; High, Low; 531, -552; Current Danger Level; 6; at tic; 1070149101'
2022-07-10;23-26-12-947569  ;;;  b'Strike Detected! reading of; 729; High, Low; 485, -478; Current Danger Level; 1; at tic; 1075556757'
