
2021-12-02;00-01-24-857387  ;;;  b'Strike Detected! reading of; 313; High, Low; 209, -171; Current Danger Level; 5; at tic; 538381856\r\n'
2021-12-02;00-03-48-426991  ;;;  b'Strike Detected! reading of; 346; High, Low; 256, -190; Current Danger Level; 6; at tic; 538525327'
2021-12-02;00-05-17-403328  ;;;  b'Strike Detected! reading of; -252; High, Low; 218, -174; Current Danger Level; 5; at tic; 538614307'
2021-12-02;00-06-35-386894  ;;;  b'Strike Detected! reading of; 332; High, Low; 236, -196; Current Danger Level; 6; at tic; 538692370\r\n'
2021-12-02;00-11-45-759439  ;;;  b'Strike Detected! reading of; -323; High, Low; 202, -170; Current Danger Level; 5; at tic; 539002753\r\n'
2021-12-02;00-15-12-378969  ;;;  b'Strike Detected! reading of; -336; High, Low; 203, -171; Current Danger Level; 5; at tic; 539209341\r\n'
2021-12-02;00-18-39-055185  ;;;  b'Strike Detected! reading of; -239; High, Low; 207, -173; Current Danger Level; 5; at tic; 539416073\r\n'
2021-12-02;00-18-39-073184  ;;;  b'Strike Detected! reading of; -292; High, Low; 207, -173; Current Danger Level; 6; at tic; 539416075\r\n'
2021-12-02;00-18-39-111167  ;;;  b'Strike Detected! reading of; -243; High, Low; 207, -173; Current Danger Level; 6; at tic; 539416123\r\n'
2021-12-02;00-18-39-225127  ;;;  b'Strike Detected! reading of; -283; High, Low; 207, -173; Current Danger Level; 6; at tic; 539416125'
2021-12-02;00-23-50-780804  ;;;  b'Strike Detected! reading of; -248; High, Low; 201, -165; Current Danger Level; 5; at tic; 539727797\r\n'
2021-12-02;00-23-50-798798  ;;;  b'Strike Detected! reading of; -259; High, Low; 201, -165; Current Danger Level; 6; at tic; 539727799\r\n'
2021-12-02;00-27-16-227578  ;;;  b'Strike Detected! reading of; 272; High, Low; 196, -162; Current Danger Level; 5; at tic; 539933243\r\n'
2021-12-02;00-28-24-902445  ;;;  b'Strike Detected! reading of; 348; High, Low; 237, -183; Current Danger Level; 6; at tic; 540001830'
2021-12-02;00-35-51-348478  ;;;  b'Strike Detected! reading of; 337; High, Low; 205, -176; Current Danger Level; 4; at tic; 540448363\r\n'
2021-12-02;00-38-22-090087  ;;;  b'Strike Detected! reading of; -630; High, Low; 204, -171; Current Danger Level; 4; at tic; 540599132\r\n'
2021-12-02;00-38-22-205083  ;;;  b'Strike Detected! reading of; -246; High, Low; 204, -171; Current Danger Level; 5; at tic; 540599134'
2021-12-02;00-40-59-982203  ;;;  b'Strike Detected! reading of; 345; High, Low; 219, -178; Current Danger Level; 5; at tic; 540757009\r\n'
2021-12-02;00-42-43-087219  ;;;  b'Strike Detected! reading of; 351; High, Low; 243, -184; Current Danger Level; 6; at tic; 540860113\r\n'
2021-12-02;00-44-25-675040  ;;;  b'Strike Detected! reading of; -274; High, Low; 263, -185; Current Danger Level; 6; at tic; 540962708\r\n'
2021-12-02;00-46-39-797227  ;;;  b'Strike Detected! reading of; -292; High, Low; 199, -164; Current Danger Level; 5; at tic; 541096743'
2021-12-02;00-48-18-976598  ;;;  b'Strike Detected! reading of; -263; High, Low; 230, -193; Current Danger Level; 6; at tic; 541195927'
2021-12-02;00-51-20-494821  ;;;  b'Strike Detected! reading of; 317; High, Low; 197, -166; Current Danger Level; 5; at tic; 541377534\r\n'
2021-12-02;00-53-03-271341  ;;;  b'Strike Detected! reading of; 345; High, Low; 229, -176; Current Danger Level; 5; at tic; 541480313\r\n'
2021-12-02;00-53-03-431331  ;;;  b'Strike Detected! reading of; -309; High, Low; 229, -176; Current Danger Level; 6; at tic; 541480355'
2021-12-02;00-56-30-688828  ;;;  b'Strike Detected! reading of; 345; High, Low; 238, -189; Current Danger Level; 5; at tic; 541687730\r\n'
2021-12-02;01-00-52-272463  ;;;  b'Strike Detected! reading of; -560; High, Low; 245, -185; Current Danger Level; 5; at tic; 541949235'
2021-12-02;01-08-28-850332  ;;;  b'Strike Detected! reading of; 336; High, Low; 203, -169; Current Danger Level; 4; at tic; 542405813'
2021-12-02;01-10-11-300878  ;;;  b'Strike Detected! reading of; 277; High, Low; 200, -166; Current Danger Level; 5; at tic; 542508323\r\n'
2021-12-02;01-18-45-156276  ;;;  b'Strike Detected! reading of; 292; High, Low; 199, -167; Current Danger Level; 4; at tic; 543022213\r\n'
2021-12-02;01-20-27-371517  ;;;  b'Strike Detected! reading of; -258; High, Low; 203, -172; Current Danger Level; 4; at tic; 543124451\r\n'
2021-12-02;01-20-27-386545  ;;;  b'Strike Detected! reading of; -272; High, Low; 203, -172; Current Danger Level; 5; at tic; 543124453\r\n'
2021-12-02;01-23-52-909900  ;;;  b'Strike Detected! reading of; -333; High, Low; 238, -190; Current Danger Level; 6; at tic; 543329979\r\n'
2021-12-02;01-28-27-006925  ;;;  b'Strike Detected! reading of; -288; High, Low; 198, -179; Current Danger Level; 4; at tic; 543603998'
2021-12-02;01-29-00-227043  ;;;  b'Strike Detected! reading of; -272; High, Low; 209, -199; Current Danger Level; 5; at tic; 543637239\r\n'
2021-12-02;01-29-00-269020  ;;;  b'Strike Detected! reading of; -276; High, Low; 209, -199; Current Danger Level; 6; at tic; 543637242\r\n'
2021-12-02;01-30-43-129359  ;;;  b'Strike Detected! reading of; 318; High, Low; 232, -186; Current Danger Level; 6; at tic; 543740115'
2021-12-02;01-35-50-714900  ;;;  b'Strike Detected! reading of; -292; High, Low; 197, -161; Current Danger Level; 5; at tic; 544047799\r\n'
2021-12-02;01-39-16-113015  ;;;  b'Strike Detected! reading of; -250; High, Low; 214, -169; Current Danger Level; 5; at tic; 544253193\r\n'
