
2021-12-15;11-53-03-443840  ;;;  b'Strike Detected! reading of; 326; High, Low; 194, -210; Current Danger Level; 1; at tic; 752401890'
2021-12-15;11-58-04-728998  ;;;  b'Strike Detected! reading of; 264; High, Low; 193, -212; Current Danger Level; 1; at tic; 752703264\r\n'
2021-12-15;12-09-57-889507  ;;;  b'Strike Detected! reading of; 261; High, Low; 194, -213; Current Danger Level; 1; at tic; 753416429\r\n'
2021-12-15;12-33-43-588714  ;;;  b'Strike Detected! reading of; 274; High, Low; 193, -216; Current Danger Level; 1; at tic; 754842159\r\n'
2021-12-15;12-52-25-275136  ;;;  b'Strike Detected! reading of; 277; High, Low; 192, -217; Current Danger Level; 1; at tic; 755963864\r\n'
2021-12-15;12-53-03-385138  ;;;  b'Strike Detected! reading of; 313; High, Low; 213, -217; Current Danger Level; 2; at tic; 756001892'
2021-12-15;13-12-49-020918  ;;;  b'Strike Detected! reading of; 260; High, Low; 194, -213; Current Danger Level; 1; at tic; 757187630\r\n'
2021-12-15;13-12-49-156875  ;;;  b'Strike Detected! reading of; 261; High, Low; 194, -213; Current Danger Level; 2; at tic; 757187678'
2021-12-15;13-21-18-654492  ;;;  b'Strike Detected! reading of; 261; High, Low; 195, -216; Current Danger Level; 1; at tic; 757697270\r\n'
2021-12-15;13-53-03-329926  ;;;  b'Strike Detected! reading of; 311; High, Low; 192, -217; Current Danger Level; 1; at tic; 759601892'
2021-12-15;15-07-51-015265  ;;;  b'Strike Detected! reading of; 479; High, Low; 196, -215; Current Danger Level; 1; at tic; 764089652'
2021-12-15;15-12-04-447488  ;;;  b'Strike Detected! reading of; 386; High, Low; 197, -372; Current Danger Level; 1; at tic; 764343089'
2021-12-15;15-18-26-921092  ;;;  b'Strike Detected! reading of; 276; High, Low; 197, -216; Current Danger Level; 1; at tic; 764725653\r\n'
2021-12-15;15-30-20-908338  ;;;  b'Strike Detected! reading of; 263; High, Low; 192, -215; Current Danger Level; 1; at tic; 765439646\r\n'
2021-12-15;16-17-53-898256  ;;;  b'Strike Detected! reading of; 258; High, Low; 193, -214; Current Danger Level; 1; at tic; 768292599'
2021-12-15;16-24-41-159056  ;;;  b'Strike Detected! reading of; 261; High, Low; 193, -214; Current Danger Level; 1; at tic; 768699950\r\n'
2021-12-15;16-31-28-686771  ;;;  b'Strike Detected! reading of; 261; High, Low; 194, -214; Current Danger Level; 1; at tic; 769107456\r\n'
2021-12-15;16-50-08-709203  ;;;  b'Strike Detected! reading of; 268; High, Low; 193, -219; Current Danger Level; 1; at tic; 770227531\r\n'
2021-12-15;17-20-42-533941  ;;;  b'Strike Detected! reading of; 263; High, Low; 195, -220; Current Danger Level; 1; at tic; 772061298'
2021-12-15;17-30-54-041448  ;;;  b'Strike Detected! reading of; 278; High, Low; 205, -210; Current Danger Level; 1; at tic; 772672901\r\n'
2021-12-15;17-58-10-926604  ;;;  b'Strike Detected! reading of; 266; High, Low; 197, -213; Current Danger Level; 1; at tic; 774309805\r\n'
2021-12-15;18-30-50-102760  ;;;  b'Strike Detected! reading of; 295; High, Low; 196, -215; Current Danger Level; 1; at tic; 776269026\r\n'
2021-12-15;18-32-32-609982  ;;;  b'Strike Detected! reading of; 283; High, Low; 204, -214; Current Danger Level; 2; at tic; 776371443'
2021-12-15;18-59-16-699542  ;;;  b'Strike Detected! reading of; 279; High, Low; 202, -215; Current Danger Level; 1; at tic; 777975563'
2021-12-15;19-27-22-652637  ;;;  b'Strike Detected! reading of; 262; High, Low; 195, -215; Current Danger Level; 1; at tic; 779661624\r\n'
2021-12-15;20-54-11-276286  ;;;  b'Strike Detected! reading of; 269; High, Low; 194, -231; Current Danger Level; 1; at tic; 784870242\r\n'
2021-12-15;20-54-49-627215  ;;;  b'Strike Detected! reading of; 348; High, Low; 212, -219; Current Danger Level; 2; at tic; 784908607'
2021-12-15;21-13-06-523231  ;;;  b'Strike Detected! reading of; 280; High, Low; 193, -215; Current Danger Level; 1; at tic; 786005605\r\n'
2021-12-15;21-32-05-141812  ;;;  b'Strike Detected! reading of; 268; High, Low; 195, -213; Current Danger Level; 1; at tic; 787144240\r\n'
2021-12-15;21-45-52-951523  ;;;  b'Strike Detected! reading of; 277; High, Low; 196, -209; Current Danger Level; 1; at tic; 787972067\r\n'
2021-12-15;21-49-19-934417  ;;;  b'Strike Detected! reading of; 277; High, Low; 199, -206; Current Danger Level; 1; at tic; 788179051\r\n'
2021-12-15;21-50-56-180846  ;;;  b'Strike Detected! reading of; 305; High, Low; 202, -209; Current Danger Level; 2; at tic; 788275214'
2021-12-15;21-53-02-863399  ;;;  b'Strike Detected! reading of; 318; High, Low; 206, -208; Current Danger Level; 3; at tic; 788401900'
2021-12-15;22-21-32-883263  ;;;  b'Strike Detected! reading of; 312; High, Low; 195, -211; Current Danger Level; 1; at tic; 790112047\r\n'
2021-12-15;22-21-32-998221  ;;;  b'Strike Detected! reading of; 282; High, Low; 195, -211; Current Danger Level; 2; at tic; 790112049'
2021-12-15;23-15-25-349344  ;;;  b'Strike Detected! reading of; 271; High, Low; 193, -215; Current Danger Level; 1; at tic; 793344517\r\n'
2021-12-15;23-17-09-276648  ;;;  b'Strike Detected! reading of; 263; High, Low; 196, -214; Current Danger Level; 1; at tic; 793448467\r\n'
