
2021-11-21;00-00-09-582845  ;;;  b'Strike Detected! reading of; -336; High, Low; 224, -168; Current Danger Level; 6; at tic; 446401804'
2021-11-21;00-03-26-111258  ;;;  b'Strike Detected! reading of; 336; High, Low; 215, -152; Current Danger Level; 5; at tic; 446598321'
2021-11-21;00-06-00-874031  ;;;  b'Strike Detected! reading of; 264; High, Low; 195, -148; Current Danger Level; 5; at tic; 446753160\r\n'
2021-11-21;00-06-00-988996  ;;;  b'Strike Detected! reading of; 263; High, Low; 195, -148; Current Danger Level; 6; at tic; 446753162'
2021-11-21;00-10-17-350968  ;;;  b'Strike Detected! reading of; 330; High, Low; 194, -154; Current Danger Level; 5; at tic; 447009560'
2021-11-21;00-15-31-518808  ;;;  b'Strike Detected! reading of; -238; High, Low; 191, -157; Current Danger Level; 5; at tic; 447323842\r\n'
2021-11-21;00-17-16-802284  ;;;  b'Strike Detected! reading of; 302; High, Low; 197, -154; Current Danger Level; 5; at tic; 447429026'
2021-11-21;00-18-59-467198  ;;;  b'Strike Detected! reading of; -312; High, Low; 227, -167; Current Danger Level; 6; at tic; 447531784\r\n'
2021-11-21;00-24-11-347974  ;;;  b'Strike Detected! reading of; -290; High, Low; 190, -151; Current Danger Level; 4; at tic; 447843590'
2021-11-21;00-25-55-592061  ;;;  b'Strike Detected! reading of; 320; High, Low; 198, -152; Current Danger Level; 5; at tic; 447947823'
2021-11-21;00-27-41-416657  ;;;  b'Strike Detected! reading of; -269; High, Low; 232, -166; Current Danger Level; 6; at tic; 448053650'
2021-11-21;00-29-23-996063  ;;;  b'Strike Detected! reading of; -215; High, Low; 192, -151; Current Danger Level; 5; at tic; 448156317\r\n'
2021-11-21;00-29-24-013059  ;;;  b'Strike Detected! reading of; -287; High, Low; 192, -151; Current Danger Level; 6; at tic; 448156319\r\n'
2021-11-21;00-31-06-533416  ;;;  b'Strike Detected! reading of; -257; High, Low; 226, -167; Current Danger Level; 6; at tic; 448258842\r\n'
