
2022-05-27;00-29-55-122479  ;;;  b'Strike Detected! reading of; 859; High, Low; 443, -473; Current Danger Level; 1; at tic; 1309032230'
2022-05-27;05-37-34-613984  ;;;  b'Strike Detected! reading of; 711; High, Low; 470, -477; Current Danger Level; 1; at tic; 1327491915'
2022-05-27;06-04-55-318571  ;;;  b'Strike Detected! reading of; 670; High, Low; 472, -472; Current Danger Level; 1; at tic; 1329132774'
2022-05-27;07-34-51-235602  ;;;  b'Strike Detected! reading of; 1023; High, Low; 463, -475; Current Danger Level; 1; at tic; 1334528773'
2022-05-27;08-19-08-527632  ;;;  b'Strike Detected! reading of; 785; High, Low; 445, -476; Current Danger Level; 1; at tic; 1337186118'
2022-05-27;08-19-23-881084  ;;;  b'Strike Detected! reading of; 971; High, Low; 615, -476; Current Danger Level; 2; at tic; 1337201472'
2022-05-27;11-43-51-920464  ;;;  b'Strike Detected! reading of; 690; High, Low; 463, -475; Current Danger Level; 1; at tic; 1349469724'
2022-05-27;16-18-58-201256  ;;;  b'Strike Detected! reading of; 589; High, Low; 424, -476; Current Danger Level; 1; at tic; 1365976221'
2022-05-27;17-21-48-301452  ;;;  b'Strike Detected! reading of; 1023; High, Low; 443, -472; Current Danger Level; 1; at tic; 1369746427'
