
2022-07-01;03-38-41-000534  ;;;  b'Strike Detected! reading of; 713; High, Low; 479, -480; Current Danger Level; 1; at tic; 226690581'
2022-07-01;07-09-43-137733  ;;;  b'Strike Detected! reading of; 731; High, Low; 481, -481; Current Danger Level; 1; at tic; 239352886'
2022-07-01;10-43-16-957608  ;;;  b'Strike Detected! reading of; 193; High, Low; 139, -111; Current Danger Level; 1; at tic; 252167057\r\n'
2022-07-01;10-43-16-988871  ;;;  b'Strike Detected! reading of; 264; High, Low; 139, -111; Current Danger Level; 2; at tic; 252167059\r\n'
2022-07-01;10-43-17-035751  ;;;  b'Strike Detected! reading of; 304; High, Low; 139, -111; Current Danger Level; 3; at tic; 252167075\r\n'
2022-07-01;10-43-17-066995  ;;;  b'Strike Detected! reading of; 303; High, Low; 139, -111; Current Danger Level; 4; at tic; 252167092\r\n'
2022-07-01;10-43-17-084632  ;;;  b'Strike Detected! reading of; 228; High, Low; 139, -111; Current Danger Level; 5; at tic; 252167094\r\n'
2022-07-01;10-43-17-100266  ;;;  b'Strike Detected! reading of; 199; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167108\r\n'
2022-07-01;10-43-17-115893  ;;;  b'Strike Detected! reading of; 310; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167110\r\n'
2022-07-01;10-43-17-131516  ;;;  b'Strike Detected! reading of; 275; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167126\r\n'
2022-07-01;10-43-17-131516  ;;;  b'Strike Detected! reading of; 290; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167128\r\n'
2022-07-01;10-43-17-147142  ;;;  b'Strike Detected! reading of; 294; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167142\r\n'
2022-07-01;10-43-17-162768  ;;;  b'Strike Detected! reading of; 225; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167144\r\n'
2022-07-01;10-43-17-178392  ;;;  b'Strike Detected! reading of; 222; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167158\r\n'
2022-07-01;10-43-17-194017  ;;;  b'Strike Detected! reading of; 212; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167160\r\n'
2022-07-01;10-43-17-194017  ;;;  b'Strike Detected! reading of; 382; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167176\r\n'
2022-07-01;10-43-17-209645  ;;;  b'Strike Detected! reading of; 292; High, Low; 139, -111; Current Dangr Level; 6; at tic; 252167192\r\n'
2022-07-01;10-43-17-209645  ;;;  b'Strike Detected! reading of; 468; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167209\r\n'
2022-07-01;10-43-17-225267  ;;;  b'Strike Detected! reading of; 234; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167212\r\n'
2022-07-01;10-43-17-240898  ;;;  b'Strike Detected! reading of; 310; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167226\r\n'
2022-07-01;10-43-17-240898  ;;;  b'Strike Detected! reading of; 190; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167242\r\n'
2022-07-01;10-43-17-256521  ;;;  b'Strike Detected! reading of; 269; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167244\r\n'
2022-07-01;10-43-17-272148  ;;;  b'Strike Detected! reading of; 226; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167259\r\n'
2022-07-01;10-43-17-272148  ;;;  b'Strike Detected! reading of; 285; High, Low; 139, -111; Current Danger Level; 6; at tic; 252167261\r\n'
2022-07-01;10-49-04-326898  ;;;  b'Strike Detected! reading of; 735; High, Low; 481, -477; Current Danger Level; 4; at tic; 252514340'
2022-07-01;16-48-53-136388  ;;;  b'Strike Detected! reading of; 772; High, Low; 466, -476; Current Danger Level; 1; at tic; 274103490'
2022-07-01;17-34-13-087218  ;;;  b'Strike Detected! reading of; 983; High, Low; 484, -479; Current Danger Level; 1; at tic; 276823539'
2022-07-01;20-43-19-575003  ;;;  b'Strike Detected! reading of; 895; High, Low; 465, -478; Current Danger Level; 1; at tic; 288170190'
