
2021-12-16;00-15-30-996635  ;;;  b'Strike Detected! reading of; 261; High, Low; 193, -219; Current Danger Level; 1; at tic; 796950261\r\n'
2021-12-16;00-18-56-724256  ;;;  b'Strike Detected! reading of; 275; High, Low; 192, -216; Current Danger Level; 1; at tic; 797155915\r\n'
2021-12-16;00-27-29-291314  ;;;  b'Strike Detected! reading of; 261; High, Low; 193, -210; Current Danger Level; 1; at tic; 797668557\r\n'
2021-12-16;00-35-03-805365  ;;;  b'Strike Detected! reading of; 371; High, Low; 192, -221; Current Danger Level; 1; at tic; 798122978'
2021-12-16;00-50-04-833221  ;;;  b'Strike Detected! reading of; 406; High, Low; 221, -216; Current Danger Level; 1; at tic; 799024033'
2021-12-16;00-53-55-915018  ;;;  b'Strike Detected! reading of; 769; High, Low; 191, -218; Current Danger Level; 1; at tic; 799255231\r\n'
2021-12-16;00-53-56-029981  ;;;  b'Strike Detected! reading of; 375; High, Low; 191, -218; Current Danger Level; 2; at tic; 799255233'
2021-12-16;00-59-50-376921  ;;;  b'Strike Detected! reading of; 258; High, Low; 192, -214; Current Danger Level; 2; at tic; 799609677\r\n'
2021-12-16;01-18-42-248364  ;;;  b'Strike Detected! reading of; 256; High, Low; 190, -217; Current Danger Level; 1; at tic; 800741572\r\n'
2021-12-16;01-27-17-370127  ;;;  b'Strike Detected! reading of; 267; High, Low; 191, -219; Current Danger Level; 1; at tic; 801256707\r\n'
2021-12-16;02-06-39-206002  ;;;  b'Strike Detected! reading of; 264; High, Low; 190, -213; Current Danger Level; 1; at tic; 803618547\r\n'
2021-12-16;02-11-48-235221  ;;;  b'Strike Detected! reading of; 264; High, Low; 188, -217; Current Danger Level; 1; at tic; 803927616\r\n'
2021-12-16;04-00-48-438892  ;;;  b'Strike Detected! reading of; 276; High, Low; 191, -217; Current Danger Level; 1; at tic; 810467932\r\n'
2021-12-16;04-19-32-374199  ;;;  b'Strike Detected! reading of; 257; High, Low; 192, -214; Current Danger Level; 1; at tic; 811591885\r\n'
2021-12-16;04-55-35-750517  ;;;  b'Strike Detected! reading of; 263; High, Low; 192, -213; Current Danger Level; 1; at tic; 813755294\r\n'
2021-12-16;04-59-02-145681  ;;;  b'Strike Detected! reading of; 262; High, Low; 194, -214; Current Danger Level; 1; at tic; 813961692\r\n'
2021-12-16;05-02-28-672888  ;;;  b'Strike Detected! reading of; 280; High, Low; 192, -215; Current Danger Level; 1; at tic; 814168206\r\n'
2021-12-16;05-07-38-328595  ;;;  b'Strike Detected! reading of; 265; High, Low; 191, -215; Current Danger Level; 1; at tic; 814477753\r\n'
2021-12-16;05-17-56-565934  ;;;  b'Strike Detected! reading of; 269; High, Low; 191, -211; Current Danger Level; 1; at tic; 815096111\r\n'
2021-12-16;06-05-56-410932  ;;;  b'Strike Detected! reading of; 269; High, Low; 189, -222; Current Danger Level; 1; at tic; 817976028\r\n'
2021-12-16;06-12-46-536104  ;;;  b'Strike Detected! reading of; 269; High, Low; 187, -221; Current Danger Level; 1; at tic; 818386156\r\n'
2021-12-16;06-35-00-421330  ;;;  b'Strike Detected! reading of; 263; High, Low; 189, -218; Current Danger Level; 1; at tic; 819719918\r\n'
2021-12-16;07-14-16-364728  ;;;  b'Strike Detected! reading of; 265; High, Low; 189, -220; Current Danger Level; 1; at tic; 822075958'
2021-12-16;07-31-18-631374  ;;;  b'Strike Detected! reading of; 263; High, Low; 188, -222; Current Danger Level; 1; at tic; 823098328\r\n'
2021-12-16;08-14-14-898202  ;;;  b'Strike Detected! reading of; 277; High, Low; 191, -220; Current Danger Level; 1; at tic; 825674640\r\n'
2021-12-16;08-53-02-224673  ;;;  b'Strike Detected! reading of; 326; High, Low; 189, -220; Current Danger Level; 1; at tic; 828001911'
2021-12-16;08-55-21-992632  ;;;  b'Strike Detected! reading of; 266; High, Low; 198, -221; Current Danger Level; 1; at tic; 828141766\r\n'
2021-12-16;09-12-28-732386  ;;;  b'Strike Detected! reading of; 290; High, Low; 190, -221; Current Danger Level; 1; at tic; 829168527\r\n'
