
2021-12-05;00-02-05-975391  ;;;  b'Strike Detected! reading of; 224; High, Low; 160, -185; Current Danger Level; 5; at tic; 129483176\r\n'
2021-12-05;00-02-05-997390  ;;;  b'Strike Detected! reading of; 254; High, Low; 160, -185; Current Danger Level; 6; at tic; 129483179\r\n'
2021-12-05;00-04-04-614857  ;;;  b'Strike Detected! reading of; 277; High, Low; 192, -218; Current Danger Level; 6; at tic; 129601714'
2021-12-05;00-05-15-321266  ;;;  b'Strike Detected! reading of; 357; High, Low; 171, -187; Current Danger Level; 5; at tic; 129672423'
2021-12-05;00-08-55-320990  ;;;  b'Strike Detected! reading of; 260; High, Low; 165, -197; Current Danger Level; 5; at tic; 129892513\r\n'
2021-12-05;00-11-26-930355  ;;;  b'Strike Detected! reading of; -310; High, Low; 184, -206; Current Danger Level; 6; at tic; 130044039'
2021-12-05;00-17-29-447789  ;;;  b'Strike Detected! reading of; 244; High, Low; 161, -191; Current Danger Level; 4; at tic; 130406656\r\n'
2021-12-05;00-17-29-500772  ;;;  b'Strike Detected! reading of; 242; High, Low; 161, -191; Current Danger Level; 5; at tic; 130406659\r\n'
2021-12-05;00-28-05-113786  ;;;  b'Strike Detected! reading of; 237; High, Low; 164, -194; Current Danger Level; 3; at tic; 131042238'
2021-12-05;00-29-27-959168  ;;;  b'Strike Detected! reading of; 226; High, Low; 163, -188; Current Danger Level; 4; at tic; 131125159\r\n'
2021-12-05;00-31-11-249011  ;;;  b'Strike Detected! reading of; 237; High, Low; 165, -198; Current Danger Level; 5; at tic; 131228461\r\n'
2021-12-05;00-32-54-297721  ;;;  b'Strike Detected! reading of; -264; High, Low; 170, -196; Current Danger Level; 5; at tic; 131331511\r\n'
2021-12-05;00-35-03-568770  ;;;  b'Strike Detected! reading of; 313; High, Low; 185, -208; Current Danger Level; 6; at tic; 131460685'
2021-12-05;00-36-47-076339  ;;;  b'Strike Detected! reading of; 512; High, Low; 198, -206; Current Danger Level; 5; at tic; 131564211'
2021-12-05;00-40-13-488444  ;;;  b'Strike Detected! reading of; 244; High, Low; 182, -213; Current Danger Level; 5; at tic; 131770729\r\n'
2021-12-05;00-40-13-605406  ;;;  b'Strike Detected! reading of; 313; High, Low; 182, -213; Current Danger Level; 6; at tic; 131770731'
2021-12-05;00-44-54-102873  ;;;  b'Strike Detected! reading of; 234; High, Low; 162, -199; Current Danger Level; 5; at tic; 132051325\r\n'
2021-12-05;00-45-08-838253  ;;;  b'Strike Detected! reading of; -410; High, Low; 162, -199; Current Danger Level; 6; at tic; 132065980'
2021-12-05;00-59-12-658763  ;;;  b'Strike Detected! reading of; 262; High, Low; 168, -203; Current Danger Level; 3; at tic; 132909814'
2021-12-05;01-05-26-521832  ;;;  b'Strike Detected! reading of; 241; High, Low; 169, -193; Current Danger Level; 2; at tic; 133283766\r\n'
2021-12-05;01-08-52-193342  ;;;  b'Strike Detected! reading of; 251; High, Low; 169, -192; Current Danger Level; 2; at tic; 133489446\r\n'
2021-12-05;01-27-41-381052  ;;;  b'Strike Detected! reading of; 252; High, Low; 169, -189; Current Danger Level; 1; at tic; 134618661\r\n'
2021-12-05;01-27-41-402058  ;;;  b'Strike Detected! reading of; 226; High, Low; 169, -189; Current Danger Level; 2; at tic; 134618663\r\n'
2021-12-05;01-36-14-205064  ;;;  b'Strike Detected! reading of; -305; High, Low; 172, -198; Current Danger Level; 1; at tic; 135131483\r\n'
2021-12-05;01-43-04-033345  ;;;  b'Strike Detected! reading of; 247; High, Low; 167, -199; Current Danger Level; 1; at tic; 135541227'
2021-12-05;01-48-12-854785  ;;;  b'Strike Detected! reading of; 237; High, Low; 168, -194; Current Danger Level; 1; at tic; 135850132\r\n'
2021-12-05;01-53-19-322847  ;;;  b'Strike Detected! reading of; 238; High, Low; 168, -196; Current Danger Level; 1; at tic; 136156525'
2021-12-05;02-00-08-985411  ;;;  b'Strike Detected! reading of; 233; High, Low; 169, -198; Current Danger Level; 1; at tic; 136566290\r\n'
2021-12-05;02-04-04-496053  ;;;  b'Strike Detected! reading of; -360; High, Low; 171, -199; Current Danger Level; 2; at tic; 136801715'
2021-12-05;02-15-29-620650  ;;;  b'Strike Detected! reading of; 236; High, Low; 169, -192; Current Danger Level; 1; at tic; 137486850'
2021-12-05;02-27-26-424912  ;;;  b'Strike Detected! reading of; 243; High, Low; 169, -193; Current Danger Level; 1; at tic; 138203746\r\n'
2021-12-05;02-29-08-270761  ;;;  b'Strike Detected! reading of; -275; High, Low; 171, -191; Current Danger Level; 1; at tic; 138305494'
2021-12-05;02-44-27-058977  ;;;  b'Strike Detected! reading of; -285; High, Low; 169, -192; Current Danger Level; 1; at tic; 139224400\r\n'
2021-12-05;02-46-10-083401  ;;;  b'Strike Detected! reading of; -282; High, Low; 171, -198; Current Danger Level; 2; at tic; 139327425\r\n'
