
2022-04-19;01-22-41-007559  ;;;  b'Strike Detected! reading of; 628; High, Low; 307, -468; Current Danger Level; 1; at tic; 138918072'
2022-04-19;01-26-12-582980  ;;;  b'Strike Detected! reading of; 433; High, Low; 306, -467; Current Danger Level; 1; at tic; 139129653'
2022-04-19;01-31-14-321784  ;;;  b'Strike Detected! reading of; 550; High, Low; 312, -465; Current Danger Level; 1; at tic; 139431398'
2022-04-19;02-03-23-369306  ;;;  b'Strike Detected! reading of; 415; High, Low; 307, -468; Current Danger Level; 1; at tic; 141360476'
2022-04-19;02-15-03-103248  ;;;  b'Strike Detected! reading of; 431; High, Low; 305, -467; Current Danger Level; 1; at tic; 142060229'
2022-04-19;04-12-10-519284  ;;;  b'Strike Detected! reading of; 416; High, Low; 299, -470; Current Danger Level; 1; at tic; 149087819\r\n'
2022-04-19;04-19-29-589832  ;;;  b'Strike Detected! reading of; 409; High, Low; 301, -471; Current Danger Level; 1; at tic; 149526890\r\n'
2022-04-19;05-27-26-893360  ;;;  b'Strike Detected! reading of; 765; High, Low; 298, -469; Current Danger Level; 1; at tic; 153604256\r\n'
2022-04-19;05-27-27-002787  ;;;  b'Strike Detected! reading of; 467; High, Low; 298, -469; Current Danger Level; 2; at tic; 153604258'
2022-04-19;05-54-37-959835  ;;;  b'Strike Detected! reading of; 402; High, Low; 299, -469; Current Danger Level; 1; at tic; 155235315\r\n'
2022-04-19;06-11-09-694508  ;;;  b'Strike Detected! reading of; 401; High, Low; 294, -466; Current Danger Level; 1; at tic; 156227075\r\n'
2022-04-19;06-29-23-360581  ;;;  b'Strike Detected! reading of; 411; High, Low; 305, -466; Current Danger Level; 1; at tic; 157320747\r\n'
2022-04-19;07-00-28-031258  ;;;  b'Strike Detected! reading of; 400; High, Low; 299, -468; Current Danger Level; 1; at tic; 159185423\r\n'
2022-04-19;08-13-55-307051  ;;;  b'Strike Detected! reading of; 410; High, Low; 291, -464; Current Danger Level; 1; at tic; 163592736\r\n'
2022-04-19;09-41-52-538830  ;;;  b'Strike Detected! reading of; 390; High, Low; 291, -462; Current Danger Level; 1; at tic; 168870062\r\n'
2022-04-19;11-29-12-348704  ;;;  b'Strike Detected! reading of; 480; High, Low; 303, -470; Current Danger Level; 1; at tic; 175310031'
2022-04-19;12-32-33-638951  ;;;  b'Strike Detected! reading of; 399; High, Low; 299, -470; Current Danger Level; 1; at tic; 179111457\r\n'
2022-04-19;14-24-31-089567  ;;;  b'Strike Detected! reading of; 406; High, Low; 298, -468; Current Danger Level; 1; at tic; 185828895'
2022-04-19;17-32-57-956767  ;;;  b'Strike Detected! reading of; 424; High, Low; 304, -462; Current Danger Level; 1; at tic; 197135982\r\n'
2022-04-19;18-05-12-358860  ;;;  b'Strike Detected! reading of; 429; High, Low; 319, -459; Current Danger Level; 1; at tic; 199070379'
2022-04-19;18-13-35-260026  ;;;  b'Strike Detected! reading of; 454; High, Low; 318, -460; Current Danger Level; 1; at tic; 199573291'
2022-04-19;18-14-38-185710  ;;;  b'Strike Detected! reading of; 455; High, Low; 338, -459; Current Danger Level; 2; at tic; 199636227'
2022-04-19;18-16-50-626244  ;;;  b'Strike Detected! reading of; 440; High, Low; 328, -456; Current Danger Level; 2; at tic; 199768665'
2022-04-19;18-18-22-250243  ;;;  b'Strike Detected! reading of; 444; High, Low; 326, -457; Current Danger Level; 3; at tic; 199860305'
2022-04-19;18-21-32-140495  ;;;  b'Strike Detected! reading of; 444; High, Low; 323, -460; Current Danger Level; 3; at tic; 200050197'
2022-04-19;18-24-40-366716  ;;;  b'Strike Detected! reading of; 441; High, Low; 323, -462; Current Danger Level; 3; at tic; 200238431'
2022-04-19;18-26-42-393269  ;;;  b'Strike Detected! reading of; 460; High, Low; 324, -464; Current Danger Level; 4; at tic; 200360463'
2022-04-19;18-35-37-800015  ;;;  b'Strike Detected! reading of; 456; High, Low; 325, -460; Current Danger Level; 2; at tic; 200895941\r\n'
2022-04-19;18-35-37-909389  ;;;  b'Strike Detected! reading of; 438; High, Low; 325, -460; Current Danger Level; 3; at tic; 200895990'
2022-04-19;18-41-25-777122  ;;;  b'Strike Detected! reading of; 437; High, Low; 326, -455; Current Danger Level; 3; at tic; 201243863'
2022-04-19;18-43-33-476099  ;;;  b'Strike Detected! reading of; 444; High, Low; 332, -456; Current Danger Level; 3; at tic; 201371575'
2022-04-19;19-37-17-781807  ;;;  b'Strike Detected! reading of; 606; High, Low; 363, -454; Current Danger Level; 1; at tic; 204595964'
2022-04-19;21-51-46-740346  ;;;  b'Strike Detected! reading of; 841; High, Low; 462, -453; Current Danger Level; 1; at tic; 212665061'
2022-04-19;22-04-28-684993  ;;;  b'Strike Detected! reading of; 682; High, Low; 463, -453; Current Danger Level; 1; at tic; 213427009'
