
2021-08-17;14-51-44-319463  ;;;  b'Strike Detected! reading of; 450; High, Low; 267, -200; Current Danger Level; 1; at tic; 1997774'
2021-08-17;15-54-57-947308  ;;;  b'Strike Detected! reading of; -21; High, Low; 208, -184; Current Danger Level; 1; at tic; 142950'
2021-08-17;15-59-03-275214  ;;;  b'Strike Detected! reading of; 11; High, Low; 225, -165; Current Danger Level; 1; at tic; 388284'
2021-08-17;16-01-52-331963  ;;;  b'Strike Detected! reading of; -38; High, Low; 231, -205; Current Danger Level; 1; at tic; 557343'
2021-08-17;16-01-57-638002  ;;;  b'Strike Detected! reading of; 63; High, Low; 231, -205; Current Danger Level; 2; at tic; 562650'
2021-08-17;16-03-16-071327  ;;;  b'Strike Detected! reading of; 0; High, Low; 231, -206; Current Danger Level; 3; at tic; 641084'
2021-08-17;16-03-20-361764  ;;;  b'Strike Detected! reading of; 99; High, Low; 231, -206; Current Danger Level; 4; at tic; 645374'
2021-08-17;16-03-24-040597  ;;;  b'Strike Detected! reading of; 36; High, Low; 231, -206; Current Danger Level; 5; at tic; 649054'
2021-08-17;16-18-32-535557  ;;;  b'Strike Detected! reading of; 321; High, Low; 203, -161; Current Danger Level; 2; at tic; 1557561'
2021-08-17;16-27-20-344574  ;;;  b'Strike Detected! reading of; 285; High, Low; 187, -158; Current Danger Level; 1; at tic; 2085376'
2021-08-17;16-36-28-379844  ;;;  b'Strike Detected! reading of; 302; High, Low; 195, -185; Current Danger Level; 1; at tic; 2633419'
2021-08-17;16-55-12-052640  ;;;  b'Strike Detected! reading of; -447; High, Low; 241, -191; Current Danger Level; 1; at tic; 3757107'
2021-08-17;17-24-05-218855  ;;;  b'Strike Detected! reading of; 296; High, Low; 190, -180; Current Danger Level; 1; at tic; 5490301'
2021-08-17;18-26-25-049745  ;;;  b'Strike Detected! reading of; 404; High, Low; 225, -183; Current Danger Level; 1; at tic; 9230188'
2021-08-17;18-32-19-453408  ;;;  b'Strike Detected! reading of; -483; High, Low; 263, -214; Current Danger Level; 1; at tic; 9584592'
2021-08-17;18-45-50-211736  ;;;  b'Strike Detected! reading of; -577; High, Low; 195, -203; Current Danger Level; 1; at tic; 10395367'
2021-08-17;18-46-14-931054  ;;;  b'Strike Detected! reading of; 410; High, Low; 195, -203; Current Danger Level; 2; at tic; 10420086'
2021-08-17;19-39-38-000513  ;;;  b'Strike Detected! reading of; 323; High, Low; 209, -199; Current Danger Level; 1; at tic; 13623201'
2021-08-17;20-11-50-138719  ;;;  b'Strike Detected! reading of; 464; High, Low; 228, -199; Current Danger Level; 1; at tic; 15555371'
2021-08-17;21-18-48-627712  ;;;  b'Strike Detected! reading of; -544; High, Low; 219, -164; Current Danger Level; 1; at tic; 19573917'
2021-08-17;21-19-55-030746  ;;;  b'Strike Detected! reading of; 341; High, Low; 199, -219; Current Danger Level; 2; at tic; 19640323'
2021-08-17;21-22-06-122764  ;;;  b'Strike Detected! reading of; -337; High, Low; 206, -176; Current Danger Level; 2; at tic; 19771415'
2021-08-17;21-22-29-089148  ;;;  b'Strike Detected! reading of; -420; High, Low; 190, -256; Current Danger Level; 3; at tic; 19794378'
2021-08-17;21-31-39-750029  ;;;  b'Strike Detected! reading of; -281; High, Low; 195, -187; Current Danger Level; 2; at tic; 20345048'
2021-08-17;21-32-59-732172  ;;;  b'Strike Detected! reading of; 447; High, Low; 237, -203; Current Danger Level; 2; at tic; 20425031'
2021-08-17;21-37-20-612199  ;;;  b'Strike Detected! reading of; 276; High, Low; 177, -169; Current Danger Level; 2; at tic; 20685920'
2021-08-17;21-54-25-941580  ;;;  b'Strike Detected! reading of; -398; High, Low; 224, -218; Current Danger Level; 1; at tic; 21711263'
