
2022-01-22;00-02-37-620520  ;;;  b'Strike Detected! reading of; 294; High, Low; 196, -214; Current Danger Level; 1; at tic; 6537530'
2022-01-22;00-07-20-779596  ;;;  b'Strike Detected! reading of; 263; High, Low; 196, -212; Current Danger Level; 1; at tic; 6820748\r\n'
2022-01-22;00-10-47-584989  ;;;  b'Strike Detected! reading of; 274; High, Low; 198, -211; Current Danger Level; 1; at tic; 7027592\r\n'
2022-01-22;00-17-41-886554  ;;;  b'Strike Detected! reading of; 269; High, Low; 197, -211; Current Danger Level; 1; at tic; 7441891\r\n'
2022-01-22;00-34-56-403364  ;;;  b'Strike Detected! reading of; 268; High, Low; 196, -210; Current Danger Level; 1; at tic; 8476434\r\n'
2022-01-22;01-02-19-709898  ;;;  b'Strike Detected! reading of; 284; High, Low; 196, -212; Current Danger Level; 1; at tic; 10119678'
2022-01-22;01-07-39-393991  ;;;  b'Strike Detected! reading of; 265; High, Low; 197, -214; Current Danger Level; 1; at tic; 10439454\r\n'
2022-01-22;01-16-14-912437  ;;;  b'Strike Detected! reading of; 281; High, Low; 194, -227; Current Danger Level; 1; at tic; 10954984\r\n'
2022-01-22;01-38-18-986123  ;;;  b'Strike Detected! reading of; 267; High, Low; 194, -214; Current Danger Level; 1; at tic; 12279093\r\n'
2022-01-22;01-38-19-100087  ;;;  b'Strike Detected! reading of; 263; High, Low; 194, -214; Current Danger Level; 2; at tic; 12279095'
2022-01-22;01-43-29-240082  ;;;  b'Strike Detected! reading of; 287; High, Low; 196, -215; Current Danger Level; 2; at tic; 12589352\r\n'
2022-01-22;01-43-29-354044  ;;;  b'Strike Detected! reading of; 348; High, Low; 196, -215; Current Danger Level; 3; at tic; 12589355'
2022-01-22;01-45-00-562684  ;;;  b'Strike Detected! reading of; 320; High, Low; 184, -208; Current Danger Level; 4; at tic; 12680573'
2022-01-22;01-59-39-219488  ;;;  b'Strike Detected! reading of; 262; High, Low; 196, -215; Current Danger Level; 1; at tic; 13559243'
2022-01-22;02-13-41-593368  ;;;  b'Strike Detected! reading of; 326; High, Low; 211, -211; Current Danger Level; 1; at tic; 14401680\r\n'
2022-01-22;02-16-03-658403  ;;;  b'Strike Detected! reading of; 271; High, Low; 197, -213; Current Danger Level; 1; at tic; 14543781\r\n'
2022-01-22;02-19-29-403920  ;;;  b'Strike Detected! reading of; 281; High, Low; 196, -213; Current Danger Level; 1; at tic; 14749531\r\n'
2022-01-22;02-40-12-207014  ;;;  b'Strike Detected! reading of; 272; High, Low; 195, -212; Current Danger Level; 1; at tic; 15992332\r\n'
