
2022-02-18;00-19-24-867153  ;;;  b'Strike Detected! reading of; 574; High, Low; 394, -469; Current Danger Level; 1; at tic; 613468253'
2022-02-18;01-12-51-484885  ;;;  b'Strike Detected! reading of; 606; High, Low; 403, -470; Current Danger Level; 1; at tic; 616674927'
2022-02-18;04-04-25-197239  ;;;  b'Strike Detected! reading of; 594; High, Low; 392, -471; Current Danger Level; 1; at tic; 626968777'
2022-02-18;08-11-20-425579  ;;;  b'Strike Detected! reading of; 644; High, Low; 390, -469; Current Danger Level; 1; at tic; 641784283'
2022-02-18;09-23-00-527516  ;;;  b'Strike Detected! reading of; 38; High, Low; 27, -22; Current Danger Level; 1; at tic; 646084445'
2022-02-18;09-28-52-375429  ;;;  b'Strike Detected! reading of; 39; High, Low; 27, -23; Current Danger Level; 1; at tic; 646436401\r\n'
2022-02-18;09-28-52-500437  ;;;  b'Strike Detected! reading of; 47; High, Low; 27, -23; Current Danger Level; 2; at tic; 646436403'
2022-02-18;09-28-52-625429  ;;;  b'Strike Detected! reading of; 39; High, Low; 27, -23; Current Danger Level; 3; at tic; 646436602\r\n'
2022-02-18;09-28-52-734805  ;;;  b'Strike Detected! reading of; 44; High, Low; 27, -23; Current Danger Level; 4; at tic; 646436675\r\n'
2022-02-18;09-28-52-844183  ;;;  b'Strike Detected! reading of; 39; High, Low; 27, -23; Current Danger Level; 5; at tic; 646436772'
2022-02-18;09-28-53-016054  ;;;  b'Strike Detected! reading of; 42; High, Low; 27, -23; Current Danger Level; 6; at tic; 646436942'
2022-02-18;09-28-53-047305  ;;;  b'Strike Detected! reading of; 39; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437088\r\n'
2022-02-18;09-28-53-078553  ;;;  b'Strike Detected! reading of; 46; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437091\r\n'
2022-02-18;09-28-53-125440  ;;;  b'Strike Detected! reading of; 39; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437121\r\n'
2022-02-18;09-28-53-156687  ;;;  b'Strike Detected! reading of; 43; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437173\r\n'
2022-02-18;09-28-53-203553  ;;;  b'Strike Detected! reading of; 44; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437176\r\n'
2022-02-18;09-28-53-234805  ;;;  b'Strike Detected! reading of; 37; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437253\r\n'
2022-02-18;09-28-53-266055  ;;;  b'Strike Detected! reading of; 37; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437271\r\n'
2022-02-18;09-28-53-297305  ;;;  b'Strike Detected! reading of; 43; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437292\r\n'
2022-02-18;09-28-53-328554  ;;;  b'Strike Detected! reading of; 39; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437294\r\n'
2022-02-18;09-28-53-344185  ;;;  b'Strike Detected! reading of; 45; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437297\r\n'
2022-02-18;09-28-53-375429  ;;;  b'Strike Detected! reading of; 41; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437386\r\n'
2022-02-18;09-28-53-406681  ;;;  b'Strike Detected! reading of; 42; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437389\r\n'
2022-02-18;09-28-53-437935  ;;;  b'Strike Detected! reading of; 49; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437391\r\n'
2022-02-18;09-28-53-469180  ;;;  b'Strike Detected! reading of; 44; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437394\r\n'
2022-02-18;09-28-53-500429  ;;;  b'Strike Detected! reading of; 46; High, Low; 27, -23; Current Danger Level; 6; at tic; 646437396\r\n'
