
2021-11-22;00-00-08-221819  ;;;  b'Strike Detected! reading of; 331; High, Low; 194, -206; Current Danger Level; 5; at tic; 532801827'
2021-11-22;00-03-20-837675  ;;;  b'Strike Detected! reading of; -274; High, Low; 193, -143; Current Danger Level; 5; at tic; 532994526\r\n'
2021-11-22;00-03-20-860669  ;;;  b'Strike Detected! reading of; -215; High, Low; 193, -143; Current Danger Level; 6; at tic; 532994528\r\n'
2021-11-22;00-05-03-268488  ;;;  b'Strike Detected! reading of; 280; High, Low; 197, -154; Current Danger Level; 5; at tic; 533096945\r\n'
2021-11-22;00-05-15-456651  ;;;  b'Strike Detected! reading of; 270; High, Low; 197, -154; Current Danger Level; 6; at tic; 533109059'
2021-11-22;00-06-45-109008  ;;;  b'Strike Detected! reading of; -258; High, Low; 228, -158; Current Danger Level; 6; at tic; 533198798\r\n'
2021-11-22;00-06-45-125003  ;;;  b'Strike Detected! reading of; -231; High, Low; 228, -158; Current Danger Level; 6; at tic; 533198800\r\n'
2021-11-22;00-09-45-251373  ;;;  b'Strike Detected! reading of; -259; High, Low; 190, -137; Current Danger Level; 5; at tic; 533378856'
2021-11-22;00-10-11-661063  ;;;  b'Strike Detected! reading of; -284; High, Low; 203, -198; Current Danger Level; 6; at tic; 533405340\r\n'
2021-11-22;00-11-16-901850  ;;;  b'Strike Detected! reading of; -361; High, Low; 219, -182; Current Danger Level; 6; at tic; 533470520'
2021-11-22;00-13-38-342183  ;;;  b'Strike Detected! reading of; 288; High, Low; 190, -144; Current Danger Level; 5; at tic; 533611939'
2021-11-22;00-15-59-673470  ;;;  b'Strike Detected! reading of; 352; High, Low; 227, -167; Current Danger Level; 6; at tic; 533753282'
2021-11-22;00-16-10-348107  ;;;  b'Strike Detected! reading of; -277; High, Low; 289, -162; Current Danger Level; 5; at tic; 533763956'
2021-11-22;00-18-53-241670  ;;;  b'Strike Detected! reading of; -269; High, Low; 221, -163; Current Danger Level; 6; at tic; 533926936\r\n'
2021-11-22;00-20-10-330548  ;;;  b'Strike Detected! reading of; -279; High, Low; 224, -167; Current Danger Level; 5; at tic; 534003957'
2021-11-22;00-24-04-574499  ;;;  b'Strike Detected! reading of; -310; High, Low; 220, -161; Current Danger Level; 6; at tic; 534238274\r\n'
2021-11-22;00-32-10-335810  ;;;  b'Strike Detected! reading of; -289; High, Low; 194, -143; Current Danger Level; 3; at tic; 534723960'
2021-11-22;00-34-23-826381  ;;;  b'Strike Detected! reading of; -228; High, Low; 186, -139; Current Danger Level; 4; at tic; 534857468'
2021-11-22;00-36-07-542673  ;;;  b'Strike Detected! reading of; 387; High, Low; 185, -137; Current Danger Level; 5; at tic; 534961251\r\n'
2021-11-22;00-36-07-657636  ;;;  b'Strike Detected! reading of; 334; High, Low; 185, -137; Current Danger Level; 6; at tic; 534961253'
2021-11-22;00-36-08-877252  ;;;  b'Strike Detected! reading of; 266; High, Low; 185, -137; Current Danger Level; 6; at tic; 534962584\r\n'
2021-11-22;00-36-08-994216  ;;;  b'Strike Detected! reading of; 253; High, Low; 185, -137; Current Danger Level; 6; at tic; 534962586'
2021-11-22;00-36-10-330795  ;;;  b'Strike Detected! reading of; -197; High, Low; 185, -137; Current Danger Level; 5; at tic; 534963961'
2021-11-22;00-37-53-466984  ;;;  b'Strike Detected! reading of; -314; High, Low; 227, -158; Current Danger Level; 6; at tic; 535067182\r\n'
2021-11-22;00-39-33-506322  ;;;  b'Strike Detected! reading of; -268; High, Low; 218, -160; Current Danger Level; 6; at tic; 535167237\r\n'
2021-11-22;00-39-33-624283  ;;;  b'Strike Detected! reading of; -297; High, Low; 218, -160; Current Danger Level; 6; at tic; 535167239'
2021-11-22;00-39-37-670016  ;;;  b'Strike Detected! reading of; -288; High, Low; 218, -160; Current Danger Level; 6; at tic; 535171388\r\n'
2021-11-22;00-41-19-637808  ;;;  b'Strike Detected! reading of; -233; High, Low; 187, -140; Current Danger Level; 5; at tic; 535273354\r\n'
2021-11-22;00-41-19-661799  ;;;  b'Strike Detected! reading of; -254; High, Low; 187, -140; Current Danger Level; 6; at tic; 535273356\r\n'
2021-11-22;00-43-00-862402  ;;;  b'Strike Detected! reading of; -244; High, Low; 220, -164; Current Danger Level; 6; at tic; 535374590\r\n'
2021-11-22;00-43-00-978336  ;;;  b'Strike Detected! reading of; -220; High, Low; 220, -164; Current Danger Level; 6; at tic; 535374593'
2021-11-22;00-43-05-253989  ;;;  b'Strike Detected! reading of; 300; High, Low; 220, -164; Current Danger Level; 6; at tic; 535378970\r\n'
2021-11-22;00-44-47-321608  ;;;  b'Strike Detected! reading of; 295; High, Low; 217, -152; Current Danger Level; 5; at tic; 535481050\r\n'
2021-11-22;00-46-31-683098  ;;;  b'Strike Detected! reading of; -272; High, Low; 236, -156; Current Danger Level; 6; at tic; 535585404\r\n'
2021-11-22;00-46-31-711079  ;;;  b'Strike Detected! reading of; -219; High, Low; 236, -156; Current Danger Level; 6; at tic; 535585406\r\n'
2021-11-22;00-48-16-510931  ;;;  b'Strike Detected! reading of; -232; High, Low; 254, -166; Current Danger Level; 5; at tic; 535690243\r\n'
2021-11-22;00-48-16-529922  ;;;  b'Strike Detected! reading of; -259; High, Low; 254, -166; Current Danger Level; 6; at tic; 535690245\r\n'
2021-11-22;00-50-00-892963  ;;;  b'Strike Detected! reading of; 313; High, Low; 224, -164; Current Danger Level; 6; at tic; 535794618\r\n'
2021-11-22;00-50-01-022922  ;;;  b'Strike Detected! reading of; -255; High, Low; 224, -164; Current Danger Level; 6; at tic; 535794660'
2021-11-22;00-51-43-081158  ;;;  b'Strike Detected! reading of; -305; High, Low; 217, -163; Current Danger Level; 6; at tic; 535896809\r\n'
2021-11-22;00-53-27-539459  ;;;  b'Strike Detected! reading of; -201; High, Low; 198, -147; Current Danger Level; 5; at tic; 536001266\r\n'
2021-11-22;00-54-53-883229  ;;;  b'Strike Detected! reading of; -287; High, Low; 217, -158; Current Danger Level; 6; at tic; 536087549'
2021-11-22;00-57-00-403281  ;;;  b'Strike Detected! reading of; -239; High, Low; 212, -142; Current Danger Level; 5; at tic; 536214050\r\n'
2021-11-22;00-58-47-047069  ;;;  b'Strike Detected! reading of; -219; High, Low; 218, -155; Current Danger Level; 6; at tic; 536320800\r\n'
2021-11-22;00-58-47-078348  ;;;  b'Strike Detected! reading of; -293; High, Low; 218, -155; Current Danger Level; 6; at tic; 536320802\r\n'
2021-11-22;01-00-08-169235  ;;;  b'Strike Detected! reading of; 346; High, Low; 217, -169; Current Danger Level; 6; at tic; 536401829'
2021-11-22;01-00-34-156485  ;;;  b'Strike Detected! reading of; -283; High, Low; 231, -151; Current Danger Level; 5; at tic; 536427800'
2021-11-22;01-02-00-334315  ;;;  b'Strike Detected! reading of; 336; High, Low; 213, -171; Current Danger Level; 6; at tic; 536513982'
2021-11-22;01-03-48-962519  ;;;  b'Strike Detected! reading of; 551; High, Low; 221, -159; Current Danger Level; 6; at tic; 536622728\r\n'
2021-11-22;01-03-49-071890  ;;;  b'Strike Detected! reading of; 347; High, Low; 221, -159; Current Danger Level; 6; at tic; 536622730'
2021-11-22;01-04-06-900067  ;;;  b'Strike Detected! reading of; -237; High, Low; 386, -159; Current Danger Level; 6; at tic; 536640642\r\n'
2021-11-22;01-04-07-025066  ;;;  b'Strike Detected! reading of; -309; High, Low; 386, -159; Current Danger Level; 6; at tic; 536640691'
2021-11-22;01-11-13-517704  ;;;  b'Strike Detected! reading of; 265; High, Low; 194, -140; Current Danger Level; 5; at tic; 537067277\r\n'
2021-11-22;01-11-13-548931  ;;;  b'Strike Detected! reading of; 268; High, Low; 194, -140; Current Danger Level; 6; at tic; 537067279\r\n'
2021-11-22;01-12-10-297205  ;;;  b'Strike Detected! reading of; -261; High, Low; 229, -170; Current Danger Level; 5; at tic; 537123971'
2021-11-22;01-21-46-908776  ;;;  b'Strike Detected! reading of; -262; High, Low; 197, -153; Current Danger Level; 4; at tic; 537700665\r\n'
2021-11-22;01-23-33-006875  ;;;  b'Strike Detected! reading of; -229; High, Low; 189, -150; Current Danger Level; 5; at tic; 537806767\r\n'
2021-11-22;01-23-33-025868  ;;;  b'Strike Detected! reading of; -289; High, Low; 189, -150; Current Danger Level; 6; at tic; 537806770\r\n'
2021-11-22;01-27-01-172910  ;;;  b'Strike Detected! reading of; -289; High, Low; 204, -144; Current Danger Level; 5; at tic; 538014932\r\n'
2021-11-22;01-28-10-198158  ;;;  b'Strike Detected! reading of; -243; High, Low; 216, -175; Current Danger Level; 5; at tic; 538083975\r\n'
2021-11-22;01-28-10-307533  ;;;  b'Strike Detected! reading of; -241; High, Low; 216, -175; Current Danger Level; 6; at tic; 538083977'
