
2021-11-26;00-03-11-870498  ;;;  b'Strike Detected! reading of; 293; High, Low; 182, -140; Current Danger Level; 5; at tic; 20080394\r\n'
2021-11-26;00-03-16-725211  ;;;  b'Strike Detected! reading of; 423; High, Low; 182, -140; Current Danger Level; 6; at tic; 20085157'
2021-11-26;00-06-38-122969  ;;;  b'Strike Detected! reading of; -278; High, Low; 187, -134; Current Danger Level; 5; at tic; 20286640\r\n'
2021-11-26;00-10-05-158798  ;;;  b'Strike Detected! reading of; 301; High, Low; 188, -139; Current Danger Level; 5; at tic; 20493679\r\n'
2021-11-26;00-13-31-791125  ;;;  b'Strike Detected! reading of; -236; High, Low; 180, -129; Current Danger Level; 5; at tic; 20700327\r\n'
2021-11-26;00-13-31-808121  ;;;  b'Strike Detected! reading of; -273; High, Low; 180, -129; Current Danger Level; 6; at tic; 20700329\r\n'
2021-11-26;00-15-15-226197  ;;;  b'Strike Detected! reading of; 287; High, Low; 215, -164; Current Danger Level; 6; at tic; 20803756\r\n'
2021-11-26;00-18-41-774600  ;;;  b'Strike Detected! reading of; -230; High, Low; 181, -128; Current Danger Level; 5; at tic; 21010316\r\n'
2021-11-26;00-18-41-791595  ;;;  b'Strike Detected! reading of; -265; High, Low; 181, -128; Current Danger Level; 6; at tic; 21010318\r\n'
2021-11-26;00-21-15-031762  ;;;  b'Strike Detected! reading of; -204; High, Low; 197, -136; Current Danger Level; 5; at tic; 21163488'
2021-11-26;00-23-50-856535  ;;;  b'Strike Detected! reading of; -268; High, Low; 214, -156; Current Danger Level; 6; at tic; 21319385\r\n'
2021-11-26;00-27-17-212678  ;;;  b'Strike Detected! reading of; -253; High, Low; 185, -131; Current Danger Level; 5; at tic; 21525750\r\n'
2021-11-26;00-28-33-207915  ;;;  b'Strike Detected! reading of; 352; High, Low; 212, -164; Current Danger Level; 6; at tic; 21601683\r\n'
2021-11-26;00-28-33-324880  ;;;  b'Strike Detected! reading of; -286; High, Low; 212, -164; Current Danger Level; 5; at tic; 21601771'
2021-11-26;00-32-33-210251  ;;;  b'Strike Detected! reading of; -213; High, Low; 215, -155; Current Danger Level; 5; at tic; 21841771\r\n'
2021-11-26;00-32-33-326208  ;;;  b'Strike Detected! reading of; -266; High, Low; 215, -155; Current Danger Level; 6; at tic; 21841774'
2021-11-26;00-34-08-691556  ;;;  b'Strike Detected! reading of; 319; High, Low; 213, -159; Current Danger Level; 6; at tic; 21937241\r\n'
2021-11-26;00-34-36-725229  ;;;  b'Strike Detected! reading of; -217; High, Low; 266, -157; Current Danger Level; 6; at tic; 21965189'
2021-11-26;00-39-18-491361  ;;;  b'Strike Detected! reading of; -190; High, Low; 178, -127; Current Danger Level; 5; at tic; 22247046\r\n'
2021-11-26;00-41-01-204137  ;;;  b'Strike Detected! reading of; -249; High, Low; 194, -144; Current Danger Level; 5; at tic; 22349669'
2021-11-26;00-47-54-529260  ;;;  b'Strike Detected! reading of; 277; High, Low; 189, -145; Current Danger Level; 5; at tic; 22763080\r\n'
2021-11-26;00-48-04-438669  ;;;  b'Strike Detected! reading of; -217; High, Low; 189, -145; Current Danger Level; 6; at tic; 22772922'
2021-11-26;00-49-37-147910  ;;;  b'Strike Detected! reading of; -204; High, Low; 196, -134; Current Danger Level; 5; at tic; 22865713\r\n'
2021-11-26;00-54-46-170176  ;;;  b'Strike Detected! reading of; -195; High, Low; 182, -128; Current Danger Level; 5; at tic; 23174730\r\n'
2021-11-26;00-56-29-545426  ;;;  b'Strike Detected! reading of; 306; High, Low; 212, -155; Current Danger Level; 6; at tic; 23278108\r\n'
2021-11-26;00-58-12-102857  ;;;  b'Strike Detected! reading of; -282; High, Low; 184, -130; Current Danger Level; 5; at tic; 23380677\r\n'
2021-11-26;01-01-38-165317  ;;;  b'Strike Detected! reading of; -172; High, Lw; 182, -127; Current Danger Level; 5; at tic; 23586741\r\n'
2021-11-26;01-01-38-240293  ;;;  b'Strike Detected! reading of; 267; High, Low; 182, -127; Current Danger Level; 6; at tic; 23586783\r\n'
2021-11-26;01-06-45-440272  ;;;  b'Strike Detected! reading of; -231; High, Low; 176, -124; Current Danger Level; 5; at tic; 23894033\r\n'
2021-11-26;01-06-45-458267  ;;;  b'Strike Detected! reading of; -233; High, Low; 176, -124; Current Danger Level; 6; at tic; 23894035\r\n'
2021-11-26;01-08-29-117837  ;;;  b'Strike Detected! reading of; 294; High, Low; 214, -155; Current Danger Level; 6; at tic; 23997699\r\n'
2021-11-26;01-08-29-246796  ;;;  b'Strike Detected! reading of; -257; High, Low; 214, -155; Current Danger Level; 6; at tic; 23997742'
2021-11-26;01-10-11-747745  ;;;  b'Strike Detected! reading of; -217; High, Low; 194, -132; Current Danger Level; 5; at tic; 24100330\r\n'
2021-11-26;01-11-54-404718  ;;;  b'Strike Detected! reading of; -257; High, Low; 209, -157; Current Danger Level; 6; at tic; 24202984\r\n'
2021-11-26;01-17-02-522417  ;;;  b'Strike Detected! reading of; 299; High, Low; 180, -130; Current Danger Level; 4; at tic; 24511106\r\n'
2021-11-26;01-18-45-351809  ;;;  b'Strike Detected! reading of; -185; High, Low; 182, -138; Current Danger Level; 5; at tic; 24613951\r\n'
2021-11-26;01-18-45-369804  ;;;  b'Strike Detected! reading of; -295; High, Low; 182, -138; Current Danger Level; 6; at tic; 24613953\r\n'
2021-11-26;01-22-10-569545  ;;;  b'Strike Detected! reading of; 297; High, Low; 186, -129; Current Danger Level; 5; at tic; 24819174\r\n'
2021-11-26;01-27-19-093217  ;;;  b'Strike Detected! reading of; -240; High, Low; 183, -125; Current Danger Level; 5; at tic; 25127708\r\n'
2021-11-26;01-27-19-108193  ;;;  b'Strike Detected! reading of; -223; High, Low; 183, -125; Current Danger Level; 6; at tic; 25127710\r\n'
2021-11-26;01-30-44-771501  ;;;  b'Strike Detected! reading of; -285; High, Low; 178, -126; Current Danger Level; 5; at tic; 25333379\r\n'
2021-11-26;01-32-27-633129  ;;;  b'Strike Detected! reading of; 344; High, Low; 211, -162; Current Danger Level; 6; at tic; 25436238\r\n'
2021-11-26;01-34-09-812773  ;;;  b'Strike Detected! reading of; 299; High, Low; 185, -136; Current Danger Level; 5; at tic; 25538418\r\n'
2021-11-26;01-34-09-940735  ;;;  b'Strike Detected! reading of; -251; High, Low; 185, -136; Current Danger Level; 6; at tic; 25538460'
2021-11-26;01-35-52-574847  ;;;  b'Strike Detected! reading of; -252; High, Low; 214, -160; Current Danger Level; 6; at tic; 25641195\r\n'
2021-11-26;01-35-52-589842  ;;;  b'Strike Detected! reading of; -228; High, Low; 214, -160; Current Danger Level; 6; at tic; 25641197\r\n'
2021-11-26;01-44-25-141892  ;;;  b'Strike Detected! reading of; 292; High, Low; 180, -129; Current Danger Level; 4; at tic; 26153769\r\n'
2021-11-26;01-46-07-387658  ;;;  b'Strike Detected! reading of; 298; High, Low; 184, -131; Current Danger Level; 4; at tic; 26256008\r\n'
2021-11-26;01-46-07-518614  ;;;  b'Strike Detected! reading of; -254; High, Low; 184, -131; Current Danger Level; 5; at tic; 26256050'
2021-11-26;01-49-32-733432  ;;;  b'Strike Detected! reading of; -248; High, Low; 187, -127; Current Danger Level; 5; at tic; 26461357\r\n'
2021-11-26;01-51-15-896157  ;;;  b'Strike Detected! reading of; 298; High, Low; 209, -159; Current Danger Level; 6; at tic; 26564525\r\n'
2021-11-26;01-51-16-026148  ;;;  b'Strike Detected! reading of; -262; High, Low; 209, -159; Current Danger Level; 6; at tic; 26564567'
2021-11-26;01-52-58-392858  ;;;  b'Strike Detected! reading of; -285; High, Low; 193, -142; Current Danger Level; 5; at tic; 26667018\r\n'
2021-11-26;01-56-23-037515  ;;;  b'Strike Detected! reading of; -259; High, Low; 210, -154; Current Danger Level; 6; at tic; 26871670\r\n'
2021-11-26;01-58-05-056708  ;;;  b'Strike Detected! reading of; -281; High, Low; 178, -127; Current Danger Level; 5; at tic; 26973691\r\n'
2021-11-26;02-01-31-194106  ;;;  b'Strike Detected! reading of; -187; High, Low; 188, -138; Current Danger Level; 5; at tic; 27179829\r\n'
2021-11-26;02-03-13-232978  ;;;  b'Strike Detected! reading of; -220; High, Low; 213, -154; Current Danger Level; 6; at tic; 27281881\r\n'
2021-11-26;02-03-13-251986  ;;;  b'Strike Detected! reading of; -261; High, Low; 213, -154; Current Danger Level; 6; at tic; 27281884\r\n'
2021-11-26;02-04-55-209878  ;;;  b'Strike Detected! reading of; -251; High, Low; 195, -148; Current Danger Level; 5; at tic; 27383858\r\n'
2021-11-26;02-04-55-228873  ;;;  b'Strike Detected! reading of; -222; High, Low; 195, -148; Current Danger Level; 6; at tic; 27383860\r\n'
2021-11-26;02-06-37-409661  ;;;  b'Strike Detected! reading of; 288; High, Low; 209, -160; Current Danger Level; 6; at tic; 27486049\r\n'
2021-11-26;02-06-37-440652  ;;;  b'Strike Detected! reading of; -252; High, Low; 209, -160; Current Danger Level; 6; at tic; 27486091\r\n'
2021-11-26;02-06-37-553617  ;;;  b'Strike Detected! reading of; -216; High, Low; 209, -160; Current Danger Level; 6; at tic; 27486093'
2021-11-26;02-10-02-184286  ;;;  b'Strike Detected! reading of; -203; High, Low; 183, -135; Current Danger Level; 5; at tic; 27690827\r\n'
2021-11-26;02-13-26-827003  ;;;  b'Strike Detected! reading of; 279; High, Low; 185, -139; Current Danger Level; 5; at tic; 27895469\r\n'
2021-11-26;02-18-33-480189  ;;;  b'Strike Detected! reading of; 268; High, Low; 182, -138; Current Danger Level; 5; at tic; 28202126\r\n'
2021-11-26;02-25-23-250150  ;;;  b'Strike Detected! reading of; -20; High, Low; 177, -129; Current Danger Level; 4; at tic; 28611909\r\n'
2021-11-26;02-27-05-456922  ;;;  b'Strike Detected! reading of; -174; High, Low; 180, -127; Current Danger Level; 5; at tic; 28714025'
2021-11-26;02-28-12-439439  ;;;  b'Strike Detected! reading of; 282; High, Low; 202, -151; Current Danger Level; 6; at tic; 28781017'
2021-11-26;02-28-33-127124  ;;;  b'Strike Detected! reading of; -229; High, Low; 242, -152; Current Danger Level; 5; at tic; 28801802\r\n'
2021-11-26;02-28-33-242087  ;;;  b'Strike Detected! reading of; -249; High, Low; 242, -152; Current Danger Level; 6; at tic; 28801804'
2021-11-26;02-32-11-626214  ;;;  b'Strike Detected! reading of; -272; High, Low; 207, -152; Current Danger Level; 6; at tic; 29020296\r\n'
2021-11-26;02-32-11-644208  ;;;  b'Strike Detected! reading of; -213; High, Low; 207, -152; Current Danger Level; 6; at tic; 29020298\r\n'
2021-11-26;02-35-35-702639  ;;;  b'Strike Detected! reading of; -184; High, Low; 176, -127; Current Danger Level; 5; at tic; 29224367\r\n'
2021-11-26;02-40-33-218783  ;;;  b'Strike Detected! reading of; 274; High, Low; 179, -125; Current Danger Level; 4; at tic; 29521805'
2021-11-26;02-40-42-567859  ;;;  b'Strike Detected! reading of; 311; High, Low; 179, -125; Current Danger Level; 5; at tic; 29531237\r\n'
2021-11-26;02-42-24-572242  ;;;  b'Strike Detected! reading of; -264; High, Low; 210, -150; Current Danger Level; 6; at tic; 29633244\r\n'
2021-11-26;02-44-07-042193  ;;;  b'Strike Detected! reading of; 302; High, Low; 213, -165; Current Danger Level; 6; at tic; 29735714\r\n'
2021-11-26;02-44-33-215683  ;;;  b'Strike Detected! reading of; -254; High, Low; 230, -155; Current Danger Level; 5; at tic; 29761806'
2021-11-26;02-45-49-353050  ;;;  b'Strike Detected! reading of; -294; High, Low; 215, -168; Current Danger Level; 6; at tic; 29838026\r\n'
2021-11-26;02-49-14-271512  ;;;  b'Strike Detected! reading of; -193; High, Low; 183, -131; Current Danger Level; 5; at tic; 30042956\r\n'
2021-11-26;02-49-14-291519  ;;;  b'Strike Detected! reading of; -288; High, Low; 183, -131; Current Danger Level; 6; at tic; 30042958\r\n'
2021-11-26;02-54-21-468228  ;;;  b'Strike Detected! reading of; 307; High, Low; 175, -125; Current Danger Level; 5; at tic; 30350152\r\n'
2021-11-26;02-59-29-627099  ;;;  b'Strike Detected! reading of; -191; High, Low; 174, -122; Current Danger Level; 5; at tic; 30658222'
2021-11-26;03-00-13-382351  ;;;  b'Strike Detected! reading of; -252; High, Low; 189, -156; Current Danger Level; 6; at tic; 30701986'
2021-11-26;03-04-36-612410  ;;;  b'Strike Detected! reading of; -261; High, Low; 184, -136; Current Danger Level; 4; at tic; 30965314\r\n'
2021-11-26;03-04-36-627405  ;;;  b'Strike Detected! reading of; -205; High, Low; 184, -136; Current Danger Level; 5; at tic; 30965316\r\n'
2021-11-26;03-06-18-902465  ;;;  b'Strike Detected! reading of; -263; High, Low; 205, -155; Current Danger Level; 6; at tic; 31067598\r\n'
2021-11-26;03-08-33-100333  ;;;  b'Strike Detected! reading of; -233; High, Low; 208, -148; Current Danger Level; 5; at tic; 31201812\r\n'
2021-11-26;03-08-33-214298  ;;;  b'Strike Detected! reading of; -244; High, Low; 208, -148; Current Danger Level; 6; at tic; 31201814'
2021-11-26;03-09-43-851916  ;;;  b'Strike Detected! reading of; -236; High, Low; 206, -158; Current Danger Level; 6; at tic; 31272558\r\n'
2021-11-26;03-09-43-870914  ;;;  b'Strike Detected! reading of; -285; High, Low; 206, -158; Current Danger Level; 6; at tic; 31272560\r\n'
2021-11-26;03-13-08-517153  ;;;  b'Strike Detected! reading of; 269; High, Low; 181, -133; Current Danger Level; 5; at tic; 31477214\r\n'
2021-11-26;03-13-08-647112  ;;;  b'Strike Detected! reading of; -198; High, Low; 181, -133; Current Danger Level; 6; at tic; 31477256'
2021-11-26;03-18-01-916556  ;;;  b'Strike Detected! reading of; 292; High, Low; 180, -126; Current Danger Level; 5; at tic; 31770635\r\n'
2021-11-26;03-18-01-931551  ;;;  b'Strike Detected! reading of; 277; High, Low; 180, -126; Current Danger Level; 6; at tic; 31770637\r\n'
2021-11-26;03-18-02-047515  ;;;  b'Strike Detected! reading of; 285; High, Low; 180, -126; Current Danger Level; 6; at tic; 31770639'
2021-11-26;03-18-15-636739  ;;;  b'Strike Detected! reading of; 294; High, Low; 180, -126; Current Danger Level; 6; at tic; 31784334\r\n'
2021-11-26;03-19-58-015287  ;;;  b'Strike Detected! reading of; 306; High, Low; 213, -145; Current Danger Level; 6; at tic; 31886707\r\n'
2021-11-26;03-21-40-353258  ;;;  b'Strike Detected! reading of; -242; High, Low; 177, -126; Current Danger Level; 5; at tic; 31989070\r\n'
2021-11-26;03-21-40-376236  ;;;  b'Strike Detected! reading of; -256; High, Low; 177, -126; Current Danger Level; 6; at tic; 31989072\r\n'
2021-11-26;03-25-05-272509  ;;;  b'Strike Detected! reading of; 264; High, Low; 182, -131; Current Danger Level; 5; at tic; 32193993\r\n'
2021-11-26;03-25-05-290503  ;;;  b'Strike Detected! reading of; 247; High, Low; 182, -131; Current Danger Level; 6; at tic; 32193995\r\n'
2021-11-26;03-28-30-946733  ;;;  b'Strike Detected! reading of; -227; High, Low; 208, -150; Current Danger Level; 6; at tic; 32399668\r\n'
2021-11-26;03-28-30-961730  ;;;  b'Strike Detected! reading of; -262; High, Low; 208, -150; Current Danger Level; 6; at tic; 32399670\r\n'
2021-11-26;03-28-33-055071  ;;;  b'Strike Detected! reading of; -254; High, Low; 208, -150; Current Danger Level; 6; at tic; 32401686'
2021-11-26;03-30-12-298719  ;;;  b'Strike Detected! reading of; -249; High, Low; 188, -131; Current Danger Level; 5; at tic; 32501008\r\n'
2021-11-26;03-31-54-663061  ;;;  b'Strike Detected! reading of; -258; High, Low; 204, -157; Current Danger Level; 6; at tic; 32603378\r\n'
2021-11-26;03-37-01-390097  ;;;  b'Strike Detected! reading of; -270; High, Low; 178, -124; Current Danger Level; 4; at tic; 32910020'
