
2021-08-19;00-03-02-875406  ;;;  b'Strike Detected! reading of; 273; High, Low; 179, -159; Current Danger Level; 1; at tic; 15839328'
2021-08-19;01-15-23-151705  ;;;  b'Strike Detected! reading of; 338; High, Low; 205, -171; Current Danger Level; 1; at tic; 20179668'
2021-08-19;01-37-44-161301  ;;;  b'Strike Detected! reading of; 416; High, Low; 205, -160; Current Danger Level; 1; at tic; 21520698'
2021-08-19;01-39-32-918171  ;;;  b'Strike Detected! reading of; -227; High, Low; 201, -151; Current Danger Level; 1; at tic; 21629460'
2021-08-19;01-46-08-747821  ;;;  b'Strike Detected! reading of; -462; High, Low; 206, -189; Current Danger Level; 1; at tic; 22025293'
2021-08-19;01-50-01-429060  ;;;  b'Strike Detected! reading of; 275; High, Low; 176, -175; Current Danger Level; 1; at tic; 22257976'
2021-08-19;01-54-24-699898  ;;;  b'Strike Detected! reading of; 778; High, Low; 214, -159; Current Danger Level; 1; at tic; 22521251'
2021-08-19;02-03-11-997159  ;;;  b'Strike Detected! reading of; 520; High, Low; 200, -178; Current Danger Level; 1; at tic; 23048556'
2021-08-19;02-13-38-994347  ;;;  b'Strike Detected! reading of; 323; High, Low; 183, -167; Current Danger Level; 1; at tic; 23675565'
2021-08-19;02-25-48-561226  ;;;  b'Strike Detected! reading of; -251; High, Low; 195, -163; Current Danger Level; 1; at tic; 24405139'
2021-08-19;02-41-18-860399  ;;;  b'Strike Detected! reading of; 257; High, Low; 171, -154; Current Danger Level; 1; at tic; 25335452'
2021-08-19;02-52-37-894620  ;;;  b'Strike Detected! reading of; 277; High, Low; 181, -175; Current Danger Level; 1; at tic; 26014497'
2021-08-19;03-03-10-697382  ;;;  b'Strike Detected! reading of; -191; High, Low; 164, -125; Current Danger Level; 1; at tic; 26647311'
2021-08-19;03-03-57-093748  ;;;  b'Strike Detected! reading of; -231; High, Low; 182, -148; Current Danger Level; 2; at tic; 26693708'
2021-08-19;04-44-31-092927  ;;;  b'Strike Detected! reading of; -235; High, Low; 212, -149; Current Danger Level; 1; at tic; 32727792'
2021-08-19;04-59-04-184828  ;;;  b'Strike Detected! reading of; 299; High, Low; 176, -170; Current Danger Level; 1; at tic; 33600898'
2021-08-19;05-40-34-343929  ;;;  b'Strike Detected! reading of; -239; High, Low; 164, -148; Current Danger Level; 1; at tic; 36091097'
2021-08-19;06-17-09-085169  ;;;  b'Strike Detected! reading of; -260; High, Low; 184, -159; Current Danger Level; 1; at tic; 38285867'
2021-08-19;07-40-10-046582  ;;;  b'Strike Detected! reading of; -425; High, Low; 231, -167; Current Danger Level; 1; at tic; 43266904'
2021-08-19;07-45-42-486268  ;;;  b'Strike Detected! reading of; 293; High, Low; 191, -154; Current Danger Level; 1; at tic; 43599345'
2021-08-19;08-28-36-218404  ;;;  b'Strike Detected! reading of; -268; High, Low; 223, -176; Current Danger Level; 1; at tic; 46173115'
2021-08-19;09-08-04-457822  ;;;  b'Strike Detected! reading of; 298; High, Low; 176, -163; Current Danger Level; 1; at tic; 48541389'
2021-08-19;09-09-52-472272  ;;;  b'Strike Detected! reading of; -454; High, Low; 198, -168; Current Danger Level; 2; at tic; 48649408'
2021-08-19;09-23-50-861412  ;;;  b'Strike Detected! reading of; -257; High, Low; 192, -158; Current Danger Level; 1; at tic; 49487808'
2021-08-19;09-35-29-613931  ;;;  b'Strike Detected! reading of; 278; Hgh, Low; 167, -153; Current Danger Level; 1; at tic; 50186569'
2021-08-19;09-51-46-587851  ;;;  b'Strike Detected! reading of; 312; High, Low; 180, -147; Current Danger Level; 1; at tic; 51163558'
2021-08-19;10-48-56-137515  ;;;  b'Strike Detected! reading of; -536; High, Low; 199, -179; Current Danger Level; 1; at tic; 54593161'
2021-08-19;10-55-38-137105  ;;;  b'Strike Detected! reading of; 330; High, Low; 215, -156; Current Danger Level; 1; at tic; 54995164'
2021-08-19;11-44-12-956354  ;;;  b'Strike Detected! reading of; 298; High, Low; 189, -201; Current Danger Level; 1; at tic; 57910028'
