
2022-05-26;06-06-39-140961  ;;;  b'Strike Detected! reading of; 646; High, Low; 429, -481; Current Danger Level; 1; at tic; 1242835144'
2022-05-26;06-21-39-979477  ;;;  b'Strike Detected! reading of; 702; High, Low; 426, -472; Current Danger Level; 1; at tic; 1243735994'
2022-05-26;08-02-24-836201  ;;;  b'Strike Detected! reading of; 862; High, Low; 429, -478; Current Danger Level; 1; at tic; 1249780958'
2022-05-26;08-15-39-687664  ;;;  b'Strike Detected! reading of; 578; High, Low; 430, -506; Current Danger Level; 1; at tic; 1250575819'
2022-05-26;08-21-53-578865  ;;;  b'Strike Detected! reading of; 701; High, Low; 433, -478; Current Danger Level; 1; at tic; 1250949723'
2022-05-26;13-48-35-462099  ;;;  b'Strike Detected! reading of; 799; High, Low; 485, -482; Current Danger Level; 1; at tic; 1270551886'
2022-05-26;14-39-47-050025  ;;;  b'Strike Detected! reading of; 622; High, Low; 459, -476; Current Danger Level; 1; at tic; 1273623557'
2022-05-26;20-02-27-096893  ;;;  b'Strike Detected! reading of; 610; High, Low; 452, -475; Current Danger Level; 1; at tic; 1292983915'
2022-05-26;21-08-53-194174  ;;;  b'Strike Detected! reading of; 632; High, Low; 444, -476; Current Danger Level; 1; at tic; 1296970084'
2022-05-26;22-40-27-256538  ;;;  b'Strike Detected! reading of; 660; High, Low; 466, -476; Current Danger Level; 1; at tic; 1302464273\r\n'
2022-05-26;22-40-27-303413  ;;;  b'Strike Detected! reading of; 1023; High, Low; 466, -476; Current Danger Level; 2; at tic; 1302464355\r\n'
2022-05-26;22-40-27-412857  ;;;  b'Strike Detected! reading of; 684; High, Low; 466, -476; Current Danger Level; 3; at tic; 1302464405'
