
2022-05-22;00-05-21-060836  ;;;  b'Strike Detected! reading of; 571; High, Low; 421, -471; Current Danger Level; 1; at tic; 875550873'
2022-05-22;08-17-50-369862  ;;;  b'Strike Detected! reading of; 785; High, Low; 430, -473; Current Danger Level; 1; at tic; 905100677'
2022-05-22;08-39-00-333721  ;;;  b'Strike Detected! reading of; 778; High, Low; 461, -483; Current Danger Level; 1; at tic; 906370664'
2022-05-22;09-16-27-007570  ;;;  b'Strike Detected! reading of; 733; High, Low; 423, -475; Current Danger Level; 1; at tic; 908617381'
2022-05-22;10-04-45-390409  ;;;  b'Strike Detected! reading of; 618; High, Low; 426, -478; Current Danger Level; 1; at tic; 911515805'
2022-05-22;10-31-07-040111  ;;;  b'Strike Detected! reading of; 696; High, Low; 456, -477; Current Danger Level; 1; at tic; 913097483'
2022-05-22;12-05-32-843434  ;;;  b'Strike Detected! reading of; 1023; High, Low; 419, -477; Current Danger Level; 1; at tic; 918763390'
2022-05-22;12-15-12-119023  ;;;  b'Strike Detected! reading of; 569; High, Low; 423, -471; Current Danger Level; 1; at tic; 919342663'
2022-05-22;14-04-23-067632  ;;;  b'Strike Detected! reading of; 772; High, Low; 450, -477; Current Danger Level; 1; at tic; 925893620'
2022-05-22;16-11-39-644439  ;;;  b'Strike Detected! reading of; 611; High, Low; 443, -493; Current Danger Level; 1; at tic; 933530439'
