
2022-07-02;07-12-59-699811  ;;;  b'Strike Detected! reading of; 672; High, Low; 487, -475; Current Danger Level; 1; at tic; 325950969'
2022-07-02;08-19-30-348946  ;;;  b'Strike Detected! reading of; 766; High, Low; 461, -477; Current Danger Level; 1; at tic; 329941688'
2022-07-02;10-49-15-581413  ;;;  b'Strike Detected! reading of; 1023; High, Low; 491, -485; Current Danger Level; 1; at tic; 338927081'
2022-07-02;11-46-56-140543  ;;;  b'Strike Detected! reading of; 1000; High, Low; 487, -482; Current Danger Level; 1; at tic; 342387707'
2022-07-02;11-56-08-536138  ;;;  b'Strike Detected! reading of; 1023; High, Low; 490, -484; Current Danger Level; 1; at tic; 342940114'
2022-07-02;12-04-30-425994  ;;;  b'Strike Detected! reading of; 1022; High, Low; 474, -488; Current Danger Level; 1; at tic; 343442021'
2022-07-02;17-17-32-404722  ;;;  b'Strike Detected! reading of; 657; High, Low; 487, -485; Current Danger Level; 1; at tic; 362224247'
2022-07-02;17-23-02-738757  ;;;  b'Strike Detected! reading of; 734; High, Low; 488, -490; Current Danger Level; 1; at tic; 362554628'
2022-07-02;17-26-22-810849  ;;;  b'Strike Detected! reading of; 869; High, Low; 489, -486; Current Danger Level; 1; at tic; 362754638'
2022-07-02;20-17-38-677778  ;;;  b'Strike Detected! reading of; 700; High, Low; 466, -481; Current Danger Level; 1; at tic; 373030715'
