
2021-12-04;04-28-15-853188  ;;;  b'Strike Detected! reading of; 249; High, Low; 176, -174; Current Danger Level; 1; at tic; 59051881\r\n'
2021-12-04;04-50-35-622474  ;;;  b'Strike Detected! reading of; 246; High, Low; 180, -174; Current Danger Level; 1; at tic; 60391675\r\n'
2021-12-04;04-52-19-388958  ;;;  b'Strike Detected! reading of; 257; High, Low; 177, -173; Current Danger Level; 1; at tic; 60495441\r\n'
2021-12-04;04-55-48-021487  ;;;  b'Strike Detected! reading of; 240; High, Low; 175, -177; Current Danger Level; 2; at tic; 60704074\r\n'
2021-12-04;05-04-05-714449  ;;;  b'Strike Detected! reading of; 302; High, Low; 176, -174; Current Danger Level; 1; at tic; 61201693'
2021-12-04;05-23-22-409406  ;;;  b'Strike Detected! reading of; -245; High, Low; 174, -176; Current Danger Level; 1; at tic; 62358490\r\n'
2021-12-04;05-30-15-638818  ;;;  b'Strike Detected! reading of; 253; High, Low; 172, -178; Current Danger Level; 1; at tic; 62771627'
2021-12-04;05-35-25-617432  ;;;  b'Strike Detected! reading of; 264; High, Low; 172, -179; Current Danger Level; 1; at tic; 63081710\r\n'
2021-12-04;05-37-08-933670  ;;;  b'Strike Detected! reading of; -274; High, Low; 173, -180; Current Danger Level; 1; at tic; 63185027\r\n'
2021-12-04;05-40-35-785799  ;;;  b'Strike Detected! reading of; 250; High, Low; 174, -179; Current Danger Level; 1; at tic; 63391888\r\n'
2021-12-04;05-44-02-458544  ;;;  b'Strike Detected! reading of; 252; High, Low; 180, -176; Current Danger Level; 2; at tic; 63598562\r\n'
2021-12-04;05-47-28-674538  ;;;  b'Strike Detected! reading of; 246; High, Low; 176, -175; Current Danger Level; 2; at tic; 63804694'
2021-12-04;05-54-22-345337  ;;;  b'Strike Detected! reading of; 251; High, Low; 177, -176; Current Danger Level; 1; at tic; 64218450\r\n'
2021-12-04;05-56-05-452203  ;;;  b'Strike Detected! reading of; 246; High, Low; 179, -175; Current Danger Level; 2; at tic; 64321563\r\n'
2021-12-04;05-56-05-588160  ;;;  b'Strike Detected! reading of; -250; High, Low; 179, -175; Current Danger Level; 3; at tic; 64321605'
2021-12-04;05-59-31-697619  ;;;  b'Strike Detected! reading of; -254; High, Low; 177, -170; Current Danger Level; 3; at tic; 64527730'
2021-12-04;06-04-41-360581  ;;;  b'Strike Detected! reading of; -236; High, Low; 189, -173; Current Danger Level; 2; at tic; 64837486\r\n'
2021-12-04;06-12-05-912051  ;;;  b'Strike Detected! reading of; 244; High, Low; 181, -172; Current Danger Level; 1; at tic; 65281957'
2021-12-04;06-13-16-412478  ;;;  b'Strike Detected! reading of; 255; High, Low; 186, -175; Current Danger Level; 2; at tic; 65352549\r\n'
2021-12-04;06-13-16-432469  ;;;  b'Strike Detected! reading of; 249; High, Low; 186, -175; Current Danger Level; 3; at tic; 65352551\r\n'
2021-12-04;06-16-41-777560  ;;;  b'Strike Detected! reading of; -234; High, Low; 173, -172; Current Danger Level; 3; at tic; 65557910\r\n'
2021-12-04;06-21-51-137618  ;;;  b'Strike Detected! reading of; 252; High, Low; 162, -175; Current Danger Level; 4; at tic; 65867270\r\n'
2021-12-04;06-27-00-329281  ;;;  b'Strike Detected! reading of; -271; High, Low; 163, -175; Current Danger Level; 4; at tic; 66176362\r\n'
2021-12-04;06-28-43-029539  ;;;  b'Strike Detected! reading of; -250; High, Low; 167, -173; Current Danger Level; 4; at tic; 66279175\r\n'
2021-12-04;06-32-09-538431  ;;;  b'Strike Detected! reading of; 264; High, Low; 166, -168; Current Danger Level; 4; at tic; 66485686\r\n'
2021-12-04;06-35-35-642698  ;;;  b'Strike Detected! reading of; -257; High, Low; 164, -172; Current Danger Level; 5; at tic; 66691703'
2021-12-04;06-37-19-543109  ;;;  b'Strike Detected! reading of; -239; High, Low; 169, -168; Current Danger Level; 5; at tic; 66795697\r\n'
2021-12-04;06-40-45-541681  ;;;  b'Strike Detected! reading of; 264; High, Low; 179, -175; Current Danger Level; 5; at tic; 67001698\r\n'
2021-12-04;06-44-11-868696  ;;;  b'Strike Detected! reading of; 257; High, Low; 190, -179; Current Danger Level; 5; at tic; 67208019\r\n'
2021-12-04;06-49-20-633084  ;;;  b'Strike Detected! reading of; 284; High, Low; 174, -162; Current Danger Level; 5; at tic; 67516800\r\n'
2021-12-04;07-00-05-795114  ;;;  b'Strike Detected! reading of; 226; High, Low; 168, -173; Current Danger Level; 3; at tic; 68161970\r\n'
2021-12-04;07-00-05-937072  ;;;  b'Strike Detected! reading of; 260; High, Low; 168, -173; Current Danger Level; 4; at tic; 68161972'
2021-12-04;07-01-21-289610  ;;;  b'Strike Detected! reading of; 268; High, Low; 176, -165; Current Danger Level; 5; at tic; 68237462\r\n'
2021-12-04;07-04-05-598664  ;;;  b'Strike Detected! reading of; -343; High, Low; 197, -183; Current Danger Level; 6; at tic; 68401696'
2021-12-04;07-11-36-510009  ;;;  b'Strike Detected! reading of; 247; High, Low; 167, -166; Current Danger Level; 4; at tic; 68852698\r\n'
2021-12-04;07-15-02-157329  ;;;  b'Strike Detected! reading of; -251; High, Low; 171, -171; Current Danger Level; 4; at tic; 69058294\r\n'
2021-12-04;07-16-44-295489  ;;;  b'Strike Detected! reading of; -277; High, Low; 166, -174; Current Danger Level; 4; at tic; 69160479\r\n'
2021-12-04;07-20-09-496317  ;;;  b'Strike Detected! reading of; 257; High, Low; 165, -172; Current Danger Level; 4; at tic; 69365603'
2021-12-04;07-25-17-815594  ;;;  b'Strike Detected! reading of; 276; High, Low; 169, -170; Current Danger Level; 4; at tic; 69674020\r\n'
2021-12-04;07-25-17-970586  ;;;  b'Strike Detected! reading of; -253; High, Low; 169, -170; Current Danger Level; 5; at tic; 69674062'
2021-12-04;07-27-01-474170  ;;;  b'Strike Detected! reading of; 304; High, Low; 199, -177; Current Danger Level; 6; at tic; 69777676\r\n'
2021-12-04;07-28-43-313725  ;;;  b'Strike Detected! reading of; -235; High, Low; 188, -170; Current Danger Level; 5; at tic; 69879521\r\n'
2021-12-04;07-35-34-408180  ;;;  b'Strike Detected! reading of; 254; High, Low; 171, -163; Current Danger Level; 5; at tic; 70290623\r\n'
2021-12-04;07-38-59-968966  ;;;  b'Strike Detected! reading of; -265; High, Low; 164, -168; Current Danger Level; 5; at tic; 70496188\r\n'
2021-12-04;07-52-40-501992  ;;;  b'Strike Detected! reading of; -244; High, Low; 175, -176; Current Danger Level; 2; at tic; 71316716\r\n'
2021-12-04;07-54-22-937498  ;;;  b'Strike Detected! reading of; -274; High, Low; 176, -175; Current Danger Level; 3; at tic; 71419169\r\n'
2021-12-04;07-59-31-016815  ;;;  b'Strike Detected! reading of; -270; High, Low; 181, -174; Current Danger Level; 3; at tic; 71727253\r\n'
2021-12-04;08-04-05-538311  ;;;  b'Strike Detected! reading of; -369; High, Low; 177, -176; Current Danger Level; 3; at tic; 72001697'
2021-12-04;08-08-04-033582  ;;;  b'Strike Detected! reading of; -256; High, Low; 177, -171; Current Danger Level; 3; at tic; 72240275\r\n'
2021-12-04;08-16-37-748781  ;;;  b'Strike Detected! reading of; -265; High, Low; 176, -176; Current Danger Level; 1; at tic; 72753920'
2021-12-04;08-23-26-473708  ;;;  b'Strike Detected! reading of; -263; High, Low; 173, -177; Current Danger Level; 1; at tic; 73162631\r\n'
2021-12-04;08-33-41-975533  ;;;  b'Strike Detected! reading of; -279; High, Low; 179, -176; Current Danger Level; 1; at tic; 73778156'
2021-12-04;08-36-05-804639  ;;;  b'Strike Detected! reading of; 235; High, Low; 176, -181; Current Danger Level; 1; at tic; 73921994'
2021-12-04;08-38-49-478883  ;;;  b'Strike Detected! reading of; -272; High, Low; 178, -177; Current Danger Level; 2; at tic; 74085682\r\n'
2021-12-04;08-38-53-638786  ;;;  b'Strike Detected! reading of; -295; High, Low; 178, -177; Current Danger Level; 3; at tic; 74089826'
2021-12-04;08-43-56-348335  ;;;  b'Strike Detected! reading of; -274; High, Low; 179, -177; Current Danger Level; 3; at tic; 74392623\r\n'
2021-12-04;08-49-05-197779  ;;;  b'Strike Detected! reading of; -271; High, Low; 183, -176; Current Danger Level; 2; at tic; 74701483\r\n'
2021-12-04;08-54-15-082505  ;;;  b'Strike Detected! reading of; 260; High, Low; 181, -174; Current Danger Level; 2; at tic; 75011372\r\n'
2021-12-04;08-55-59-723197  ;;;  b'Strike Detected! reading of; 262; High, Low; 179, -171; Current Danger Level; 3; at tic; 75116005\r\n'
2021-12-04;08-59-24-193043  ;;;  b'Strike Detected! reading of; 261; High, Low; 177, -172; Current Danger Level; 3; at tic; 75320489\r\n'
2021-12-04;09-01-08-020064  ;;;  b'Strike Detected! reading of; -243; High, Low; 181, -175; Current Danger Level; 3; at tic; 75424317\r\n'
2021-12-04;09-04-05-483049  ;;;  b'Strike Detected! reading of; 345; High, Low; 162, -172; Current Danger Level; 4; at tic; 75601697'
2021-12-04;09-06-19-238717  ;;;  b'Strike Detected! reading of; 264; High, Low; 170, -171; Current Danger Level; 4; at tic; 75735533\r\n'
2021-12-04;09-08-01-653860  ;;;  b'Strike Detected! reading of; 232; High, Low; 167, -170; Current Danger Level; 5; at tic; 75837962\r\n'
2021-12-04;09-08-01-684853  ;;;  b'Strike Detected! reading of; 270; High, Low; 167, -170; Current Danger Level; 6; at tic; 75837964\r\n'
2021-12-04;09-09-45-305389  ;;;  b'Strike Detected! reading of; 231; High, Low; 169, -166; Current Danger Level; 5; at tic; 75941605\r\n'
2021-12-04;09-11-28-008341  ;;;  b'Strike Detected! reading of; -281; High, Low; 188, -179; Current Danger Level; 6; at tic; 76044315\r\n'
2021-12-04;09-14-53-531177  ;;;  b'Strike Detected! reading of; 254; High, Low; 166, -165; Current Danger Level; 5; at tic; 76249845\r\n'
2021-12-04;09-14-53-551176  ;;;  b'Strike Detected! reading of; 239; High, Low; 166, -165; Current Danger Level; 6; at tic; 76249847\r\n'
2021-12-04;09-20-05-771976  ;;;  b'Strike Detected! reading of; 252; High, Low; 164, -167; Current Danger Level; 4; at tic; 76562006'
2021-12-04;09-20-05-866946  ;;;  b'Strike Detected! reading of; -261; High, Low; 164, -167; Current Danger Level; 5; at tic; 76562181\r\n'
2021-12-04;09-23-32-388869  ;;;  b'Strike Detected! reading of; -257; High, Low; 194, -179; Current Danger Level; 6; at tic; 76768706\r\n'
2021-12-04;09-26-59-159725  ;;;  b'Strike Detected! reading of; 234; High, Low; 169, -169; Current Danger Level; 5; at tic; 76975486\r\n'
2021-12-04;09-26-59-184736  ;;;  b'Strike Detected! reading of; 263; High, Low; 169, -169; Current Danger Level; 6; at tic; 76975489\r\n'
2021-12-04;09-30-25-815859  ;;;  b'Strike Detected! reading of; -235; High, Low; 169, -165; Current Danger Level; 5; at tic; 77182049'
2021-12-04;09-30-46-316408  ;;;  b'Strike Detected! reading of; 357; High, Low; 169, -165; Current Danger Level; 6; at tic; 77202557'
2021-12-04;09-33-50-207310  ;;;  b'Strike Detected! reading of; 260; High, Low; 169, -169; Current Danger Level; 5; at tic; 77386550\r\n'
2021-12-04;09-33-50-222308  ;;;  b'Strike Detected! reading of; 244; High, Low; 169, -169; Current Danger Level; 6; at tic; 77386552\r\n'
2021-12-04;09-35-33-402295  ;;;  b'Strike Detected! reading of; -268; High, Low; 190, -177; Current Danger Level; 6; at tic; 77489737\r\n'
2021-12-04;09-47-35-531385  ;;;  b'Strike Detected! reading of; -271; High, Low; 182, -166; Current Danger Level; 3; at tic; 78211874\r\n'
2021-12-04;09-49-18-628167  ;;;  b'Strike Detected! reading of; -248; High, Low; 182, -171; Current Danger Level; 3; at tic; 78314964\r\n'
2021-12-04;09-51-00-525909  ;;;  b'Strike Detected! reading of; -261; High, Low; 170, -164; Current Danger Level; 4; at tic; 78416866\r\n'
2021-12-04;09-59-34-191417  ;;;  b'Strike Detected! reading of; -232; High, Low; 182, -160; Current Danger Level; 3; at tic; 78930551\r\n'
2021-12-04;09-59-34-210411  ;;;  b'Strike Detected! reading of; -220; High, Low; 182, -160; Current Danger Level; 4; at tic; 78930553\r\n'
2021-12-04;10-06-25-505365  ;;;  b'Strike Detected! reading of; 267; High, Low; 184, -162; Current Danger Level; 3; at tic; 79341863\r\n'
2021-12-04;10-13-14-327761  ;;;  b'Strike Detected! reading of; 263; High, Low; 187, -169; Current Danger Level; 2; at tic; 79750695\r\n'
2021-12-04;10-16-41-265392  ;;;  b'Strike Detected! reading of; 243; High, Low; 181, -182; Current Danger Level; 2; at tic; 79957649\r\n'
2021-12-04;10-16-41-282387  ;;;  b'Strike Detected! reading of; 262; High, Low; 181, -182; Current Danger Level; 3; at tic; 79957651\r\n'
2021-12-04;10-18-33-143216  ;;;  b'Strike Detected! reading of; 271; High, Low; 172, -172; Current Danger Level; 4; at tic; 80069432'
2021-12-04;10-21-48-094187  ;;;  b'Strike Detected! reading of; 265; High, Low; 168, -175; Current Danger Level; 4; at tic; 80264464\r\n'
2021-12-04;10-30-20-857231  ;;;  b'Strike Detected! reading of; 262; High, Low; 181, -171; Current Danger Level; 3; at tic; 80777250\r\n'
2021-12-04;10-30-20-972225  ;;;  b'Strike Detected! reading of; 254; High, Low; 181, -171; Current Danger Level; 4; at tic; 80777252'
2021-12-04;10-32-04-049744  ;;;  b'Strike Detected! reading of; -263; High, Low; 174, -170; Current Danger Level; 5; at tic; 80880440\r\n'
2021-12-04;10-33-46-202990  ;;;  b'Strike Detected! reading of; 256; High, Low; 168, -182; Current Danger Level; 5; at tic; 80982591\r\n'
2021-12-04;10-38-56-510336  ;;;  b'Strike Detected! reading of; 239; High, Low; 167, -168; Current Danger Level; 5; at tic; 81292912\r\n'
2021-12-04;10-38-56-525321  ;;;  b'Strike Detected! reading of; 258; High, Low; 167, -168; Current Danger Level; 6; at tic; 81292914\r\n'
2021-12-04;10-40-22-527414  ;;;  b'Strike Detected! reading of; -273; High, Low; 193, -181; Current Danger Level; 5; at tic; 81378838'
2021-12-04;10-49-11-885835  ;;;  b'Strike Detected! reading of; 256; High, Low; 165, -170; Current Danger Level; 4; at tic; 81908199'
2021-12-04;10-52-05-706160  ;;;  b'Strike Detected! reading of; -236; High, Low; 171, -171; Current Danger Level; 4; at tic; 82082029'
2021-12-04;11-01-11-554704  ;;;  b'Strike Detected! reading of; 284; High, Low; 184, -167; Current Danger Level; 3; at tic; 82627969\r\n'
2021-12-04;11-02-53-844413  ;;;  b'Strike Detected! reading of; 261; High, Low; 172, -165; Current Danger Level; 4; at tic; 82730226\r\n'
2021-12-04;11-04-05-697917  ;;;  b'Strike Detected! reading of; 253; High, Low; 179, -163; Current Danger Level; 4; at tic; 82802032'
2021-12-04;11-08-00-344643  ;;;  b'Strike Detected! reading of; 266; High, Low; 191, -166; Current Danger Level; 5; at tic; 83036770\r\n'
2021-12-04;11-08-00-569630  ;;;  b'Strike Detected! reading of; -256; High, Low; 191, -166; Current Danger Level; 6; at tic; 83036812'
2021-12-04;11-10-50-343420  ;;;  b'Strike Detected! reading of; 262; High, Low; 174, -165; Current Danger Level; 5; at tic; 83206684'
2021-12-04;11-16-35-854711  ;;;  b'Strike Detected! reading of; -269; High, Low; 176, -169; Current Danger Level; 4; at tic; 83552179'
2021-12-04;11-23-28-713295  ;;;  b'Strike Detected! reading of; 275; High, Low; 172, -161; Current Danger Level; 4; at tic; 83965145\r\n'
2021-12-04;11-26-57-125873  ;;;  b'Strike Detected! reading of; 228; High, Low; 167, -165; Current Danger Level; 4; at tic; 84173579\r\n'
2021-12-04;11-26-57-145873  ;;;  b'Strike Detected! reading of; 281; High, Low; 167, -165; Current Danger Level; 5; at tic; 84173581\r\n'
2021-12-04;11-28-40-743824  ;;;  b'Strike Detected! reading of; 260; High, Low; 191, -170; Current Danger Level; 5; at tic; 84277180\r\n'
2021-12-04;11-30-24-397720  ;;;  b'Strike Detected! reading of; 300; High, Low; 195, -171; Current Danger Level; 6; at tic; 84380844\r\n'
2021-12-04;11-40-04-825114  ;;;  b'Strike Detected! reading of; -237; High, Low; 177, -171; Current Danger Level; 4; at tic; 84961192'
2021-12-04;11-47-41-156671  ;;;  b'Strike Detected! reading of; 249; High, Low; 179, -169; Current Danger Level; 3; at tic; 85417610\r\n'
2021-12-04;11-49-24-378701  ;;;  b'Strike Detected! reading of; 258; High, Low; 183, -175; Current Danger Level; 3; at tic; 85520841\r\n'
2021-12-04;11-51-07-778780  ;;;  b'Strike Detected! reading of; 246; High, Low; 166, -172; Current Danger Level; 4; at tic; 85624239\r\n'
2021-12-04;11-52-05-665059  ;;;  b'Strike Detected! reading of; -248; High, Low; 176, -179; Current Danger Level; 4; at tic; 85682044'
2021-12-04;11-54-34-793756  ;;;  b'Strike Detected! reading of; -236; High, Low; 165, -172; Current Danger Level; 5; at tic; 85831255\r\n'
2021-12-04;11-59-45-908269  ;;;  b'Strike Detected! reading of; 241; High, Low; 166, -170; Current Danger Level; 5; at tic; 86142384\r\n'
2021-12-04;11-59-45-948264  ;;;  b'Strike Detected! reading of; 250; High, Low; 166, -170; Current Danger Level; 6; at tic; 86142386\r\n'
2021-12-04;12-04-05-310040  ;;;  b'Strike Detected! reading of; -238; High, Low; 167, -169; Current Danger Level; 5; at tic; 86401700'
2021-12-04;12-08-05-654881  ;;;  b'Strike Detected! reading of; 236; High, Low; 164, -170; urrent Danger Level; 4; at tic; 86642049'
2021-12-04;12-10-06-639446  ;;;  b'Strike Detected! reading of; -259; High, Low; 164, -169; Current Danger Level; 5; at tic; 86763120\r\n'
2021-12-04;12-13-33-016906  ;;;  b'Strike Detected! reading of; 225; High, Low; 165, -170; Current Danger Level; 5; at tic; 86969494\r\n'
2021-12-04;12-18-43-641901  ;;;  b'Strike Detected! reading of; -248; High, Low; 160, -176; Current Danger Level; 5; at tic; 87280132\r\n'
2021-12-04;12-27-21-906799  ;;;  b'Strike Detected! reading of; 217; High, Low; 162, -179; Current Danger Level; 4; at tic; 87798393\r\n'
2021-12-04;12-27-21-926793  ;;;  b'Strike Detected! reading of; 269; High, Low; 162, -179; Current Danger Level; 5; at tic; 87798395\r\n'
2021-12-04;12-29-05-412994  ;;;  b'Strike Detected! reading of; 248; High, Low; 164, -179; Current Danger Level; 5; at tic; 87901906\r\n'
2021-12-04;12-34-15-024364  ;;;  b'Strike Detected! reading of; 241; High, Low; 167, -176; Current Danger Level; 5; at tic; 88211540\r\n'
2021-12-04;12-34-15-048358  ;;;  b'Strike Detected! reading of; 239; High, Low; 167, -176; Current Danger Level; 6; at tic; 88211543\r\n'
2021-12-04;12-37-42-401307  ;;;  b'Strike Detected! reading of; 249; High, Low; 168, -174; Current Danger Level; 5; at tic; 88418904\r\n'
2021-12-04;12-41-09-033353  ;;;  b'Strike Detected! reading of; 240; High, Low; 175, -175; Current Danger Level; 5; at tic; 88625556\r\n'
2021-12-04;12-41-09-051347  ;;;  b'Strike Detected! reading of; 252; High, Low; 175, -175; Current Danger Level; 6; at tic; 88625558\r\n'
2021-12-04;12-44-34-966813  ;;;  b'Strike Detected! reading of; 236; High, Low; 171, -176; Current Danger Level; 5; at tic; 88831483\r\n'
2021-12-04;12-44-34-984809  ;;;  b'Strike Detected! reading of; 258; High, Low; 171, -176; Current Danger Level; 6; at tic; 88831485\r\n'
2021-12-04;12-45-38-533335  ;;;  b'Strike Detected! reading of; 269; High, Low; 196, -185; Current Danger Level; 6; at tic; 88894964'
2021-12-04;12-48-05-627000  ;;;  b'Strike Detected! reading of; -249; High, Low; 189, -186; Current Danger Level; 5; at tic; 89042059'
2021-12-04;12-54-53-705949  ;;;  b'Strike Detected! reading of; 242; High, Low; 164, -170; Current Danger Level; 5; at tic; 89450234\r\n'
2021-12-04;12-54-53-720948  ;;;  b'Strike Detected! reading of; 239; High, Low; 164, -170; Current Danger Level; 6; at tic; 89450236\r\n'
2021-12-04;13-00-03-621369  ;;;  b'Strike Detected! reading of; 250; High, Low; 168, -169; Current Danger Level; 5; at tic; 89760100\r\n'
2021-12-04;13-01-46-666950  ;;;  b'Strike Detected! reading of; 249; High, Low; 166, -174; Current Danger Level; 5; at tic; 89863213\r\n'
2021-12-04;13-01-46-691948  ;;;  b'Strike Detected! reading of; 234; High, Low; 166, -174; Current Danger Level; 6; at tic; 89863215\r\n'
