
2021-11-27;00-00-32-284630  ;;;  b'Strike Detected! reading of; 298; High, Low; 208, -197; Current Danger Level; 5; at tic; 106322132'
2021-11-27;00-08-32-232681  ;;;  b'Strike Detected! reading of; -240; High, Low; 188, -133; Current Danger Level; 4; at tic; 106802135\r\n'
2021-11-27;00-08-32-347648  ;;;  b'Strike Detected! reading of; -206; High, Low; 188, -133; Current Danger Level; 5; at tic; 106802137'
2021-11-27;00-09-58-280046  ;;;  b'Strike Detected! reading of; -521; High, Low; 210, -152; Current Danger Level; 6; at tic; 106888128'
2021-11-27;00-16-40-197145  ;;;  b'Strike Detected! reading of; 244; High, Low; 180, -124; Current Danger Level; 4; at tic; 107290147\r\n'
2021-11-27;00-16-40-449066  ;;;  b'Strike Detected! reading of; 274; High, Low; 180, -124; Current Danger Level; 5; at tic; 107290149\r\n'
2021-11-27;00-18-24-564147  ;;;  b'Strike Detected! reading of; 332; High, Low; 208, -148; Current Danger Level; 6; at tic; 107394507\r\n'
2021-11-27;00-20-32-178974  ;;;  b'Strike Detected! reading of; -221; High, Low; 212, -160; Current Danger Level; 5; at tic; 107522138\r\n'
2021-11-27;00-20-32-292937  ;;;  b'Strike Detected! reading of; -248; High, Low; 212, -160; Current Danger Level; 6; at tic; 107522140'
2021-11-27;00-20-49-399545  ;;;  b'Strike Detected! reading of; 296; High, Low; 212, -160; Current Danger Level; 6; at tic; 107539261'
2021-11-27;00-25-09-220236  ;;;  b'Strike Detected! reading of; -205; High, Low; 187, -131; Current Danger Level; 5; at tic; 107799086'
2021-11-27;00-25-12-454225  ;;;  b'Strike Detected! reading of; 298; High, Low; 187, -131; Current Danger Level; 6; at tic; 107802400\r\n'
2021-11-27;00-28-31-841280  ;;;  b'Strike Detected! reading of; -324; High, Low; 213, -150; Current Danger Level; 6; at tic; 108001708'
2021-11-27;00-28-32-270145  ;;;  b'Strike Detected! reading of; -211; High, Low; 213, -150; Current Danger Level; 5; at tic; 108002140'
2021-11-27;00-30-18-495558  ;;;  b'Strike Detected! reading of; -255; High, Low; 227, -177; Current Danger Level; 6; at tic; 108108455\r\n'
2021-11-27;00-30-18-513550  ;;;  b'Strike Detected! reading of; -244; High, Low; 227, -177; Current Danger Level; 6; at tic; 108108457\r\n'
2021-11-27;00-35-24-050658  ;;;  b'Strike Detected! reading of; -288; High, Low; 185, -130; Current Danger Level; 5; at tic; 108414007\r\n'
2021-11-27;00-38-48-623532  ;;;  b'Strike Detected! reading of; 274; High, Low; 192, -132; Current Danger Level; 5; at tic; 108618592\r\n'
2021-11-27;00-38-48-643525  ;;;  b'Strike Detected! reading of; 260; High, Low; 192, -132; Current Danger Level; 6; at tic; 108618594\r\n'
2021-11-27;00-44-32-161656  ;;;  b'Strike Detected! reading of; -262; High, Low; 187, -130; Current Danger Level; 4; at tic; 108962144\r\n'
2021-11-27;00-44-32-274620  ;;;  b'Strike Detected! reading of; -181; High, Low; 187, -130; Current Danger Level; 5; at tic; 108962146'
2021-11-27;00-49-01-270753  ;;;  b'Strike Detected! reading of; 330; High, Low; 203, -143; Current Danger Level; 5; at tic; 109231244\r\n'
2021-11-27;00-50-43-117544  ;;;  b'Strike Detected! reading of; -246; High, Low; 221, -151; Current Danger Level; 6; at tic; 109333102\r\n'
2021-11-27;00-50-43-133540  ;;;  b'Strike Detected! reading of; -248; High, Low; 221, -151; Current Danger Level; 6; at tic; 109333104\r\n'
2021-11-27;00-54-07-381283  ;;;  b'Strike Detected! reading of; 249; High, Low; 183, -127; Current Danger Level; 5; at tic; 109537352\r\n'
2021-11-27;00-57-30-721847  ;;;  b'Strike Detected! reading of; -216; High, Low; 84, -129; Current Danger Level; 5; at tic; 109740701\r\n'
2021-11-27;00-59-13-775642  ;;;  b'Strike Detected! reading of; -213; High, Low; 213, -154; Current Danger Level; 6; at tic; 109843756\r\n'
2021-11-27;01-02-38-037932  ;;;  b'Strike Detected! reading of; -189; High, Low; 186, -132; Current Danger Level; 5; at tic; 110048031\r\n'
2021-11-27;01-02-38-054926  ;;;  b'Strike Detected! reading of; -292; High, Low; 186, -132; Current Danger Level; 6; at tic; 110048033\r\n'
2021-11-27;01-04-19-694167  ;;;  b'Strike Detected! reading of; -267; High, Low; 211, -156; Current Danger Level; 6; at tic; 110149683\r\n'
2021-11-27;01-04-19-730155  ;;;  b'Strike Detected! reading of; -265; High, Low; 211, -156; Current Danger Level; 6; at tic; 110149731\r\n'
2021-11-27;01-04-19-845119  ;;;  b'Strike Detected! reading of; -243; High, Low; 211, -156; Current Danger Level; 6; at tic; 110149733'
2021-11-27;01-06-01-602053  ;;;  b'Strike Detected! reading of; 277; High, Low; 186, -134; Current Danger Level; 5; at tic; 110251599\r\n'
2021-11-27;01-06-01-620042  ;;;  b'Strike Detected! reading of; 255; High, Low;186, -134; Current Danger Level; 6; at tic; 110251601\r\n'
2021-11-27;01-06-01-748993  ;;;  b'Strike Detected! reading of; -191; High, Low; 186, -134; Current Danger Level; 6; at tic; 110251643'
2021-11-27;01-07-44-611844  ;;;  b'Strike Detected! reading of; -290; High, Low; 212, -156; Current Danger Level; 6; at tic; 110354594\r\n'
2021-11-27;01-11-11-279059  ;;;  b'Strike Detected! reading of; 245; High, Low; 183, -130; Current Danger Level; 5; at tic; 110561275\r\n'
2021-11-27;01-12-54-535513  ;;;  b'Strike Detected! reading of; -222; High, Low; 204, -138; Current Danger Level; 5; at tic; 110664438'
2021-11-27;01-14-38-270350  ;;;  b'Strike Detected! reading of; -302; High, Low; 209, -156; Current Danger Level; 6; at tic; 110768267\r\n'
2021-11-27;01-21-32-113875  ;;;  b'Strike Detected! reading of; -212; High, Low; 183, -126; Current Danger Level; 4; at tic; 111182129\r\n'
2021-11-27;01-21-32-129871  ;;;  b'Strike Detected! reading of; -281; High, Low; 183, -126; Current Danger Level; 5; at tic; 111182131\r\n'
2021-11-27;01-23-15-442604  ;;;  b'Strike Detected! reading of; 316; High, Low; 212, -152; Current Danger Level; 6; at tic; 111285451\r\n'
2021-11-27;01-23-15-572595  ;;;  b'Strike Detected! reading of; -217; High, Low; 212, -152; Current Danger Level; 6; at tic; 111285493'
2021-11-27;01-26-42-344594  ;;;  b'Strike Detected! reading of; 277; High, Low; 188, -133; Current Danger Level; 5; at tic; 111492353\r\n'
2021-11-27;01-28-31-780727  ;;;  b'Strike Detected! reading of; 344; High, Low; 218, -149; Current Danger Level; 6; at tic; 111601709'
2021-11-27;01-30-08-706407  ;;;  b'Strike Detected! reading of; -258; High, Low; 188, -130; Current Danger Level; 5; at tic; 111698732\r\n'
2021-11-27;01-30-08-726437  ;;;  b'Strike Detected! reading of; -254; High, Low; 188, -130; Current Danger Level; 6; at tic; 111698734\r\n'
2021-11-27;01-33-35-895590  ;;;  b'Strike Detected! reading of; -228; High, Low; 189, -134; Current Danger Level; 5; at tic; 111905922\r\n'
2021-11-27;01-33-35-917588  ;;;  b'Strike Detected! reading of; -269; High, Low; 189, -134; Current Danger Level; 6; at tic; 111905924\r\n'
2021-11-27;01-35-19-141723  ;;;  b'Strike Detected! reading of; -300; High, Low; 209, -161; Current Danger Level; 6; at tic; 112009162\r\n'
2021-11-27;01-38-45-663912  ;;;  b'Strike Detected! reading of; -267; High, Low; 182, -130; Current Danger Level; 5; at tic; 112215682\r\n'
2021-11-27;01-40-29-295386  ;;;  b'Strike Detected! reading of; 291; High, Low; 217, -157; Current Danger Level; 6; at tic; 112319312\r\n'
2021-11-27;01-42-12-030760  ;;;  b'Strike Detected! reading of; -231; High, Low; 180, -127; Current Danger Level; 5; at tic; 112422059\r\n'
2021-11-27;01-43-55-025367  ;;;  b'Strike Detected! reading of; -253; High, Low; 210, -156; Current Danger Level; 6; at tic; 112525049\r\n'
2021-11-27;01-45-38-373080  ;;;  b'Strike Detected! reading of; -233; High, Low; 185, -133; Current Danger Level; 5; at tic; 112628312'
2021-11-27;01-47-21-631760  ;;;  b'Strike Detected! reading of; -262; High, Low; 214, -153; Current Danger Level; 6; at tic; 112731674\r\n'
2021-11-27;01-47-21-651768  ;;;  b'Strike Detected! reading of; -232; High, Low; 214, -153; Current Danger Level; 6; at tic; 112731676\r\n'
2021-11-27;01-50-47-416964  ;;;  b'Strike Detected! reading of; -235; High, Low; 182, -125; Current Danger Level; 5; at tic; 112937442\r\n'
2021-11-27;01-52-30-422816  ;;;  b'Strike Detected! reading of; -217; High, Low; 212, -154; Current Danger Level; 6; at tic; 113040367'
2021-11-27;01-55-56-331211  ;;;  b'Strike Detected! reading of; -281; High, Low; 182, -127; Current Danger Level; 5; at tic; 113246366\r\n'
2021-11-27;01-57-39-573953  ;;;  b'Strike Detected! reading of; 251; High, Low; 181, -130; Current Danger Level; 5; at tic; 113349616\r\n'
2021-11-27;01-57-39-707911  ;;;  b'Strike Detected! reading of; -195; High, Low; 181, -130; Current Danger Level; 6; at tic; 113349658'
2021-11-27;01-59-23-010923  ;;;  b'Strike Detected! reading of; -307; High, Low; 215, -155; Current Danger Level; 6; at tic; 113453056\r\n'
2021-11-27;02-07-58-966469  ;;;  b'Strike Detected! reading of; -185; High, Low; 183, -134; Current Danger Level; 5; at tic; 113969016\r\n'
2021-11-27;02-09-42-220753  ;;;  b'Strike Detected! reading of; -219; High, Low; 187, -134; Current Danger Level; 5; at tic; 114072272\r\n'
2021-11-27;02-11-25-813231  ;;;  b'Strike Detected! reading of; -334; High, Low; 208, -157; Current Danger Level; 6; at tic; 114175870\r\n'
2021-11-27;02-13-08-545709  ;;;  b'Strike Detected! reading of; -239; High, Low; 202, -150; Current Danger Level; 5; at tic; 114278605\r\n'
2021-11-27;02-16-35-203650  ;;;  b'Strike Detected! reading of; -244; High, Low; 211, -155; Current Danger Level; 5; at tic; 114485263\r\n'
2021-11-27;02-20-01-386057  ;;;  b'Strike Detected! reading of; 299; High, Low; 216, -158; Current Danger Level; 6; at tic; 114691447\r\n'
2021-11-27;02-20-32-088457  ;;;  b'Strike Detected! reading of; -267; High, Low; 236, -152; Current Danger Level; 5; at tic; 114722168\r\n'
2021-11-27;02-20-32-203421  ;;;  b'Strike Detected! reading of; -223; High, Low; 236, -152; Current Danger Level; 6; at tic; 114722170'
2021-11-27;02-23-28-091583  ;;;  b'Strike Detected! reading of; 319; High, Low; 216, -165; Current Danger Level; 6; at tic; 114898151\r\n'
2021-11-27;02-25-10-753614  ;;;  b'Strike Detected! reading of; -262; High, Low; 193, -131; Current Danger Level; 5; at tic; 115000836\r\n'
2021-11-27;02-25-10-773613  ;;;  b'Strike Detected! reading of; -225; High, Low; 193, -131; Current Danger Level; 6; at tic; 115000838\r\n'
2021-11-27;02-28-36-550962  ;;;  b'Strike Detected! reading of; -274; High, Low; 217, -156; Current Danger Level; 5; at tic; 115206612\r\n'
2021-11-27;02-32-02-355742  ;;;  b'Strike Detected! reading of; -206; High, Low; 221, -154; Current Danger Level; 6; at tic; 115412433\r\n'
2021-11-27;02-33-45-541505  ;;;  b'Strike Detected! reading of; 309; High, Low; 187, -131; Current Danger Level; 5; at tic; 115515617\r\n'
2021-11-27;02-33-45-671464  ;;;  b'Strike Detected! reading of; -267; High, Low; 187, -131; Current Danger Level; 6; at tic; 115515660'
2021-11-27;02-37-11-937407  ;;;  b'Strike Detected! reading of; 307; High, Low; 185, -131; Current Danger Level; 5; at tic; 115722011\r\n'
2021-11-27;02-42-20-091011  ;;;  b'Strike Detected! reading of; -230; High, Low; 187, -129; Current Danger Level; 5; at tic; 116030176\r\n'
2021-11-27;02-44-02-552149  ;;;  b'Strike Detected! reading of; 305; High, Low; 212, -157; Current Danger Level; 6; at tic; 116132634\r\n'
2021-11-27;02-49-11-255792  ;;;  b'Strike Detected! reading of; -300; High, Low; 183, -138; Current Danger Level; 4; at tic; 116441350\r\n'
2021-11-27;02-50-54-197208  ;;;  b'Strike Detected! reading of; 255; High, Low; 185, -132; Current Danger Level; 5; at tic; 116544302\r\n'
2021-11-27;02-50-54-311172  ;;;  b'Strike Detected! reading of; 284; High, Low; 185, -132; Current Danger Level; 6; at tic; 116544304'
2021-11-27;02-54-19-163770  ;;;  b'Strike Detected! reading of; 249; High, Low; 185, -132; Current Danger Level; 5; at tic; 116749256\r\n'
2021-11-27;02-56-01-501587  ;;;  b'Strike Detected! reading of; -287; High, Low; 214, -152; Current Danger Level; 6; at tic; 116851605\r\n'
2021-11-27;02-56-01-615550  ;;;  b'Strike Detected! reading of; -235; High, Low; 214, -152; Current Danger Level; 6; at tic; 116851607'
2021-11-27;02-56-32-162110  ;;;  b'Strike Detected! reading of; -264; High, Low; 230, -185; Current Danger Level; 5; at tic; 116882178'
2021-11-27;02-57-44-115751  ;;;  b'Strike Detected! reading of; -228; High, Low; 220, -170; Current Danger Level; 6; at tic; 116954226\r\n'
2021-11-27;02-57-44-136747  ;;;  b'Strike Detected! reading of; -269; High, Low; 220, -170; Current Danger Level; 6; at tic; 116954228\r\n'
2021-11-27;03-01-08-744185  ;;;  b'Strike Detected! reading of; -239; High, Low; 189, -139; Current Danger Level; 5; at tic; 117158843\r\n'
2021-11-27;03-02-51-177468  ;;;  b'Strike Detected! reading of; -303; High, Low; 216, -162; Current Danger Level; 6; at tic; 117261278\r\n'
2021-11-27;03-04-32-156110  ;;;  b'Strike Detected! reading of; -238; High, Low; 214, -161; Current Danger Level; 5; at tic; 117362180'
2021-11-27;03-04-33-543670  ;;;  b'Strike Detected! reading of; -217; High, Low; 214, -161; Current Danger Level; 6; at tic; 117363661\r\n'
2021-11-27;03-04-33-561668  ;;;  b'Strike Detected! reading of; -267; High, Low; 214, -161; Current Danger Level; 6; at tic; 117363663\r\n'
2021-11-27;03-06-16-218622  ;;;  b'Strike Detected! reading of; -236; High, Low; 214, -162; Current Danger Level; 6; at tic; 117466327\r\n'
2021-11-27;03-09-41-250551  ;;;  b'Strike Detected! reading of; -274; High, Low; 184, -133; Current Danger Level; 5; at tic; 117671371\r\n'
2021-11-27;03-09-41-273557  ;;;  b'Strike Detected! reading of; -199; High, Low; 184, -133; Current Danger Level; 6; at tic; 117671373\r\n'
2021-11-27;03-13-05-853873  ;;;  b'Strike Detected! reading of; 308; High, Low; 197, -151; Current Danger Level; 5; at tic; 117875971\r\n'
2021-11-27;03-14-48-452795  ;;;  b'Strike Detected! reading of; -207; High, Low; 214, -152; Current Danger Level; 6; at tic; 117978571\r\n'
2021-11-27;03-16-31-414953  ;;;  b'Strike Detected! reading of; -278; High, Low; 222, -160; Current Danger Level; 6; at tic; 118081529\r\n'
2021-11-27;03-19-56-163921  ;;;  b'Strike Detected! reading of; 304; High, Low; 179, -128; Current Danger Level; 5; at tic; 118286286\r\n'
2021-11-27;03-21-38-761134  ;;;  b'Strike Detected! reading of; 250; High, Low; 185, -131; Current Danger Level; 5; at tic; 118388886\r\n'
2021-11-27;03-28-31-662633  ;;;  b'Strike Detected! reading of; -358; High, Low; 179, -129; Current Danger Level; 5; at tic; 118801710'
2021-11-27;03-30-10-764923  ;;;  b'Strike Detected! reading of; -290; High, Low; 179, -129; Current Danger Level; 5; at tic; 118900908\r\n'
2021-11-27;03-30-10-783906  ;;;  b'Strike Detected! reading of; -177; High, Low; 179, -129; Current Danger Level; 6; at tic; 118900910\r\n'
2021-11-27;03-31-53-420408  ;;;  b'Strike Detected! reading of; 311; High, Low; 209, -159; Current Danger Level; 6; at tic; 119003550\r\n'
2021-11-27;03-33-35-899928  ;;;  b'Strike Detected! reading of; 305; High, Low; 190, -133; Current Danger Level; 5; at tic; 119106037\r\n'
2021-11-27;03-38-43-486771  ;;;  b'Strike Detected! reading of; 289; High, Low; 179, -125; Current Danger Level; 5; at tic; 119413623\r\n'
2021-11-27;03-42-08-389888  ;;;  b'Strike Detected! reading of; -255; High, Low; 175, -121; Current Danger Level; 5; at tic; 119618545\r\n'
2021-11-27;03-42-08-406883  ;;;  b'Strike Detected! reading of; -205; High, Low; 175, -121; Current Danger Level; 6; at tic; 119618547\r\n'
2021-11-27;03-45-33-195902  ;;;  b'Strike Detected! reading of; -268; High, Low; 178, -122; Current Danger Level; 5; at tic; 119823346\r\n'
2021-11-27;03-47-15-398907  ;;;  b'Strike Detected! reading of; -210; High, Low; 199, -149; Current Danger Level; 6; at tic; 119925555\r\n'
2021-11-27;03-48-58-179066  ;;;  b'Strike Detected! reading of; 258; High, Low; 191, -133; Current Danger Level; 5; at tic; 120028332\r\n'
2021-11-27;03-50-40-423331  ;;;  b'Strike Detected! reading of; -194; High, Low; 209, -145; Current Danger Level; 6; at tic; 120130587\r\n'
2021-11-27;03-50-40-446308  ;;;  b'Strike Detected! reading of; -276; High, Low; 209, -145; Current Danger Level; 6; at tic; 120130589\r\n'
2021-11-27;03-52-22-286212  ;;;  b'Strike Detected! reading of; -200; High, Low; 198, -143; Current Danger Level; 6; at tic; 120232453\r\n'
2021-11-27;03-52-22-301210  ;;;  b'Strike Detected! reading of; -289; High, Low; 198, -143; Current Danger Level; 6; at tic; 120232455\r\n'
2021-11-27;03-55-46-814473  ;;;  b'Strike Detected! reading of; -265; High, Low; 175, -125; Current Danger Level; 5; at tic; 120436969\r\n'
2021-11-27;03-56-32-112585  ;;;  b'Strike Detected! reading of; 276; High, Low; 196, -167; Current Danger Level; 5; at tic; 120482192'
2021-11-27;04-02-36-019647  ;;;  b'Strike Detected! reading of; 238; High, Low; 174, -120; Current Danger Level; 6; at tic; 120846188\r\n'
2021-11-27;04-07-43-704601  ;;;  b'Strike Detected! reading of; 311; High, Low; 175, -126; Current Danger Level; 5; at tic; 121153878\r\n'
2021-11-27;04-09-26-203077  ;;;  b'Strike Detected! reading of; -241; High, Low; 187, -128; Current Danger Level; 5; at tic; 121256379\r\n'
2021-11-27;04-11-08-244111  ;;;  b'Strike Detected! reading of; 303; High, Low; 201, -151; Current Danger Level; 6; at tic; 121358422\r\n'
2021-11-27;04-14-33-650775  ;;;  b'Strike Detected! reading of; -265; High, Low; 181, -127; Current Danger Level; 5; at tic; 121563840\r\n'
2021-11-27;04-14-33-665770  ;;;  b'Strike Detected! reading of; -171; High, Low; 181, -127; Current Danger Level; 6; at tic; 121563842\r\n'
2021-11-27;04-16-15-714729  ;;;  b'Strike Detected! reading of; 292; High, Low; 205, -146; Current Danger Level; 6; at tic; 121665897\r\n'
2021-11-27;04-20-32-094427  ;;;  b'Strike Detected! reading of; 255; High, Low; 181, -127; Current Danger Level; 4; at tic; 121922199'
2021-11-27;04-21-22-423593  ;;;  b'Strike Detected! reading of; 267; High, Low; 179, -119; Current Danger Level; 5; at tic; 121972616\r\n'
2021-11-27;04-23-04-879800  ;;;  b'Strike Detected! reading of; -221; High, Low; 199, -135; Current Danger Level; 6; at tic; 122075081\r\n'
2021-11-27;04-23-04-897793  ;;;  b'Strike Detected! reading of; -245; High, Low; 199, -135; Current Danger Level; 6; at tic; 122075083\r\n'
2021-11-27;04-24-46-824547  ;;;  b'Strike Detected! reading of; -250; High, Low; 199, -144; Current Danger Level; 5; at tic; 122177021\r\n'
2021-11-27;04-24-46-841539  ;;;  b'Strike Detected! reading of; -215; High, Low; 199, -144; Current Danger Level; 6; at tic; 122177025\r\n'
2021-11-27;04-28-11-483925  ;;;  b'Strike Detected! reading of; -245; High, Low; 198, -146; Current Danger Level; 6; at tic; 122381671\r\n'
2021-11-27;04-29-53-132482  ;;;  b'Strike Detected! reading of; 263; High, Low; 179, -126; Current Danger Level; 5; at tic; 122483322\r\n'
2021-11-27;04-31-35-157426  ;;;  b'Strike Detected! reading of; 300; High, Low; 201, -138; Current Danger Level; 6; at tic; 122585355\r\n'
