
2022-06-19;07-38-32-013085  ;;;  b'Strike Detected! reading of; 641; High, Low; 469, -480; Current Danger Level; 1; at tic; 1188206670'
2022-06-19;07-43-57-470446  ;;;  b'Strike Detected! reading of; 1023; High, Low; 477, -478; Current Danger Level; 1; at tic; 1188532121'
2022-06-19;08-56-27-091073  ;;;  b'Strike Detected! reading of; 759; High, Low; 484, -474; Current Danger Level; 1; at tic; 1192881829'
2022-06-19;09-06-55-677229  ;;;  b'Strike Detected! reading of; 659; High, Low; 487, -475; Current Danger Level; 1; at tic; 1193510423'
2022-06-19;12-38-25-788890  ;;;  b'Strike Detected! reading of; 860; High, Low; 489, -481; Current Danger Level; 1; at tic; 1206200776'
2022-06-19;14-51-01-176356  ;;;  b'Strike Detected! reading of; 735; High, Low; 502, -477; Current Danger Level; 1; at tic; 1214156264'
2022-06-19;16-19-42-450359  ;;;  b'Strike Detected! reading of; 789; High, Low; 487, -473; Current Danger Level; 1; at tic; 1219477635'
2022-06-19;17-42-07-486332  ;;;  b'Strike Detected! reading of; 1023; High, Low; 478, -475; Current Danger Level; 1; at tic; 1224422753'
2022-06-19;18-06-16-468234  ;;;  b'Strike Detected! reading of; 867; High, Low; 501, -477; Current Danger Level; 1; at tic; 1225871775'
2022-06-19;21-03-05-500965  ;;;  b'Strike Detected! reading of; 846; High, Low; 498, -480; Current Danger Level; 1; at tic; 1236480982'
