
2021-08-20;00-53-32-718706  ;;;  b'Strike Detected! reading of; 328; High, Low; 178, -167; Current Danger Level; 1; at tic; 105270495'
2021-08-20;01-01-52-516015  ;;;  b'Strike Detected! reading of; -327; High, Low; 173, -164; Current Danger Level; 1; at tic; 105770299'
2021-08-20;01-03-18-680576  ;;;  b'Strike Detected! reading of; -358; High, Low; 168, -164; Current Danger Level; 1; at tic; 105856463'
2021-08-20;01-04-43-960439  ;;;  b'Strike Detected! reading of; 832; High, Low; 180, -196; Current Danger Level; 2; at tic; 105941745'
2021-08-20;01-06-10-798344  ;;;  b'Strike Detected! reading of; 628; High, Low; 259, -191; Current Danger Level; 3; at tic; 106028585'
2021-08-20;01-06-34-735138  ;;;  b'Strike Detected! reading of; -333; High, Low; 443, -183; Current Danger Level; 4; at tic; 106052523'
2021-08-20;01-13-37-429047  ;;;  b'Strike Detected! reading of; -398; High, Low; 191, -187; Current Danger Level; 3; at tic; 106475223'
2021-08-20;01-13-38-193653  ;;;  b'Strike Detected! reading of; 292; High, Low; 191, -187; Current Danger Level; 4; at tic; 106475979'
2021-08-20;01-38-16-390770  ;;;  b'Strike Detected! reading of; -301; High, Low; 216, -179; Current Danger Level; 1; at tic; 107954206'
2021-08-20;01-39-56-272315  ;;;  b'Strike Detected! reading of; 469; High, Low; 233, -201; Current Danger Level; 1; at tic; 108054088'
2021-08-20;01-41-35-753791  ;;;  b'Strike Detected! reading of; 688; High, Low; 253, -194; Current Danger Level; 2; at tic; 108153573'
2021-08-20;01-52-53-363081  ;;;  b'Strike Detected! reading of; 374; High, Low; 195, -183; Current Danger Level; 1; at tic; 108831191'
2021-08-20;01-58-01-710715  ;;;  b'Strike Detected! reading of; 356; High, Low; 201, -180; Current Danger Level; 1; at tic; 109139542'
2021-08-20;02-03-20-373641  ;;;  b'Strike Detected! reading of; -496; High, Low; 216, -174; Current Danger Level; 1; at tic; 109458209'
2021-08-20;02-10-06-354780  ;;;  b'Strike Detected! reading of; -340; High, Low; 221, -196; Current Danger Level; 1; at tic; 109864199'
2021-08-20;03-03-50-985038  ;;;  b'Strike Detected! reading of; 310; High, Low; 199, -194; Current Danger Level; 1; at tic; 113088875'
2021-08-20;04-02-58-634475  ;;;  b'Strike Detected! reading of; -535; High, Low; 222, -185; Current Danger Level; 1; at tic; 116636579'
2021-08-20;04-04-39-841986  ;;;  b'Strike Detected! reading of; -370; High, Low; 229, -186; Current Danger Level; 1; at tic; 116737787'
2021-08-20;04-13-28-221101  ;;;  b'Strike Detected! reading of; 378; High, Low; 213, -185; Current Danger Level; 1; at tic; 117266176'
2021-08-20;04-41-10-668647  ;;;  b'Strike Detected! reading of; -403; High, Low; 209, -194; Current Danger Level; 1; at tic; 118928648'
2021-08-20;04-51-23-678329  ;;;  b'Strike Detected! reading of; 314; High, Low; 207, -180; Current Danger Level; 1; at tic; 119541664'
2021-08-20;06-58-50-903058  ;;;  b'Strike Detected! reading of; 344; High, Low; 207, -175; Current Danger Level; 1; at tic; 127189005'
2021-08-20;07-25-25-591991  ;;;  b'Strike Detected! reading of; -321; High, Low; 219, -196; Current Danger Level; 1; at tic; 128783719'
2021-08-20;07-55-33-309695  ;;;  b'Strike Detected! reading of; -254; High, Low; 196, -168; Current Danger Level; 1; at tic; 130591463'
2021-08-20;08-01-39-917427  ;;;  b'Strike Detected! reading of; 436; High, Low; 230, -197; Current Danger Level; 1; at tic; 130958076'
2021-08-20;09-43-41-484152  ;;;  b'Strike Detected! reading of; 352; High, Low; 226, -232; Current Danger Level; 1; at tic; 137079733'
2021-08-20;10-06-52-139487  ;;;  b'Strike Detected! reading of; -289; High, Low; 214, -165; Current Danger Level; 1; at tic; 138470410'
2021-08-20;10-12-13-629123  ;;;  b'Strike Detected! reading of; 400; High, Low; 212, -208; Current Danger Level; 1; at tic; 138791904'
2021-08-20;11-36-24-377645  ;;;  b'Strike Detected! reading of; 555; High, Low; 220, -199; Current Danger Level; 1; at tic; 143842727'
2021-08-20;12-10-57-756536  ;;;  b'Strike Detected! reading of; -632; High, Low; 238, -205; Current Danger Level; 1; at tic; 145916137'
2021-08-20;13-29-34-617655  ;;;  b'Strike Detected! reading of; 341; High, Low; 199, -195; Current Danger Level; 1; at tic; 150633070'
2021-08-20;14-52-48-134517  ;;;  b'Strike Detected! reading of; 333; High, Low; 215, -230; Current Danger Level; 1; at tic; 155626660'
2021-08-20;15-05-43-152927  ;;;  b'Strike Detected! reading of; 319; High, Low; 212, -213; Current Danger Level; 1; at tic; 156401688'
2021-08-20;16-33-00-573465  ;;;  b'Strike Detected! reading of; 350; High, Low; 225, -241; Current Danger Level; 1; at tic; 161639188'
2021-08-20;17-33-18-943575  ;;;  b'Strike Detected! reading of; 340; High, Low; 218, -209; Current Danger Level; 1; at tic; 165257614'
2021-08-20;17-37-31-228211  ;;;  b'Strike Detected! reading of; 347; High, Low; 227, -209; Current Daner Level; 1; at tic; 165509903'
2021-08-20;18-01-41-733360  ;;;  b'Strike Detected! reading of; 309; High, Low; 205, -215; Current Danger Level; 1; at tic; 166960429'
2021-08-20;18-18-27-131583  ;;;  b'Strike Detected! reading of; 394; High, Low; 230, -242; Current Danger Level; 1; at tic; 167965842'
2021-08-20;18-23-38-019138  ;;;  b'Strike Detected! reading of; -343; High, Low; 229, -225; Current Danger Level; 1; at tic; 168276734'
2021-08-20;20-11-41-667953  ;;;  b'Strike Detected! reading of; -314; High, Low; 210, -233; Current Danger Level; 1; at tic; 174760478'
2021-08-20;20-21-46-314758  ;;;  b'Strike Detected! reading of; -386; High, Low; 193, -211; Current Danger Level; 1; at tic; 175365135'
2021-08-20;20-31-30-439239  ;;;  b'Strike Detected! reading of; -462; High, Low; 195, -196; Current Danger Level; 1; at tic; 175949268'
2021-08-20;20-38-22-708565  ;;;  b'Strike Detected! reading of; 270; High, Low; 198, -208; Current Danger Level; 1; at tic; 176361543'
2021-08-20;21-58-45-180721  ;;;  b'Strike Detected! reading of; 921; High, Low; 191, -197; Current Danger Level; 1; at tic; 181184089'
2021-08-20;22-07-29-197385  ;;;  b'Strike Detected! reading of; -378; High, Low; 179, -188; Current Danger Level; 1; at tic; 181708113'
2021-08-20;22-14-09-960167  ;;;  b'Strike Detected! reading of; 472; High, Low; 185, -191; Current Danger Level; 1; at tic; 182108881'
2021-08-20;22-15-44-527988  ;;;  b'Strike Detected! reading of; -547; High, Low; 213, -184; Current Danger Level; 1; at tic; 182203449'
2021-08-20;22-17-22-194478  ;;;  b'Strike Detected! reading of; 265; High, Low; 190, -203; Current Danger Level; 2; at tic; 182301119'
2021-08-20;23-08-59-180745  ;;;  b'Strike Detected! reading of; 395; High, Low; 176, -175; Current Danger Level; 1; at tic; 185398151'
