
2022-05-30;00-02-29-080392  ;;;  b'Strike Detected! reading of; 1023; High, Low; 422, -474; Current Danger Level; 1; at tic; 1566590545'
2022-05-30;02-27-12-365468  ;;;  b'Strike Detected! reading of; 731; High, Low; 442, -473; Current Danger Level; 1; at tic; 1575273980'
2022-05-30;07-42-32-700458  ;;;  b'Strike Detected! reading of; 1023; High, Low; 486, -487; Current Danger Level; 1; at tic; 1594194621'
2022-05-30;08-10-45-322758  ;;;  b'Strike Detected! reading of; 627; High, Low; 459, -476; Current Danger Level; 1; at tic; 1595887269'
2022-05-30;08-18-39-660181  ;;;  b'Strike Detected! reading of; 600; High, Low; 447, -473; Current Danger Level; 1; at tic; 1596361621'
2022-05-30;08-34-46-597095  ;;;  b'Strike Detected! reading of; 967; High, Low; 461, -479; Current Danger Level; 1; at tic; 1597328575'
2022-05-30;08-43-51-472466  ;;;  b'Strike Detected! reading of; 763; High, Low; 471, -478; Current Danger Level; 1; at tic; 1597873460'
2022-05-30;10-08-33-771492  ;;;  b'Strike Detected! reading of; 1023; High, Low; 448, -473; Current Danger Level; 1; at tic; 1602955836'
2022-05-30;12-32-53-412475  ;;;  b'Strike Detected! reading of; 891; High, Low; 466, -475; Current Danger Level; 1; at tic; 1611615638'
2022-05-30;17-18-11-102612  ;;;  b'Strike Detected! reading of; 807; High, Low; 421, -475; Current Danger Level; 1; at tic; 1628733599'
2022-05-30;17-28-12-706396  ;;;  b'Strike Detected! reading of; 934; High, Low; 417, -476; Current Danger Level; 1; at tic; 1629335211'
