
2021-12-01;00-00-28-104122  ;;;  b'Strike Detected! reading of; -221; High, Low; 220, -159; Current Danger Level; 5; at tic; 451923607'
2021-12-01;00-04-49-206444  ;;;  b'Strike Detected! reading of; -225; High, Low; 185, -148; Current Danger Level; 5; at tic; 452184761\r\n'
2021-12-01;00-08-30-129089  ;;;  b'Strike Detected! reading of; 314; High, Low; 201, -159; Current Danger Level; 5; at tic; 452405634'
2021-12-01;00-11-39-320551  ;;;  b'Strike Detected! reading of; -296; High, Low; 200, -158; Current Danger Level; 6; at tic; 452594448'
2021-12-01;00-11-44-844820  ;;;  b'Strike Detected! reading of; 295; High, Low; 200, -158; Current Danger Level; 6; at tic; 452600350'
2021-12-01;00-13-21-561480  ;;;  b'Strike Detected! reading of; -222; High, Low; 186, -151; Current Danger Level; 5; at tic; 452697126\r\n'
2021-12-01;00-13-21-576479  ;;;  b'Strike Detected! reading of; -243; High, Low; 186, -151; Current Danger Level; 6; at tic; 452697129\r\n'
2021-12-01;00-16-46-719130  ;;;  b'Strike Detected! reading of; -260; High, Low; 231, -155; Current Danger Level; 5; at tic; 452902311\r\n'
2021-12-01;00-20-11-726654  ;;;  b'Strike Detected! reading of; -239; High, Low; 202, -161; Current Danger Level; 6; at tic; 453107329\r\n'
2021-12-01;00-23-36-286101  ;;;  b'Strike Detected! reading of; -256; High, Low; 180, -146; Current Danger Level; 5; at tic; 453311883\r\n'
2021-12-01;00-25-18-361605  ;;;  b'Strike Detected! reading of; 296; High, Low; 186, -159; Current Danger Level; 5; at tic; 453413873'
2021-12-01;00-27-00-725255  ;;;  b'Strike Detected! reading of; -267; High, Low; 203, -158; Current Danger Level; 6; at tic; 453516215\r\n'
2021-12-01;00-27-00-769241  ;;;  b'Strike Detected! reading of; -253; High, Low; 203, -158; Current Danger Level; 6; at tic; 453516298\r\n'
2021-12-01;00-28-42-527501  ;;;  b'Strike Detected! reading of; -282; High, Low; 200, -167; Current Danger Level; 5; at tic; 453618135\r\n'
2021-12-01;00-33-48-772300  ;;;  b'Strike Detected! reading of; -240; High, Low; 177, -148; Current Danger Level; 5; at tic; 453924382\r\n'
2021-12-01;00-37-00-551334  ;;;  b'Strike Detected! reading of; -344; High, Low; 178, -145; Current Danger Level; 5; at tic; 454116079'
2021-12-01;00-38-55-203142  ;;;  b'Strike Detected! reading of; 288; High, Low; 200, -161; Current Danger Level; 6; at tic; 454230813\r\n'
2021-12-01;00-40-37-235490  ;;;  b'Strike Detected! reading of; -235; High, Low; 202, -152; Current Danger Level; 5; at tic; 454332762'
2021-12-01;00-41-52-326859  ;;;  b'Strike Detected! reading of; 363; High, Low; 199, -161; Current Danger Level; 6; at tic; 454407860'
2021-12-01;00-42-19-214436  ;;;  b'Strike Detected! reading of; -267; High, Low; 281, -160; Current Danger Level; 6; at tic; 454434833\r\n'
2021-12-01;00-45-43-500186  ;;;  b'Strike Detected! reading of; -243; High, Low; 179, -149; Current Danger Level; 5; at tic; 454639100\r\n'
2021-12-01;00-45-43-520179  ;;;  b'Strike Detected! reading of; -213; High, Low; 179, -149; Current Danger Level; 6; at tic; 454639102\r\n'
2021-12-01;00-46-49-278459  ;;;  b'Strike Detected! reading of; 331; High, Low; 213, -167; Current Danger Level; 6; at tic; 454704817'
2021-12-01;00-48-32-159534  ;;;  b'Strike Detected! reading of; -306; High, Low; 205, -158; Current Danger Level; 5; at tic; 454807800\r\n'
2021-12-01;00-48-32-274498  ;;;  b'Strike Detected! reading of; -243; High, Low; 205, -158; Curren Danger Level; 6; at tic; 454807802'
2021-12-01;00-53-50-463660  ;;;  b'Strike Detected! reading of; 256; High, Low; 181, -148; Current Danger Level; 5; at tic; 455126007'
2021-12-01;00-55-47-090144  ;;;  b'Strike Detected! reading of; -230; High, Low; 206, -160; Current Danger Level; 6; at tic; 455242632'
2021-12-01;00-57-36-140683  ;;;  b'Strike Detected! reading of; 313; High, Low; 188, -149; Current Danger Level; 5; at tic; 455351687'
2021-12-01;00-59-19-680950  ;;;  b'Strike Detected! reading of; -254; High, Low; 207, -157; Current Danger Level; 6; at tic; 455455297\r\n'
2021-12-01;00-59-19-812914  ;;;  b'Strike Detected! reading of; -246; High, Low; 207, -157; Current Danger Level; 6; at tic; 455455346'
2021-12-01;00-59-25-595475  ;;;  b'Strike Detected! reading of; 297; High, Low; 207, -157; Current Danger Level; 6; at tic; 455461147'
2021-12-01;01-01-15-401349  ;;;  b'Strike Detected! reading of; 363;High, Low; 192, -148; Current Danger Level; 5; at tic; 455570951'
2021-12-01;01-02-44-107356  ;;;  b'Strike Detected! reading of; -243; High, Low; 214, -157; Current Danger Level; 6; at tic; 455659742\r\n'
2021-12-01;01-07-50-519436  ;;;  b'Strike Detected! reading of; -204; High, Low; 179, -144; Current Danger Level; 5; at tic; 455966166\r\n'
2021-12-01;01-07-50-539430  ;;;  b'Strike Detected! reading of; -235; High, Low; 179, -144; Current Danger Level; 6; at tic; 455966168\r\n'
2021-12-01;01-09-32-107362  ;;;  b'Strike Detected! reading of; 268; High, Low; 180, -148; Current Danger Level; 5; at tic; 456067710\r\n'
2021-12-01;01-09-32-124356  ;;;  b'Strike Detected! reading of; 250; High, Low; 180, -148; Current Danger Level; 6; at tic; 456067713\r\n'
2021-12-01;01-09-32-156347  ;;;  b'Strike Detected! reading of; -265; High, Low; 180, -148; Current Danger Level; 6; at tic; 456067753\r\n'
2021-12-01;01-12-56-292881  ;;;  b'Strike Detected! reading of; 280; High, Low; 201, -161; Current Danger Level; 5; at tic; 456271931\r\n'
2021-12-01;01-14-38-147792  ;;;  b'Strike Detected! reading of; -219; High, Low; 209, -161; Current Danger Level; 6; at tic; 456373805\r\n'
2021-12-01;01-14-38-170793  ;;;  b'Strike Detected! reading of; -285; High, Low; 209, -161; Current Danger Level; 6; at tic; 456373807\r\n'
2021-12-01;01-18-02-354180  ;;;  b'Strike Detected! reading of; 239; High, Low; 176, -150; Current Danger Level; 5; at tic; 456578011\r\n'
2021-12-01;01-19-44-179357  ;;;  b'Strike Detected! reading of; -249; High, Low; 199, -162; Current Danger Level; 6; at tic; 456679833\r\n'
2021-12-01;01-19-44-198351  ;;;  b'Strike Detected! reading of; -223; High, Low; 199, -162; Current Danger Level; 6; at tic; 456679835\r\n'
2021-12-01;01-20-28-059987  ;;;  b'Strike Detected! reading of; -247; High, Low; 205, -184; Current Danger Level; 5; at tic; 456723628'
2021-12-01;01-21-26-561597  ;;;  b'Strike Detected! reading of; 307; High, Low; 203, -186; Current Danger Level; 6; at tic; 456782213\r\n'
2021-12-01;01-28-26-229868  ;;;  b'Strike Detected! reading of; 340; High, Low; 180, -141; Current Danger Level; 5; at tic; 457201806'
