
2021-12-14;00-02-20-184741  ;;;  b'Strike Detected! reading of; 295; High, Low; 182, -221; Current Danger Level; 1; at tic; 623356511'
2021-12-14;00-05-18-479369  ;;;  b'Strike Detected! reading of; 317; High, Low; 182, -221; Current Danger Level; 1; at tic; 623534799'
2021-12-14;00-17-51-083989  ;;;  b'Strike Detected! reading of; 248; High, Low; 182, -224; Current Danger Level; 1; at tic; 624287499\r\n'
2021-12-14;00-22-31-834256  ;;;  b'Strike Detected! reading of; 258; High, Low; 180, -222; Current Danger Level; 1; at tic; 624568272\r\n'
2021-12-14;00-22-31-955219  ;;;  b'Strike Detected! reading of; 264; High, Low; 180, -222; Current Danger Level; 2; at tic; 624568274'
2021-12-14;00-38-18-479977  ;;;  b'Strike Detected! reading of; 241; High, Low; 180, -218; Current Danger Level; 1; at tic; 625514906\r\n'
2021-12-14;00-43-49-189362  ;;;  b'Strike Detected! reading of; 291; High, Low; 181, -226; Current Danger Level; 1; at tic; 625845542'
2021-12-14;00-53-05-489606  ;;;  b'Strike Detected! reading of; 298; High, Low; 192, -214; Current Danger Level; 1; at tic; 626401854'
2021-12-14;02-09-46-855766  ;;;  b'Strike Detected! reading of; 247; High, Low; 183, -218; Current Danger Level; 1; at tic; 631003346\r\n'
2021-12-14;03-17-05-226732  ;;;  b'Strike Detected! reading of; 248; High, Low; 183, -212; Current Danger Level; 1; at tic; 635041819\r\n'
2021-12-14;03-32-32-638142  ;;;  b'Strike Detected! reading of; 251; High, Low; 184, -217; Current Danger Level; 1; at tic; 635969240\r\n'
2021-12-14;03-37-42-588856  ;;;  b'Strike Detected! reading of; 261; High, Low; 184, -215; Current Danger Level; 1; at tic; 636279186\r\n'
2021-12-14;04-01-45-613720  ;;;  b'Strike Detected! reading of; 265; High, Low; 185, -208; Current Danger Level; 1; at tic; 637722251\r\n'
2021-12-14;04-24-02-552165  ;;;  b'Strike Detected! reading of; 252; High, Low; 187, -210; Current Danger Level; 1; at tic; 639059216\r\n'
2021-12-14;04-28-49-270368  ;;;  b'Strike Detected! reading of; 265; High, Low; 187, -214; Current Danger Level; 1; at tic; 639345851'
2021-12-14;04-53-05-253326  ;;;  b'Strike Detected! reading of; 280; High, Low; 183, -213; Current Danger Level; 1; at tic; 640801859'
2021-12-14;05-22-07-011344  ;;;  b'Strike Detected! reading of; 252; High, Low; 182, -217; Current Danger Level; 1; at tic; 642543716\r\n'
2021-12-14;05-23-48-875510  ;;;  b'Strike Detected! reading of; 264; High, Low; 193, -220; Current Danger Level; 2; at tic; 642645578\r\n'
2021-12-14;05-34-04-075340  ;;;  b'Strike Detected! reading of; 267; High, Low; 182, -218; Current Danger Level; 1; at tic; 643260804\r\n'
2021-12-14;05-34-04-214297  ;;;  b'Strike Detected! reading of; 259; High, Low; 182, -218; Current Danger Level; 2; at tic; 643260853'
2021-12-14;05-46-02-209804  ;;;  b'Strike Detected! reading of; 264; High, Low; 180, -225; Current Danger Level; 1; at tic; 643978950\r\n'
2021-12-14;05-53-05-199352  ;;;  b'Strike Detected! reading of; 313; High, Low; 183, -241; Current Danger Level; 1; at tic; 644401860'
2021-12-14;06-04-46-441877  ;;;  b'Strike Detected! reading of; 263; High, Low; 184, -225; Current Danger Level; 1; at tic; 645103200\r\n'
2021-12-14;06-08-11-181399  ;;;  b'Strike Detected! reading of; 267; High, Low; 183, -220; Current Danger Level; 1; at tic; 645307942\r\n'
2021-12-14;06-21-17-388772  ;;;  b'Strike Detected! reading of; 250; High, Low; 185, -221; Current Danger Level; 1; at tic; 646094178\r\n'
2021-12-14;06-21-17-502735  ;;;  b'Strike Detected! reading of; 255; High, Low; 185, -221; Current Danger Level; 2; at tic; 646094180'
2021-12-14;07-35-24-001980  ;;;  b'Strike Detected! reading of; 248; High, Low; 185, -222; Current Danger Level; 1; at tic; 650540849\r\n'
2021-12-14;07-53-05-079707  ;;;  b'Strike Detected! reading of; 318; High, Low; 186, -222; Current Danger Level; 1; at tic; 651601862'
2021-12-14;08-01-18-615929  ;;;  b'Strike Detected! reading of; 249; High, Low; 183, -227; Current Danger Level; 1; at tic; 652095392'
2021-12-14;08-17-20-183326  ;;;  b'Strike Detected! reading of; 376; High, Low; 184, -237; Current Danger Level; 1; at tic; 653057088\r\n'
2021-12-14;08-17-20-367272  ;;;  b'Strike Detected! reading of; 296; High, Low; 184, -237; Current Danger Level; 2; at tic; 653057090'
2021-12-14;08-30-37-698948  ;;;  b'Strike Detected! reading of; 256; High, Low; 186, -221; Current Danger Level; 1; at tic; 653854603\r\n'
2021-12-14;08-53-05-020199  ;;;  b'Strike Detected! reading of; 328; High, Low; 191, -220; Current Danger Level; 1; at tic; 655201863'
2021-12-14;08-59-54-739610  ;;;  b'Strike Detected! reading of; 258; High, Low; 184, -227; Current Danger Level; 1; at tic; 655611676\r\n'
2021-12-14;09-17-04-669025  ;;;  b'Strike Detected! reading of; 286; High, Low; 182, -228; Current Danger Level; 1; at tic; 656641632\r\n'
2021-12-14;09-17-04-783988  ;;;  b'Strike Detected! reading of; 256; High, Low; 182, -228; Current Danger Level; 2; at tic; 656641634'
2021-12-14;09-48-04-563120  ;;;  b'Strike Detected! reading of; 254; High, Low; 185, -226; Current Danger Level; 1; at tic; 658501535\r\n'
2021-12-14;10-44-41-422738  ;;;  b'Strike Detected! reading of; 248; High, Low; 184, -219; Current Danger Level; 1; at tic; 661898043\r\n'
2021-12-14;10-49-50-710279  ;;;  b'Strike Detected! reading of; 339; High, Low; 188, -227; Current Danger Level; 1; at tic; 662207665'
2021-12-14;10-54-56-759497  ;;;  b'Strike Detected! reading of; 262; High, Low; 192, -217; Current Danger Level; 1; at tic; 662513809\r\n'
2021-12-14;10-56-39-627269  ;;;  b'Strike Detected! reading of; 259; High, Low; 194, -220; Current Danger Level; 2; at tic; 662616586'
2021-12-14;11-01-48-108204  ;;;  b'Strike Detected! reading of; 259; High, Low; 185, -242; Current Danger Level; 1; at tic; 662925075'
2021-12-14;11-55-21-131923  ;;;  b'Strike Detected! reading of; 281; High, Low; 183, -232; Current Danger Level; 1; at tic; 666138253\r\n'
2021-12-14;11-55-21-253885  ;;;  b'Strike Detected! reading of; 294; High, Low; 183, -232; Current Danger Level; 2; at tic; 666138255'
2021-12-14;12-42-32-803169  ;;;  b'Strike Detected! reading of; 247; High, Low; 184, -217; Current Danger Level; 1; at tic; 668969948\r\n'
2021-12-14;12-53-04-785891  ;;;  b'Strike Detected! reading of; 326; High, Low; 183, -221; Current Danger Level; 1; at tic; 669601866'
2021-12-14;13-20-04-881290  ;;;  b'Strike Detected! reading of; 248; High, Low; 184, -217; Current Danger Level; 1; at tic; 671221978'
2021-12-14;13-49-18-044254  ;;;  b'Strike Detected! reading of; 245; High, Low; 181, -226; Current Danger Level; 1; at tic; 672975268\r\n'
