
2021-09-03;00-10-53-063326  ;;;  b'Strike Detected! reading of; -248; High, Low; 227, -142; Current Danger Level; 1; at tic; 21506985'
2021-09-03;00-17-44-196606  ;;;  b'Strike Detected! reading of; 270; High, Low; 178, -149; Current Danger Level; 1; at tic; 21918121'
2021-09-03;00-28-42-406618  ;;;  b'Strike Detected! reading of; 577; High, Low; 181, -147; Current Danger Level; 1; at tic; 22576343'
2021-09-03;00-31-23-246391  ;;;  b'Strike Detected! reading of; -260; High, Low; 201, -138; Current Danger Level; 2; at tic; 22737183'
2021-09-03;00-53-45-582284  ;;;  b'Strike Detected! reading of; 280; High, Low; 177, -135; Current Danger Level; 1; at tic; 24079545'
2021-09-03;00-55-28-896703  ;;;  b'Strike Detected! reading of; 265; High, Low; 166, -117; Current Danger Level; 2; at tic; 24182861'
2021-09-03;00-57-39-378066  ;;;  b'Strike Detected! reading of; 430; High, Low; 189, -154; Current Danger Level; 2; at tic; 24313346'
2021-09-03;00-58-36-231103  ;;;  b'Strike Detected! reading of; -208; High, Low; 202, -132; Current Danger Level; 3; at tic; 24370195'
2021-09-03;01-04-49-317035  ;;;  b'Strike Detected! reading of; 607; High, Low; 158, -148; Current Danger Level; 2; at tic; 24743290'
2021-09-03;01-09-15-402989  ;;;  b'Strike Detected! reading of; -298; High, Low; 164, -149; Current Danger Level; 2; at tic; 25009381'
2021-09-03;01-11-37-559649  ;;;  b'Strike Detected! reading of; -221; High, Low; 183, -144; Current Danger Level; 3; at tic; 25151540'
2021-09-03;01-13-39-335284  ;;;  b'Strike Detected! reading of; 259; High, Low; 157, -141; Current Danger Level; 3; at tic; 25273317'
2021-09-03;01-13-49-889954  ;;;  b'Strike Detected! reading of; 507; High, Low; 208, -167; Current Danger Level; 4; at tic; 25283868'
2021-09-03;01-15-23-623763  ;;;  b'Strike Detected! reading of; 493; High, Low; 194, -148; Current Danger Level; 5; at tic; 25377605'
2021-09-03;01-20-45-756826  ;;;  b'Strike Detected! reading of; -432; High, Low; 180, -142; Current Danger Level; 4; at tic; 25699746'
