
2021-12-10;00-12-51-163728  ;;;  b'Strike Detected! reading of; 267; High, Low; 193, -205; Current Danger Level; 1; at tic; 278381843\r\n'
2021-12-10;00-43-31-737247  ;;;  b'Strike Detected! reading of; 274; High, Low; 193, -207; Current Danger Level; 1; at tic; 280222455\r\n'
2021-12-10;00-50-09-323838  ;;;  b'Strike Detected! reading of; 285; High, Low; 194, -208; Current Danger Level; 1; at tic; 280619987'
2021-12-10;00-55-24-967085  ;;;  b'Strike Detected! reading of; 267; High, Low; 198, -204; Current Danger Level; 1; at tic; 280935707\r\n'
2021-12-10;01-02-15-019125  ;;;  b'Strike Detected! reading of; 262; High, Low; 193, -209; Current Danger Level; 1; at tic; 281345687'
2021-12-10;01-04-31-061999  ;;;  b'Strike Detected! reading of; 279; High, Low; 207, -209; Current Danger Level; 2; at tic; 281481742'
2021-12-10;01-09-09-765994  ;;;  b'Strike Detected! reading of; 272; High, Low; 195, -205; Current Danger Level; 2; at tic; 281760531\r\n'
2021-12-10;01-09-12-199230  ;;;  b'Strike Detected! reading of; 271; High, Low; 195, -205; Current Danger Level; 2; at tic; 281762881'
2021-12-10;01-14-20-266917  ;;;  b'Strike Detected! reading of; 265; High, Low; 197, -209; Current Danger Level; 2; at tic; 282071041\r\n'
2021-12-10;01-28-08-721885  ;;;  b'Strike Detected! reading of; 270; High, Low; 193, -207; Current Danger Level; 1; at tic; 282899502\r\n'
2021-12-10;01-29-51-950701  ;;;  b'Strike Detected! reading of; 266; High, Low; 197, -208; Current Danger Level; 1; at tic; 283002646'
2021-12-10;01-53-11-030850  ;;;  b'Strike Detected! reading of; 304; High, Low; 196, -211; Current Danger Level; 1; at tic; 284401757'
2021-12-10;02-14-50-912214  ;;;  b'Strike Detected! reading of; 266; High, Low; 195, -216; Current Danger Level; 1; at tic; 285701747\r\n'
2021-12-10;02-20-00-861507  ;;;  b'Strike Detected! reading of; 269; High, Low; 192, -209; Current Danger Level; 1; at tic; 286011609'
2021-12-10;02-28-36-213903  ;;;  b'Strike Detected! reading of; 277; High, Low; 195, -207; Current Danger Level; 1; at tic; 286527049\r\n'
2021-12-10;02-30-19-401072  ;;;  b'Strike Detected! reading of; 274; High, Low; 201, -205; Current Danger Level; 1; at tic; 286630251\r\n'
2021-12-10;02-37-11-805071  ;;;  b'Strike Detected! reading of; 267; High, Low; 199, -207; Current Danger Level; 1; at tic; 287042653\r\n'
2021-12-10;03-04-48-442201  ;;;  b'Strike Detected! reading of; 282; High, Low; 198, -202; Current Danger Level; 1; at tic; 288699239'
2021-12-10;03-08-18-559292  ;;;  b'Strike Detected! reading of; 295; High, Low; 198, -233; Current Danger Level; 1; at tic; 288909361'
2021-12-10;03-11-50-712785  ;;;  b'Strike Detected! reading of; 268; High, Low; 198, -205; Current Danger Level; 1; at tic; 289121516'
2021-12-10;03-13-45-720320  ;;;  b'Strike Detected! reading of; 316; High, Low; 221, -204; Current Danger Level; 1; at tic; 289236526'
2021-12-10;03-20-05-808511  ;;;  b'Strike Detected! reading of; 265; High, Low; 196, -204; Current Danger Level; 1; at tic; 289616700\r\n'
2021-12-10;03-23-30-632759  ;;;  b'Strike Detected! reading of; 275; High, Low; 197, -211; Current Danger Level; 1; at tic; 289821438'
2021-12-10;03-26-56-386259  ;;;  b'Strike Detected! reading of; 276; High, Low; 195, -208; Current Danger Level; 1; at tic; 290027289\r\n'
2021-12-10;03-28-39-710484  ;;;  b'Strike Detected! reading of; 279; High, Low; 198, -208; Current Danger Level; 2; at tic; 290130525'
2021-12-10;03-40-41-251835  ;;;  b'Strike Detected! reading of; 274; High, Low; 195, -208; Current Danger Level; 1; at tic; 290852170\r\n'
2021-12-10;03-50-57-542282  ;;;  b'Strike Detected! reading of; 272; High, Low; 198, -203; Current Danger Level; 1; at tic; 291468470\r\n'
2021-12-10;04-21-44-130891  ;;;  b'Strike Detected! reading of; 268; High, Lw; 196, -204; Current Danger Level; 1; at tic; 293315002'
2021-12-10;04-42-12-115083  ;;;  b'Strike Detected! reading of; 266; High, Low; 199, -204; Current Danger Level; 1; at tic; 294543096\r\n'
